Year;CAP_COST_Alkaline_base;CAP_COST_Alkaline_peak_supported;CAP_COST_Alkaline_base_supported;CAP_COST_Alkaline_peak;ELEC_COST_Alkaline_base;ELEC_COST_Alkaline_peak_supported;ELEC_COST_Alkaline_base_supported;ELEC_COST_Alkaline_peak;H2_REV_Alkaline_base;H2_REV_Alkaline_peak_supported;H2_REV_Alkaline_base_supported;H2_REV_Alkaline_peak;SUPPORT_Alkaline_peak_supported;SUPPORT_Alkaline_base_supported
2021.0;357.87036753330057;0.0;0.0;1012.4999710843172;2.821599017635551e-8;-0.0;1.2958808462836158e-6;0.00010643782883432985;8.386113866005818e-9;0.0;3.851495836873339e-7;2.600936985736716e-5;0.0;0.0
2022.0;2.122290209263423e-9;0.0;0.0;377.02846366959454;52.184555823754806;-0.0;14.29364810060122;149.78257608064845;76.697243397013;0.0;21.007811899536904;197.4332441149907;0.0;0.0
2023.0;1.8991311249930535e-8;0.0;0.0;14365.744805434131;3.6614328125048643;-0.0;0.9659734810392339;14.753815974684631;15.583802295880497;0.0;4.111374396450624;61.10188354828026;0.0;0.0
2024.0;4146.6674516502035;0.0;0.0;5247.964164851895;58.15013953883952;-0.0;14.720022455059427;1803.598667540345;110.6206288199901;0.0;28.01905894411296;3768.8487288098663;0.0;0.0
2025.0;12863.757649785583;0.0;0.0;0.0014362428664487965;923.022112335547;-0.0;19.726698090920667;3045.45343715018;1488.5129340325727;0.0;31.892466297705543;5428.542485931312;0.0;0.0
2026.0;3332.2026649979703;0.0;0.0;1016.1452073274847;3995.1063513099275;-0.0;19.652138028713118;2743.354171216502;6072.794314009389;0.0;29.7274489022385;4852.280583451658;0.0;0.0
2027.0;1440.3570010377036;0.0;0.0;1789.7879885115901;4299.777841229921;-0.0;14.280999678601926;2540.3380379323316;6548.041166654926;0.0;22.651136566697545;4534.1100340418325;0.0;0.0
2028.0;3.957077193031075e-7;0.0;0.0;2159.822653686265;4168.593941311453;-0.0;10.732866318595242;2660.6380360970456;6336.695466654591;0.0;17.65827692230872;4645.070797472303;0.0;0.0
2029.0;1.583982519689535e-7;0.0;0.0;1515.1253458475483;3626.5721556936933;-0.0;8.653312255816772;2691.6664986528785;5547.58687617798;0.0;14.352482778968643;4711.667565083725;0.0;0.0
2030.0;3.7162760862950585e-8;271.8159205250756;2012.221054227556;0.0005159051087484688;3053.7592693371225;-0.0;7.072792375653629;2604.55850826327;4760.863367448824;0.0;11.74881392608884;4580.680156482795;0.0;0.0
2031.0;550.9099414126811;0.0;0.0;1209.9186929561886;2709.838992739041;26.05890805308815;541.8367172571045;2256.7641197393787;4207.745438660167;58.748310027881445;786.0879489394695;4005.701276425092;0.0;0.0
2032.0;1616.6112562933772;0.0;0.0;216.7024230480754;2603.043926690215;13.824900710358937;517.4698129866916;2127.902953066581;4003.5888819670936;42.80962683131317;734.8388166796937;3823.444998185563;0.0;0.0
2033.0;1.4375545760011829e-7;0.0;0.0;1262.6153695621158;2757.397520111289;4.4857974972208385;497.32615373612833;1792.9176353870225;4195.342667345705;30.190042067493113;690.3263084216426;3321.6534631422664;0.0;0.0
2034.0;1280.9582071672673;0.0;0.0;322.11360780862725;2554.926268536432;7.064410766114481;475.55015618817487;1817.264322771307;3822.496550105175;29.736344155611274;645.4350708168722;3314.8411273522197;0.0;0.0
2035.0;1955.4996926656927;0.0;0.0;704.8872561405108;2587.47743259886;2.624725454759017;435.2115259749734;1750.8541249169496;3864.1796245494997;22.734886440974332;585.870046531828;3118.456079185828;0.0;0.0
2036.0;1881.061966471252;0.0;0.0;0.00037225397797915796;2772.2572636291143;2.8797079117080444;386.12337496802473;1720.222098908858;4132.299203163563;20.756765456996362;519.3145086207953;3017.5478844799454;0.0;0.0
2037.0;456.98909501864097;0.0;0.0;1064.4287311204075;2943.1174933834195;2.4237631644082307;335.03249604789517;1581.017835230484;4370.8459631188925;18.187720277148145;453.1511725176529;2725.1163140968047;0.0;0.0
2038.0;1.0123734720626419e-8;0.0;0.0;1524.3735752408786;2831.726729807502;1.659662138893959;309.52243596347716;1627.931788934501;4173.745739612026;15.76980204258247;415.8793818978067;2776.5971255851778;0.0;0.0
2039.0;3.1289658338676335e-9;0.0;0.0;1046.8295436763535;2590.048151474306;1.0684779980140857;295.8918011407078;1753.7490189269881;3806.3215443847994;13.591331962811282;392.162220192038;2953.9676589190412;0.0;0.0
2040.0;2.1146849540230995e-9;0.0;0.0;905.7996370558145;2402.3109683181237;1.2529985928778458;281.2456607047511;1849.2718211846425;3489.877867585637;12.440063243593405;367.2084465910353;3041.9172903387293;0.0;0.0
2041.0;1.2838824031935943e-9;0.0;0.0;68.72360412457381;2181.3802614349556;1.2001711232722747;265.5046236191239;1690.337015250399;3099.199376676177;10.526033688064752;337.9777857501365;2784.8149339969195;0.0;0.0
2042.0;2.467919550404664e-9;0.0;0.0;688.6481984856204;1832.4643790879413;0.28362187414419254;216.51237405625957;1055.2315891815463;2837.8900519589542;11.936175307657669;296.26304719852186;2414.4047764899;0.0;0.0
2043.0;54.247004979434855;0.0;0.0;2345.626261440719;1772.6354249165024;0.2791249064200977;201.81714866166607;1133.7613512583607;2655.6084563458962;10.281951534959973;271.84587643286466;2397.1200180986957;0.0;0.0
2044.0;918.0647225412055;0.0;0.0;900.2850976741817;1703.460877017649;16.50268097545069;174.1825007408369;1156.9765689338965;2510.9770938521606;25.565418825831916;237.60986670486102;2424.2601422905273;0.0;0.0
