Year;CAP_COST_Alkaline_base;CAP_COST_Alkaline_peak_supported;CAP_COST_Alkaline_base_supported;CAP_COST_Alkaline_peak;ELEC_COST_Alkaline_base;ELEC_COST_Alkaline_peak_supported;ELEC_COST_Alkaline_base_supported;ELEC_COST_Alkaline_peak;H2_REV_Alkaline_base;H2_REV_Alkaline_peak_supported;H2_REV_Alkaline_base_supported;H2_REV_Alkaline_peak;SUPPORT_Alkaline_peak_supported;SUPPORT_Alkaline_base_supported
2021.0;134.9999999999402;0.0;0.0;101.24999999989409;6.348960588764479e-7;-0.0;-0.0;1.5769513455923025e-6;1.8986533021470215e-7;0.0;0.0;3.8759104200529995e-7;0.0;0.0
2022.0;264.32999999957786;0.0;0.0;198.24749999684914;71.61982481565082;-0.0;-0.0;83.5564619154589;449.1689840804141;0.0;0.0;449.16898259916036;0.0;0.0
2023.0;517.5581399991478;0.0;0.0;388.1686049950807;29.721888311673744;-0.0;-0.0;31.21676474243177;222.44241856675532;0.0;0.0;219.21514262877582;0.0;0.0
2024.0;915.4956548907118;0.0;0.0;686.6217411606818;56.690905412617354;-0.0;-0.0;57.60177774715744;390.3402899460174;0.0;0.0;382.23037315612993;0.0;0.0
2025.0;1624.4577931711372;0.0;0.0;1218.3433448648666;94.35974041746178;-0.0;-0.0;87.93943775485994;565.8631672329246;0.0;0.0;545.4063206388508;0.0;0.0
2026.0;2886.974091287949;0.0;0.0;2165.230568440439;258.6816334782682;-0.0;-0.0;163.7235581823704;1034.0144797503676;0.0;0.0;907.6620953923092;0.0;0.0
2027.0;5134.754787792638;0.0;0.0;3851.066090793343;601.9507158390057;-0.0;-0.0;363.61844362376553;1809.6629741998333;0.0;0.0;1491.5436286319148;0.0;0.0
2028.0;7844.554639632638;0.0;0.0;6852.188195004591;1732.6918269974617;-0.0;-0.0;925.7871563076125;3683.6255464458013;0.0;0.0;2662.929070735499;0.0;0.0
2029.0;662.815822142435;0.0;0.0;2440.182144050612;3912.336377376747;-0.0;-0.0;2058.4589768014034;5971.176787175761;0.0;0.0;3743.0615284235837;0.0;0.0
2030.0;1.5583506033585338e-7;695.2586630810436;2096.282824367796;2.7046230578891e-7;3562.3233199075717;-0.0;-0.0;2275.5143509835816;5518.04019146132;0.0;0.0;4116.963230583938;0.0;0.0
2031.0;1591.8593913744326;0.0;0.0;359.34493681728793;3155.874044060673;196.53509118825002;583.009466875029;1955.9360659170482;4790.529723415657;276.2868351531719;827.2654642355627;3448.5445289807712;0.0;0.0
2032.0;151.5662072866042;0.0;0.0;1316.9645441150133;3210.3728907981326;164.81180413085247;545.7520549739025;1672.5253366819252;4894.895452291;238.9835154092784;769.034807493655;3103.626264154923;0.0;0.0
2033.0;1668.2097967832162;0.0;0.0;4.943999778292238e-6;3029.2980550819675;143.20391242603003;526.713778215994;1643.1059377484653;4539.472169127766;209.29274351771164;724.5300224594349;3075.7858204124745;0.0;0.0
2034.0;1709.571101638617;0.0;0.0;3.2086932350372503;3129.0234898255376;129.9870279512202;489.86751256650854;1452.0643395633142;4664.953822307152;187.88883141613877;665.1656854290619;2707.8056752433995;0.0;0.0
2035.0;2029.919074892326;0.0;0.0;512.93048999247;3158.3433989714727;119.48674117361276;449.91954742709834;1306.686309574133;4720.622742884765;171.0457365681208;605.2066828435086;2425.0777259782676;0.0;0.0
2036.0;1717.6441166165384;0.0;0.0;53.3811055616711;3324.532004397565;105.27840164315195;397.4502527907183;1272.7272073506656;4947.149310721809;150.88653061989805;535.038430751902;2322.183532533397;0.0;0.0
2037.0;253.02399413018512;0.0;0.0;1096.0535378921975;3494.166913798505;92.86147224780356;362.82507698595697;1194.1457510746345;5132.881104273639;133.18293639378118;484.7512077630692;2128.04478231439;0.0;0.0
2038.0;2.963487034609316e-7;0.0;0.0;1774.236465041371;3348.1506775083685;88.05234278781671;331.73080194254896;1300.9045382999905;4851.874459330235;123.867612234333;441.39289316343877;2257.975385325531;0.0;0.0
2039.0;7.975198759629262e-8;0.0;0.0;1272.240637498246;3018.5921809110646;84.70604978937256;313.3961640264978;1552.7509642501527;4386.841470124208;116.4543240043161;413.18682182496815;2607.014637543882;0.0;0.0
2040.0;4.050307999775691e-8;0.0;0.0;1398.307001391648;2730.504076873557;77.98207451480437;295.10493233707916;1650.5820290732177;3983.853888791515;107.11811865708677;386.51368451644333;2770.027840171094;0.0;0.0
2041.0;2.351145463322562e-8;0.0;0.0;1.5731540843117883e-6;2485.6708026827105;68.41878181707962;274.9842048882104;1719.2151766706365;3539.480166611468;92.45658456361565;351.85479227200284;2797.746101659041;0.0;0.0
2042.0;3.5244548644395644e-8;0.0;0.0;1025.2557737385418;2110.6035447207673;52.03068539580272;251.91288630143777;1251.8696577903536;3260.8144200398183;81.6447252190281;335.98524920145405;2578.845801944537;0.0;0.0
2043.0;5.298315880771773e-8;0.0;0.0;929.7765265577111;1982.5903896307263;45.85806082634577;229.06720927856182;1309.8415815151975;2986.365151649502;71.44001932759785;302.7451864879214;2605.6090266870106;0.0;0.0
2044.0;1.753474442209103e-7;0.0;0.0;949.0811287876573;1734.2317519783687;29.12537196445258;193.73481500060475;1156.581992398568;2578.0503224454183;51.059789176993284;256.1586920556136;2395.5945275082913;0.0;0.0
2045.0;146.7994505183523;0.0;0.0;719.7507450027458;1673.6981639473704;30.26752358963903;148.33744336454336;1206.2701921388632;2408.405787213597;49.03881737509013;203.58691988779884;2388.363169858274;0.0;0.0
2046.0;678.5248880216119;0.0;0.0;311.6636673322037;1554.7430546026205;34.9822004834531;112.31072229601166;1125.1806328033028;2196.0661329549603;51.305248424937496;160.64874611631734;2227.3557971877776;0.0;0.0
2047.0;990.3917708195277;0.0;0.0;540.6314599291164;1468.2085713906126;28.67618098114516;96.93120078115665;941.991671408127;2065.8946470351266;42.78626702863855;138.17400496047114;1903.4441623902196;0.0;0.0
2048.0;1412.4171898289605;0.0;0.0;929.5408666685056;1447.113633292903;24.82022647941736;92.05226878904722;828.6397433615812;2015.8075561125895;36.673694118607585;127.17720208157785;1660.2887297054908;0.0;0.0
2049.0;471.70199457650466;0.0;0.0;389.1891717291833;1450.1669713501362;20.50559134145924;95.29582826937148;716.805037180406;2008.7828507002469;30.65329423388479;125.14361075599703;1457.3764630602755;0.0;0.0
2050.0;389.97170239175654;0.0;0.0;136.97903012717765;1430.2392374876931;18.297229816055033;97.67630236305085;648.8067997497568;1948.9319366222144;26.859978292810364;122.98729441634678;1291.5535306657748;0.0;0.0
