Year;CAP;Supply;Cancellation;MSR;TNAC;Emissions_Ind;Emissions_H2S;Emissions_PS;EUAprice;EUAs_Ind;EUAs_PS
2021.0;1596.0;3174.772426;0.0;0.0;1936.6815347311067;512.9;89.46333128388875;635.7275599850045;80.0;1551.2216448453578;1622.7577582376184
2022.0;1552.0;1552.0;0.0;0.0;2553.2895946273425;751.6704035093331;99.0976643881758;84.62387220625529;61.77149630784461;1175.0265499303182;376.9733279780004
2023.0;1509.0;1509.0;0.0;0.0;3097.808907998281;752.6180426561423;107.30846021559974;104.55418375731915;61.77149630789851;1164.2765499304119;344.72332797788624
2024.0;1412.0;1412.0;0.0;0.0;3458.2989717378086;828.9015873019009;93.12525493132196;129.48309402724968;67.94894380072434;1140.0267066337806;271.9731595519837
2025.0;1412.0;1412.0;0.0;0.0;3787.382584914829;824.8936059434706;101.26396887781601;156.7588120016933;74.7441954827289;1140.0268871575136;271.9729662451936
2026.0;1295.0;1295.0;0.0;0.0;4002.600844772335;820.5712267804195;82.21593632740421;176.99457703467004;82.21904373931402;1105.6778107982054;189.3220286602217
2027.0;1233.0;1233.0;0.0;0.0;4163.250455549328;815.9097828715176;67.53389550070426;188.90671085078563;90.44146264115305;1083.781555489481;149.21826875269505
2028.0;1141.0;1141.0;0.0;0.0;4284.222110173375;810.8826713082868;43.4766905486004;165.66898351906582;99.48622633920586;1043.2346472622803;97.76516037785031
2029.0;1049.0;1049.0;0.0;0.0;4375.727067766581;805.4612008615691;18.90548760868504;133.1283539365394;109.43558998754811;998.7402381240234;50.25955139947903
2030.0;958.0;958.0;0.0;0.0;4406.285795849918;799.6144283860293;9.091101884085043;118.73574164654887;120.38003783051025;919.4783656801474;38.5214040847001
2031.0;866.0;866.0;0.0;0.0;4390.995599327332;793.3089815084178;8.743450045378205;79.2377649687909;132.4191073815321;827.4032506125036;38.59649761126735
2032.0;774.0;774.0;0.0;0.0;4296.350910293089;786.5088680991518;8.614308864469061;73.52151207062167;145.66229510286223;735.4305134926408;38.5692112643542
2033.0;682.0;682.0;0.0;0.0;4121.2973559046695;779.1752704554159;8.026566551316689;69.85171738168752;160.23005319850344;643.5233131763661;38.47638604124655
2034.0;591.0;591.0;0.0;0.0;3866.8118783008385;771.26632339265;5.673618182900992;68.54553602828017;176.25488607926934;552.6241321711816;38.37553928553296
2035.0;499.0;499.0;0.0;0.0;3535.6893832827473;762.7368749176457;2.6325408857799184;64.75307921466539;193.882556564157;459.63445949682284;39.3651818283152
2036.0;407.0;407.0;0.0;0.0;3122.3854293324785;753.5382280817357;1.5585461944354586;65.20717967409772;213.27341285621338;370.17658799201524;36.82302068243093
2037.0;315.0;315.0;0.0;0.0;2619.7313808812432;743.6284642577472;0.4845515118903014;73.54103268159743;234.58524611083905;279.07327275200845;35.926073846814475
2038.0;224.0;224.0;0.0;0.0;2032.028962338476;732.9292952155497;0.48455148629679823;78.28857184092061;258.04967682194905;187.70625562337597;36.29302971171045
2039.0;132.0;132.0;0.0;0.0;1373.288006099457;721.3904854398991;0.4097443037701854;68.94072649534962;283.8615496788886;93.96404794348689;38.03517232290548
2040.0;40.0;40.0;0.0;0.0;640.0764433006796;708.9461375255133;0.409744302509261;63.85568097075508;312.2557262198753;1.8712269259959222;38.12792467853376
2041.0;0.0;0.0;0.0;0.0;385.65502030117045;196.04613752551336;0.38192579448433855;57.99335967951143;4187.3994442701105;1.8099250616202366e-15;2.708800230303713e-12
2042.0;0.0;0.0;0.0;0.0;335.9561873565433;0.0;0.3751940064387812;49.323638938188346;4211.372059447496;1.9836402220709926e-15;2.9856119068367093e-12
2043.0;0.0;0.0;0.0;0.0;289.87188261229016;0.0;0.3751940050205917;45.70911073923256;4233.242552681374;2.1790326467179337e-15;3.296071770292205e-12
2044.0;0.0;0.0;0.0;0.0;248.48653424563184;0.0;0.3751939965524785;41.01015437010583;4253.858157302617;2.401517863789406e-15;3.644092098925616e-12
2045.0;0.0;0.0;0.0;0.0;213.07622962221635;0.0;0.24068412843810788;35.16962049497739;4274.176880742622;2.614350520563392e-15;4.0340506237744585e-12
2046.0;0.0;0.0;0.0;0.0;181.7241877824462;0.0;0.2191318508211321;31.132909988949017;4292.703827659995;2.793940231431851e-15;4.474133981218045e-12
2047.0;0.0;0.0;0.0;0.0;154.23096922554714;0.0;0.1801304445046747;27.31308811239436;4310.309438819069;4.5594503968591025e-15;4.971194307360814e-12
2048.0;0.0;0.0;0.0;0.0;130.25292084041698;0.0;0.15688446955020502;23.82116391557996;4327.353147236069;1.0045849545879429e-14;5.533761699497893e-12
2049.0;0.0;0.0;0.0;0.0;110.2929226268991;0.0;0.13363849524209437;19.82635971827578;4342.886409559151;1.4113730560120626e-14;6.173882846162115e-12
2050.0;0.0;0.0;0.0;0.0;93.57121566595683;0.0;0.13362474657384713;16.58808221436842;4357.813697929531;1.977504843379946e-14;6.9032223387879964e-12
2051.0;0.0;0.0;0.0;0.0;79.89948401398993;0.0;0.025747679937606554;13.645983972029295;4371.981115115131;3.31767186721295e-14;7.739138325298147e-12
2052.0;0.0;0.0;0.0;0.0;67.28230664095088;0.0;3.2893401861820283e-9;12.61717736974971;4384.887574830236;5.007201784150261e-14;8.700807384864739e-12
2053.0;0.0;0.0;0.0;0.0;55.312813468548505;0.0;3.1657356070971142e-9;11.969493169236637;4397.452374970501;7.110511226008419e-14;9.811102436388427e-12
2054.0;0.0;0.0;0.0;0.0;45.66260220703225;0.0;2.940843918130685e-9;9.650211258575409;4409.135583614552;1.1484537687653981e-13;1.110279830520687e-11
2055.0;0.0;0.0;0.0;0.0;36.85316316654851;0.0;2.8834580827885723e-9;8.809439037600276;4419.77509867354;2.998117042704551e-13;1.2618847929055496e-11
2056.0;0.0;0.0;0.0;0.0;29.044079539914968;0.0;2.819587567249021e-9;7.809083623813957;4430.277249970556;8.761497002444431e-13;1.4410493405418578e-11
2057.0;0.0;0.0;0.0;0.0;21.66809748893376;0.0;2.779907286231992e-9;7.375982048201301;4439.844645114557;2.0778619683781527e-12;1.6550810472267073e-11
2058.0;0.0;0.0;0.0;0.0;14.6114099157483;0.0;2.7380422372402486e-9;7.056687570447419;4448.720662832015;4.231577423695009e-12;1.912638714258375e-11
2059.0;0.0;0.0;0.0;0.0;8.290751516877553;0.0;2.768201287026216e-9;6.320658396102547;4457.274820693783;7.0878588360995996e-12;2.2238202553403115e-11
2060.0;0.0;0.0;0.0;0.0;0.7994194541658617;0.0;1.0300783176208418e-9;7.491332061681613;4465.061313833605;1.0277946216723885e-11;2.5927051335671927e-11
