Year;CAP_COST_Alkaline_base;CAP_COST_Alkaline_peak_supported;CAP_COST_Alkaline_base_supported;CAP_COST_Alkaline_peak;ELEC_COST_Alkaline_base;ELEC_COST_Alkaline_peak_supported;ELEC_COST_Alkaline_base_supported;ELEC_COST_Alkaline_peak;H2_REV_Alkaline_base;H2_REV_Alkaline_peak_supported;H2_REV_Alkaline_base_supported;H2_REV_Alkaline_peak;SUPPORT_Alkaline_peak_supported;SUPPORT_Alkaline_base_supported
2021.0;40.7027846315777;0.0;0.0;1012.4999999838112;1.8166981279645744e-8;-0.0;1.1944525007109468e-7;8.775959252294442e-8;5.401456983092966e-9;0.0;3.551595822832138e-8;2.145383372642964e-8;0.0;0.0
2022.0;1.2338579965101435e-9;0.0;0.0;208.56614980598064;18.5429145775238;-0.0;14.24731821132949;159.01866493353882;27.325748843918607;0.0;20.995547138581596;207.12909487079085;0.0;0.0
2023.0;1.0105769455999986e-8;0.0;0.0;12716.499243770726;1.2718555311576885;-0.0;0.965450133175892;14.297511992841173;5.407969023564179;0.0;4.105123414532176;55.229187308385406;0.0;0.0
2024.0;1441.188354824623;0.0;0.0;5826.013380916759;17.64642903372768;-0.0;13.21827575610607;1393.8442960286543;35.09776618119892;0.0;26.290415404240257;3133.4320569498614;0.0;0.0
2025.0;14057.98925359426;0.0;0.0;632.9003118633776;292.8894637283967;-0.0;18.35687135496995;2734.4462572428683;486.304246163907;0.0;30.38645402008774;4988.331327251723;0.0;0.0
2026.0;4882.382661366292;0.0;0.0;185.7152868058268;3614.770457967817;-0.0;21.96944627410214;2628.144361607717;5516.152182560526;0.0;32.057628869876226;4702.60999526001;0.0;0.0
2027.0;1994.0026630802292;0.0;0.0;1771.459598893521;4401.727139472319;-0.0;19.699397061851535;2339.896704375595;6681.482845181849;0.0;28.07037391739608;4200.523718361783;0.0;0.0
2028.0;8.91376837374777e-8;0.0;0.0;2532.312164450522;4380.334919095359;-0.0;16.34472730593064;2434.9449883806606;6645.880819475701;0.0;23.27698694795947;4299.02573368455;0.0;0.0
2029.0;7.977573493552289e-8;0.0;0.0;1589.2329587865358;3807.7352531801844;-0.0;12.713497955207124;2610.5490978427674;5812.060811532394;0.0;18.409615757061104;4569.017422392561;0.0;0.0
2030.0;2.7909603347935386e-9;1021.1681207138416;784.9530248278041;1.0255687251443225e-8;3175.8631946035944;-0.0;9.339798309089494;2547.597334951199;5026.3409420360995;0.0;14.195222612757998;4593.90037341896;0.0;0.0
2031.0;886.3057587282872;0.0;0.0;1036.1369769682497;2899.575388817092;241.89943220963102;219.9075080453741;2260.9216228513396;4394.699560293333;356.10572151744543;313.20113763682735;3849.3093537912187;0.0;0.0
2032.0;918.6130830074148;0.0;0.0;719.8226854792701;2875.52278305695;178.95390805484755;211.0100501838426;2101.3449696437174;4375.054553352227;287.7943007638015;297.67435400473045;3738.9485167845987;0.0;0.0
2033.0;855.6600092742411;0.0;0.0;908.1290050439167;2864.4442209247222;153.99136259274468;201.81819227768833;1865.640233770471;4302.694262197623;250.5416536840685;278.35991261743914;3404.0533045682164;0.0;0.0
2034.0;1498.623551067045;0.0;0.0;1684.8836804718198;2802.240872489807;199.4474438724131;191.61276952034711;1892.9571534770148;4177.505556100462;284.46713893123626;259.1698385349045;3354.758988304588;0.0;0.0
2035.0;1553.4192017653054;0.0;0.0;507.34906413921595;2849.1215848518023;125.47040331285979;169.6128579134171;2007.6372818349778;4244.3911629118165;201.11909649763012;229.2571445976723;3507.0375369217068;0.0;0.0
2036.0;576.1974662087778;0.0;0.0;1461.9502549283502;2949.7239959884614;114.10900070490813;156.32848051851823;1862.0453306134318;4367.894749797663;181.11910117088857;208.96837401742513;3249.7266918872265;0.0;0.0
2037.0;4.464145254987903e-9;0.0;0.0;1707.8251121289934;2802.936272659674;149.2576470154332;132.8880146308174;1958.2840690682367;4159.689527398776;209.00224917973762;180.5191540378978;3364.862668633707;0.0;0.0
2038.0;1.6925685949170682e-9;0.0;0.0;1704.1090109483573;2597.628376506624;137.7411657868473;121.57363222352764;2140.5480618977977;3816.0346402003565;190.7088346612996;164.20030337255815;3586.954466622345;0.0;0.0
2039.0;1.0611762468954213e-9;0.0;0.0;1511.8604344974372;2318.7899800380706;119.78513113827267;114.708125447679;2117.290429341191;3401.081000777534;167.24859967285647;152.44168065345343;3612.828827048667;0.0;0.0
2040.0;8.110384687706228e-10;0.0;0.0;1114.8496366764177;2082.253003089489;102.88841889141986;104.22122003351818;2024.511798208517;3043.0481017097477;145.66874955290905;137.6010161460189;3552.6742793835506;0.0;0.0
2041.0;5.303082699011034e-10;0.0;0.0;7.836310384855593e-9;1840.960644782894;79.05200150745513;91.1034683145375;1647.1883758069896;2677.6648117644527;117.6467120522601;120.0709351621832;3158.829438764295;0.0;0.0
2042.0;1.4026792854373035e-9;0.0;0.0;546.4206215160465;1648.2810693177414;66.7607972638929;75.96112710428275;1178.7843250559174;2496.696706225602;107.95920214757574;105.25539690787913;2774.938198067682;0.0;0.0
2043.0;4.470552173127157e-9;0.0;0.0;1624.5184286550177;1545.6431588294156;64.76547499437457;69.41994921073297;1150.8570934571044;2342.1609703750287;102.86827828987157;96.92115976072265;2705.5627406930253;0.0;0.0
2044.0;217.37650320720982;0.0;0.0;1447.8287959113559;1428.714739792394;61.94814016531128;63.18548727161077;1084.4316861331204;2125.5099172381;94.76820620708368;87.24436716003329;2477.6247690542527;0.0;0.0
