Year;CAP_COST_Alkaline_base;CAP_COST_Alkaline_peak_supported;CAP_COST_Alkaline_base_supported;CAP_COST_Alkaline_peak;ELEC_COST_Alkaline_base;ELEC_COST_Alkaline_peak_supported;ELEC_COST_Alkaline_base_supported;ELEC_COST_Alkaline_peak;H2_REV_Alkaline_base;H2_REV_Alkaline_peak_supported;H2_REV_Alkaline_base_supported;H2_REV_Alkaline_peak;SUPPORT_Alkaline_peak_supported;SUPPORT_Alkaline_base_supported
2021.0;134.99999966856475;0.0;0.0;101.2499999999857;3.96267984777922e-6;-0.0;-0.0;3.6096489744691854e-8;1.1747374289526162e-6;0.0;0.0;8.798514633868742e-9;0.0;0.0
2022.0;62.01944691782361;0.0;0.0;198.24749999991107;30.5300055524605;-0.0;-0.0;34.39699109529554;43.764869043510664;0.0;0.0;42.708628788718656;0.0;0.0
2023.0;319.4961078603932;0.0;0.0;388.1686049998244;1.7561089279844115;-0.0;-0.0;3.345120617069839;7.027073338866205;0.0;0.0;11.473326373636676;0.0;0.0
2024.0;562.9452378395968;0.0;0.0;686.6217411690252;18.378373803136384;-0.0;-0.0;30.56880556053178;77.15265070717074;0.0;0.0;121.55768903608418;0.0;0.0
2025.0;996.9180508513477;0.0;0.0;1218.3433448805336;41.931076479448556;-0.0;-0.0;58.885083190024645;140.47944233820706;0.0;0.0;209.06073346719816;0.0;0.0
2026.0;1769.9533498968087;0.0;0.0;2165.2305684709463;115.63404655347375;-0.0;-0.0;134.22337101812667;345.2622858715962;0.0;0.0;482.36451927141354;0.0;0.0
2027.0;3146.457867930441;0.0;0.0;3851.066090857365;321.03533646016785;-0.0;-0.0;333.94163578517833;763.8806082701176;0.0;0.0;980.1141573268752;0.0;0.0
2028.0;1.542552828530056e-6;0.0;0.0;6852.188196013897;830.5307866566493;-0.0;-0.0;755.2547069359516;1676.6438403888826;0.0;0.0;1946.1755445645329;0.0;0.0
2029.0;4.370989340015984e-7;0.0;0.0;1565.1811466493368;1124.5386649007037;-0.0;-0.0;2126.4335026514545;1830.525282465731;0.0;0.0;3891.0230036378953;0.0;0.0
2030.0;1.7599571073854575e-7;522.791867382726;5.086771994176436e-8;2.5092341291155078e-9;983.3793465543417;-0.0;-0.0;2089.1585409895915;1633.4943168262791;0.0;0.0;3922.7404488239927;0.0;0.0
2031.0;1.9300115426359414e-7;0.0;0.0;3.0140623114334126e-9;824.0745296939672;138.26315435154032;9.455256212372863e-9;1730.8040394557645;1338.472793811576;199.19180973385522;1.53165220024879e-8;3157.3048492314765;0.0;0.0
2032.0;8.845373105672336e-7;0.0;0.0;2534.6175553972275;597.1149649274171;102.2063512421939;6.9210967943844965e-9;1281.5964485401319;1008.4145306043412;152.42756584571683;1.1599799632465779e-8;2457.153491821341;0.0;0.0
2033.0;1.1572439396818682e-5;0.0;0.0;3225.7519206049565;584.1033474300167;97.70667566197496;6.752856333887421e-9;1470.0177845297026;987.5608100432655;147.07153305250128;1.1344048174348497e-8;2927.395152789123;0.0;0.0
2034.0;2707.0612816990747;0.0;0.0;1338.0307822969658;585.3476483466832;99.71029119422053;6.759659454016675e-9;1784.2333179107;953.3971054478333;143.48895874757912;1.0946035745217294e-8;3459.5326033336178;0.0;0.0
2035.0;1527.7825242504252;0.0;0.0;510.8804769335841;1105.4458749444407;86.61649467330662;6.4350250326827124e-9;1689.4882208685985;1751.7375706385887;125.55486968315537;1.0148762622782244e-8;3337.7709015123532;0.0;0.0
2036.0;1281.0685881479021;0.0;0.0;5.07779825607948e-8;1357.714948122887;77.0256554299464;5.900548369952826e-9;1764.3184408912448;2111.3576572198995;111.74694047715326;9.19320546452456e-9;3294.754035004436;0.0;0.0
2037.0;1489.151271937518;0.0;0.0;271.4978712986543;1493.6588187992331;71.84140340154667;5.3815847040480124e-9;1709.356739932903;2307.576898825008;101.93472313956033;8.27868643271748e-9;3035.7525126254823;0.0;0.0
2038.0;87.55896351354124;0.0;0.0;1077.9904847597127;1654.6478554449193;63.379260370456436;4.863414443118836e-9;1614.5839888283813;2550.788771746468;90.17818195636728;7.431117457062561e-9;2827.4716673270414;0.0;0.0
2039.0;2.1346143244302433e-6;0.0;0.0;629.1157783013061;1527.0075588883446;57.897349171455474;4.478707709139944e-9;1630.329996087177;2344.3306718729136;81.77689690968022;6.786319934033695e-9;2836.1140007944537;0.0;0.0
2040.0;1.0072300817307214e-6;0.0;0.0;1280.5640005057005;1395.0646535039025;51.58628636052599;4.2528088481013785e-9;1523.9929295319243;2134.796758265976;73.45881659364807;6.338265345591891e-9;2703.0024995263175;0.0;0.0
2041.0;2.9472848268584146e-7;0.0;0.0;1.590671099428586e-8;1380.1435753714043;50.29748616594375;4.2365944067749855e-9;1592.1420604846955;2026.8326449182575;68.59208721880671;6.057409717367472e-9;2721.807054264387;0.0;0.0
