Year;EOM_avg;REC_y;ADD_CAP_CCGT_new;ADD_CAP_WindOffshore;ADD_CAP_SPP_coal;ADD_CAP_WindOnshore;ADD_CAP_Nuclear;ADD_CAP_Solar;ADD_CAP_OCGT;CAP_CCGT_new;CAP_WindOffshore;CAP_SPP_coal;CAP_WindOnshore;CAP_Nuclear;CAP_Solar;CAP_OCGT;FS_CCGT_new;FS_WindOffshore;FS_SPP_coal;FS_WindOnshore;FS_Nuclear;FS_Solar;FS_OCGT
2021.0;192.21449658914926;3.4612237618629385e-9;2.1730421282096375e-14;6.353999999974827;2.6025381924144122e-14;82.43499999999989;8.830814704263422e-14;55.41999999999968;5.390144041729116e-14;153.0;12.708;49.44;164.87;78.48;110.84;11.39;563.3020652566238;33.21589075511165;433.094399999879;306.18372823610747;687.4847999999981;123.18901013738775;0.0
2022.0;316.2253465239971;1.22215057289671e-7;2.2086902116573926e-14;6.676328550741527e-11;1.8657691341491107e-14;123.65249999999959;8.045166449198175e-14;83.12999999999859;5.432011001539802e-14;153.0;12.708;49.44;247.3049999999999;78.48;166.25999999999968;11.390000000000054;395.49267002403184;33.21589075511165;427.03324331153516;459.2755923539972;687.4847999999981;184.7835152058606;0.0
2023.0;146.5934103597075;-5.102465605403961e-8;2.2408979539195633e-14;2.024804280896315e-11;1.9083895676233825e-14;185.47874999999786;7.486986988664273e-14;124.69499999998209;5.4741318540125115e-14;145.35;18.355999999974827;46.144000000000005;359.96616666666614;74.556;242.00066666666496;10.251000000000108;252.42107551917243;47.97850884492846;338.6039463317383;668.5011399817282;648.7584116427604;268.96267213270414;0.0
2024.0;114.45202120649647;8.627330704255635e-10;2.7588127577652323e-14;2.2774659733236312e-11;2.435961277371064e-14;272.7224583325087;9.339434229154366e-14;28.150701049682066;7.21461480611202e-14;137.70000000000005;17.65000000004159;42.848000000000006;534.4535833333307;70.632;359.30633333331366;9.112000000000164;136.88381565845722;45.7400933162466;199.33831300700078;991.9983365885925;589.0378936591891;398.8267712518701;0.0
2025.0;81.65916415350695;1.920956067671049e-7;3.4885417607783377e-14;2.564245012018674e-11;3.241492602551602e-14;81.64229589219651;1.1878455831488013e-13;33.60701242620722;1.0134397474756403e-13;130.05000000000007;16.944000000061838;39.552;796.184708332506;66.708;380.06770104966245;7.973000000000234;63.88066515039498;41.178476918496834;109.71870500117988;1460.6214369265433;511.793179527741;418.28038198147;2.8528659666926265e-11
2026.0;83.59111198273742;7.343149209350857e-9;4.583748015427174e-14;2.8848034629690464e-11;9.097750938247245e-14;61.960573814280785;1.5511044730310816e-13;19.80251087745808;1.6004638012639473e-13;122.40000000000008;16.23800000008461;36.25599999999999;866.8356708913693;62.784000000000006;406.2853801425363;6.834000000000335;65.27131812514861;38.34151941917255;97.14017248289078;1581.6415818321682;469.23798755410866;445.78482825817713;2.8931680035009732e-11
2027.0;84.13131303736262;1.2115908082656564e-9;6.384160455670492e-14;3.2368658013004625e-11;7.326475483146053e-14;63.87348143956781;2.0931931167370359e-13;17.40605225927277;3.3692492368692525e-13;114.7500000000001;15.532000000110255;32.96;917.8049113723167;58.86;418.69855768666105;5.695000000000497;73.59461144422187;35.97486622850399;89.95373494701708;1667.345127942798;436.59960793919754;457.94270658423955;3.4177336345128547e-11
2028.0;84.50901341784306;2.7326944893586872e-9;9.059931596278286e-14;3.632512223155172e-11;3.2012680476607327e-13;70.72006598364773;2.8862904350375726e-13;19.038619530551745;0.28821362622574204;107.10000000000012;14.826000000139103;29.664;970.6870594785513;54.93599999999999;428.7152766126005;4.556000000000833;81.72848627632824;33.18164225167166;82.35193889122499;1756.8008297068554;405.0153537785468;466.2071736076918;3.807286283686913e-11
2029.0;84.97507363459644;2.0830198543803793e-9;1.3775911695227047e-13;4.0491317661687813e-11;6.694876865269542e-11;90.60681354767009;4.1562729893356383e-13;12.766696387773237;2.4221068131127317;99.45000000000017;14.120000000171473;26.368000000000027;1030.4157921288656;51.012;440.3645628098189;3.7052136262265747;88.06606844731117;30.343341840812474;73.10257411948756;1849.9682909504622;372.65835825137765;481.6142730606145;4.493800177324171e-11
2030.0;86.38939131872274;3.460806507559738e-9;2.2807226052877725e-13;4.543528839041376e-11;7.200322039570876e-12;86.0043412366832;6.775697822306452e-13;9.105343057421185e-10;3.0636602196691975;91.80000000000024;13.414000000207796;23.07200000000005;1110.0312723432023;47.088;445.74192586425875;4.988320439339307;88.46705345315767;29.306832770174275;61.07196194979838;1973.0609046238367;336.00451394230134;487.3378681851471;0.19177289761782185
