Year;CAP_SMR;CAP_SMRCCS;CAP_Alkaline_base;CAP_Alkaline_peak;PROD_SMR;PROD_SMRCCS;PROD_Alkaline_base;PROD_Alkaline_peak;IMPORT_Import;CN_CAP_Alkaline_peak_supported;CN_CAP_Alkaline_base_supported;CN_PROD_Alkaline_peak_supported;CN_PROD_Alkaline_base_supported;PriceH2;PremiumH2CN_prod;PremiumH2CN_cap;PremiumFP;StrikeH2CfD;RefH2CfD;CapacityGrant;TaxDeduction;CAP_Alkaline_peak_supported;CAP_Alkaline_base_supported;PROD_Alkaline_peak_supported;PROD_Alkaline_base_supported
2021.0;70.0;0.35;0.135;0.135;9.9072621089172;0.09290909089579974;1.0057190043171646e-8;5.230405386001893e-12;0.0;0.0;0.0;0.0;0.0;4.234303102215772;0.0;0.0;1.8287542018436143;1.8287542018436143;4.234303102225267;5.541679399526106;0.05541679399526104;0.0;0.0;0.0;0.0
2022.0;70.0;0.35;0.13500000029172476;0.13500000018248176;11.10554308017416;1.8506185323774073e-11;0.002869659952024554;0.0028696527468910623;0.0;0.0;0.0;0.0;0.0;7.314303102324349;0.0;0.0;1.8287542018436143;1.8287542018436143;7.314303102354819;5.541679399526106;0.05541679399526104;0.0;0.0;0.0;0.0
2023.0;65.33333333333817;7.326666666666631;0.12825000059710115;0.12825000018570631;10.27457097027232;1.944896969689599;0.0014627962716453758;0.0014627685556410745;0.0;0.0;0.0;0.0;0.0;2.8043031023154845;0.0;0.0;1.8287542018436143;1.8287542018436143;2.8043031023449165;5.541679399526106;0.05541679399526104;0.0;0.0;0.0;0.0
2024.0;60.666666666676434;14.303333333333226;0.12150000093902835;0.19145298105451314;6.232165368677979;3.7968848484777435;0.009050555464405115;0.014176709086462274;3.281280520084781;0.0;0.0;0.0;0.0;2.928533997389005;0.0;0.0;1.8287542018436143;1.8287542018436143;2.9285339060284103;5.541679399526106;0.05541679399526104;0.0;0.0;0.0;0.0
2025.0;56.000000000014744;14.821576885331302;0.11475000135766882;4.148762600043367;6.680894982942464;3.9344549550089165;0.011269053601509404;0.3835171785081685;3.4350277090871004;0.0;0.0;0.0;0.0;2.712320789321733;0.0;0.0;1.8287542018436143;1.8287542018436143;2.712318782520699;5.541679399526106;0.05541679399526104;0.0;0.0;0.0;0.0
2026.0;51.33333333335383;14.79824355199838;0.10800000184380372;9.139889310728927;4.453253423355956;3.9282610156149462;0.012170428218612842;0.9393319762996919;6.222634337476001;0.0;0.0;0.0;0.0;2.9791300161955543;0.0;0.0;1.8287542018436143;1.8287542018436143;2.979130202655542;5.541679399526106;0.05541679399526104;0.0;0.0;0.0;0.0
2027.0;46.666666666693864;14.774910218665209;0.10125000233343623;9.133139310731588;3.5667733298947204;3.922067076221486;0.011755986258405866;0.9814391359585274;8.184838663876096;0.0;0.0;0.0;0.0;3.0478168478241185;0.0;0.0;1.8287542018436143;1.8287542018436143;3.047817450404803;5.541679399526106;0.05541679399526104;0.0;0.0;0.0;0.0
2028.0;42.00000000003508;14.751576885331962;0.09450000278728961;9.126389310732614;2.3515880739300874;3.9158731368277664;0.011547205228342128;1.0401452496268555;10.458998505764454;0.0;0.0;0.0;0.0;3.1303907361820666;0.0;0.0;1.8287542018436143;1.8287542018436143;3.130391261539301;5.541679399526106;0.05541679399526104;0.0;0.0;0.0;0.0
2029.0;37.333333333377794;14.728243551998682;0.08775000318401596;9.119639310733183;0.8730813475259098;3.9096791974339022;0.011727846562750055;1.1426373042906586;12.956151774970325;0.0;0.0;0.0;0.0;3.2079977330850498;0.0;0.0;1.8287542018436143;1.8287542018436143;3.2111824789768235;5.541679399526106;0.05541679399526104;0.0;0.0;0.0;0.0
2030.0;32.66666666672244;14.704910218665384;0.08100000351820533;9.112889310733548;0.0056125892853277305;3.9034852580392774;0.011379997016386846;1.2572834122805883;14.825891683357813;0.0;0.0;0.0;0.0;3.172093629452373;0.0;0.0;1.8287542018436143;1.8287542018436143;3.18162594901784;5.541679399526106;0.05541679399526104;0.0;0.0;0.0;0.0
2031.0;28.00000000006971;14.68157688533208;0.07425000379270258;9.1061393107338;8.679393141907877e-9;1.8842118014645668;0.0006050268829044511;0.06351339184304533;6.785448057891248;0.0;0.0;5.9609977223551125;6.796746568395605;1.704825367103244;1003.7184854215817;0.0;1.8287542018436143;1.8287542018436143;1.8225139238765082;5.541679399526106;0.05541679399526104;69.15293061094323;54.31591087384473;5.960997722355106;6.796746568397252
2032.0;23.333333333420693;14.65824355199878;0.06750000413834693;9.09938931073412;4.324375402024542e-9;1.9924214412610697;0.0006682009211039097;0.0725080835911106;7.503245843765966;0.0;0.0;6.255723650436767;7.1462434624190445;1.6413391228481853;677.270050440001;0.0;1.8287542018436143;1.8287542018436143;1.7749853759715268;5.541679399526106;0.05541679399526104;69.15293061094323;54.31591087384473;6.255723650436758;7.14624346242121
2033.0;18.666666666777363;14.634910218665485;0.060750004584025394;9.092639310734532;2.8328243100576228e-9;2.01368884876777;0.000917190074590983;0.10935455759169574;8.263566203521622;0.0;0.0;6.574868544802726;7.53032511770252;1.7485404081088032;388.9218568565019;0.0;1.8287542018436143;1.8287542018436143;1.8814997241248683;5.541679399526106;0.05541679399526104;69.15293061094323;54.31591087384473;6.5748685448027295;7.53032511770477
2034.0;14.00000000014376;14.611576885332196;0.05400000517895133;9.08588931073508;2.1926640924493235e-9;2.0082018976537657;0.001165157691216457;0.1851856479860563;8.921452242617445;0.0;0.0;6.919630965340411;7.9639764943483025;1.8849643086182615;44.98919819626889;0.0;1.8287542018436143;1.8287542018436143;2.0187734606981356;5.541679399526106;0.05541679399526104;69.15293061094323;54.31591087384473;6.919630965351902;7.963976494352201
2035.0;9.333333333530595;14.588243551998913;0.047250006003441404;9.079139310735833;1.9274097826077025e-9;2.0080151768665955;0.0019203357041261146;0.24226634907456224;9.742169095948672;0.0;0.0;7.216262196023193;8.300029402944356;2.0497808059042653;-221.33031036378276;0.0;1.8287542018436143;1.8287542018436143;2.168395031929316;5.541679399526106;0.05541679399526104;69.15293061094323;54.31591087384473;7.216262196025249;8.30002940295032
2036.0;4.666666666977543;14.564910218665634;0.04050000722224422;9.072389310736927;1.7662736153209136e-9;2.0413978185095467;0.0042105233632239066;0.2772068125257145;10.860817625037006;0.0;0.0;7.417579911161688;8.411128767140282;2.194591270613099;-324.1617296148121;0.0;1.8287542018436143;1.8287542018436143;2.3037308946960398;5.541679399526106;0.05541679399526104;69.15293061094323;54.31591087384473;7.417579911164332;8.411128767153045
2037.0;4.734493745292512e-8;14.54157688533236;0.03375000914757819;9.065639310738682;1.33778823301245e-9;2.1014931957599052;0.00599706606190428;0.6167725879224186;12.298607190351698;0.0;0.0;7.30848997273035;3.229650981426197;2.347561307331746;-166.39163599104586;0.0;1.8287542018436143;1.8287542018436143;2.468198958371771;5.541679399526106;0.05541679399526104;69.15293061094323;54.31591087384473;7.30848997273413;8.1681389678188
2038.0;4.804814538478507e-8;14.541576885332422;0.027000012475173762;9.05888931074194;1.3108805304994639e-9;2.1324493388663446;0.004876653835197465;0.8613409181598476;13.434083678642809;0.0;0.0;7.288691662319127;1.415414624118516e-11;2.4187609182316336;-220.3374401568061;0.0;1.8287542018436143;1.8287542018436143;2.543154016114679;5.541679399526106;0.05541679399526104;69.15293061094323;54.31591087384473;7.288691662324849;8.272045490683038
2039.0;5.019670957448417e-8;14.541576885332493;0.020250019746795463;9.052139310750587;1.2853884873532974e-9;2.126262671366963;0.0037541097058449695;1.0945725572672267;14.271328941468127;0.0;0.0;7.431722948605838;7.39615546668037e-12;2.464636580418966;-477.3528283511735;0.0;1.8287542018436143;1.8287542018436143;2.5845508610926604;5.541679399526106;0.05541679399526104;69.15293061094323;54.31591087384473;7.431722948617434;8.569393971869113
2040.0;5.48723201496104e-8;14.541576885332574;0.013500081803289514;9.045390218989194;1.2696647554981876e-9;2.130529425547121;0.0026006204379323866;1.3157111805275483;15.081509536611552;0.0;0.0;0.4923329816266099;5.161540150657692e-12;2.519692778248298;-703.4968922348963;0.0;1.8287542018436143;1.8287542018436143;2.630955190974637;5.541679399526106;0.05541679399526104;69.15293061094323;54.31591087384473;7.583365796182146;8.884763035675075
