Year;CAP_COST_Alkaline_base;CAP_COST_Alkaline_peak_supported;CAP_COST_Alkaline_base_supported;CAP_COST_Alkaline_peak;ELEC_COST_Alkaline_base;ELEC_COST_Alkaline_peak_supported;ELEC_COST_Alkaline_base_supported;ELEC_COST_Alkaline_peak;H2_REV_Alkaline_base;H2_REV_Alkaline_peak_supported;H2_REV_Alkaline_base_supported;H2_REV_Alkaline_peak;SUPPORT_Alkaline_peak_supported;SUPPORT_Alkaline_base_supported
2021.0;425.3191861702559;0.0;0.0;1012.4999999936225;3.1998326340672597e-7;-0.0;-0.0;2.4877990948806348e-8;9.523632511541332e-8;0.0;0.0;6.086986577456986e-9;0.0;0.0
2022.0;2.369619998100276e-8;0.0;0.0;378.02008843335534;59.371179557639124;-0.0;-0.0;152.01791641066384;87.2050163219197;0.0;0.0;199.56024630766368;0.0;0.0
2023.0;2.2867297172597476e-7;0.0;0.0;14375.453303151233;4.16997154463382;-0.0;-0.0;14.926128698893589;17.752343234786093;0.0;0.0;61.32625780006907;0.0;0.0
2024.0;4722.01430071174;0.0;0.0;4684.796210993189;66.1615220416346;-0.0;-0.0;1795.400627058173;126.0182903563103;0.0;0.0;3761.8432943869893;0.0;0.0
2025.0;11943.031318204314;0.0;0.0;769.1146514125603;1051.4875319079529;-0.0;-0.0;2984.0861742404627;1695.430444037638;0.0;0.0;5297.562315127469;0.0;0.0
2026.0;3337.8191822452995;0.0;0.0;964.5181111192054;3920.289823361618;-0.0;-0.0;2810.4563709149434;5954.1820686344945;0.0;0.0;4954.506235306158;0.0;0.0
2027.0;9.708485180626038e-6;0.0;0.0;2805.0383456912778;4211.3691194687835;-0.0;-0.0;2539.81488095651;6422.070830727892;0.0;0.0;4557.114648397821;0.0;0.0
2028.0;3.38193065537079e-7;0.0;0.0;1074.5984384776127;3823.6062841482367;-0.0;-0.0;2948.422534198793;5793.535467116308;0.0;0.0;5077.259715116701;0.0;0.0
2029.0;2.3732372910076795e-8;0.0;0.0;1.821998901372758e-9;3302.4199363673656;-0.0;-0.0;2817.285701056239;5181.06886900068;0.0;0.0;5031.394245786027;0.0;0.0
2030.0;7.515043491007487e-9;2311.223936567542;4103.112031454179;5.080172543234822e-10;2728.557757085879;-0.0;-0.0;2369.2648749079517;4548.24338640281;0.0;0.0;4589.507994502945;0.0;0.0
