Year;CAP_SMR;CAP_SMRCCS;CAP_Alkaline_base;CAP_Alkaline_peak;PROD_SMR;PROD_SMRCCS;PROD_Alkaline_base;PROD_Alkaline_peak;IMPORT_Import;CN_CAP_Alkaline_peak_supported;CN_CAP_Alkaline_base_supported;CN_PROD_Alkaline_peak_supported;CN_PROD_Alkaline_base_supported;PriceH2;PremiumH2CN_prod;PremiumH2CN_cap;PremiumFP;StrikeH2CfD;RefH2CfD;CapacityGrant;TaxDeduction;CAP_Alkaline_peak_supported;CAP_Alkaline_base_supported;PROD_Alkaline_peak_supported;PROD_Alkaline_base_supported
2021.0;70.0;0.35;0.135;0.135;9.907048107289746;0.09290909089700283;4.0646663674867545e-11;1.4903479302443088e-11;0.0;0.0;0.0;0.0;0.0;4.2529535256218445;0.0;0.0;1.175617053746009;1.175617053746009;4.252953527006452;3.5624759204424246;0.03562475920442436;0.0;0.0;0.0;0.0
2022.0;70.0;0.35;0.13500000000931306;0.26999999999998203;11.102316407735533;2.0326432911071468e-11;0.003011592457265476;0.0057393054889671585;0.0;0.0;0.0;0.0;0.0;7.332953538831988;0.0;0.0;1.175617053746009;1.175617053746009;7.33295354289735;3.5624759204424246;0.03562475920442436;0.0;0.0;0.0;0.0
2023.0;65.33333333334895;0.6766666666666494;0.12825000001699677;0.5332499999963753;12.035006988699871;0.17962424241729233;0.0014627686507778586;0.0060820376520535;0.0;0.0;0.0;0.0;0.0;2.822953567316279;0.0;0.0;1.175617053746009;1.175617053746009;2.822953577262634;3.5624759204424246;0.03562475920442436;0.0;0.0;0.0;0.0
2024.0;60.666666666695036;1.0033333333332852;0.1215000000286219;1.0664999999910871;9.601916564306936;0.26633939393271744;0.008996831250558475;0.07775606402726842;3.3782876304192215;0.0;0.0;0.0;0.0;2.949048775991684;0.0;0.0;1.175617053746009;1.175617053746009;2.9490487638108998;3.5624759204424246;0.03562475920442436;0.0;0.0;0.0;0.0
2025.0;56.00000000004099;1.6799999999998438;0.11475000011495015;2.132999999981269;10.23665082652411;0.4459636363576455;0.010960644633863969;0.19937703087005287;3.5514520005160195;0.0;0.0;0.0;0.0;2.7348734285649794;0.0;0.0;1.175617053746009;1.175617053746009;2.7348734430554114;3.5624759204424246;0.03562475920442436;0.0;0.0;0.0;0.0
2026.0;51.333333333389255;2.6833333333329676;0.10800000012347655;4.2659999999618785;8.022566337217043;0.7123030302969896;0.011707303355084799;0.44636331894594605;6.3625759675715345;0.0;0.0;0.0;0.0;3.0039612241745512;0.0;0.0;1.175617053746009;1.175617053746009;3.0039611741971024;3.5624759204424246;0.03562475920442436;0.0;0.0;0.0;0.0
2027.0;46.666666666742515;4.3633333333316955;0.10125000012774399;8.53199999992287;6.212994706978241;1.1582666666605148;0.01195416482181476;0.9306738917928189;8.352785850359135;0.0;0.0;0.0;0.0;3.0751147167025636;0.0;0.0;1.175617053746009;1.175617053746009;3.07511486253468;3.5624759204424246;0.03562475920442436;0.0;0.0;0.0;0.0
2028.0;42.00000000009893;4.339999999998548;0.09450000013051124;17.063999999843436;3.975420927754453;1.1520727272668123;0.012345438936698771;1.9771795950092226;10.660742929337857;0.0;0.0;0.0;0.0;3.160426434690107;0.0;0.0;1.175617053746009;1.175617053746009;3.1604265105586546;3.5624759204424246;0.03562475920442436;0.0;0.0;0.0;0.0
2029.0;37.33333333345798;4.316666666665289;0.08775000013254167;32.16471409649196;1.4786750774063713;1.1458787878716996;0.012518579343680562;3.9277088768461534;12.324373626001787;0.0;0.0;0.0;0.0;3.1218404266470556;0.0;0.0;1.175617053746009;1.175617053746009;3.139257233840821;3.5624759204424246;0.03562475920442436;0.0;0.0;0.0;0.0
2030.0;32.66666666682498;4.293333333332005;0.08100000013422486;32.15796409649485;0.4206222490842958;1.139684848476145;0.012269408408890558;4.173603963603439;14.253395921737068;0.0;0.0;0.0;0.0;3.1005751489933715;0.0;0.0;1.175617053746009;1.175617053746009;3.1305861534143875;3.5624759204424246;0.03562475920442436;0.0;0.0;0.0;0.0
2031.0;28.000000000203382;4.26999999999871;0.07425000013562291;32.15121409649623;0.21949107921377317;0.5869413065657646;0.0005658740610420005;0.08267816183766846;7.927913533522012;0.0;0.0;6.714298389748467;5.947989913246131;1.9227602904219827;1846.9038189519574;0.0;1.175617053746009;1.175617053746009;2.046467756033776;3.5624759204424246;0.03562475920442436;86.50575113042812;44.80929078429692;6.714298389748472;5.947989913257779
2032.0;23.33333333371053;4.24666666666542;0.06750000013737194;32.14446409649799;0.17924768176260422;0.5818400740799896;0.0005144318857014983;0.13134587319388874;8.516144851218693;0.0;0.0;7.190130231797035;6.391655744838031;1.9613093901153489;1060.937935630462;0.0;1.175617053746009;1.175617053746009;2.085630690081694;3.5624759204424246;0.03562475920442436;86.50575113042812;44.80929078429692;7.190130231797031;6.391655744851532
2033.0;18.66666666736618;4.2233333333321355;0.06075000013961272;32.137714096500254;0.11951343187154952;0.5786431505924887;0.0006012846121245725;0.16447667723505735;9.193470754889908;0.0;0.0;7.627524779346823;6.809296892570167;1.988986526129595;334.6376520911311;0.0;1.175617053746009;1.175617053746009;2.118564337504698;3.5624759204424246;0.03562475920442436;86.50575113042812;44.80929078429692;7.627524779346823;6.809296892591537
