Year;CAP;Supply;Cancellation;MSR;TNAC;Emissions_Ind;Emissions_H2S;Emissions_PS;EUAprice;EUAs_Ind;EUAs_PS
2021.0;1596.0;3174.772426;0.0;0.0;1936.718208377514;512.9;89.45386563426102;635.7003519882251;80.0;1475.3398674385314;1699.284424585088
2022.0;1552.0;1552.0;0.0;0.0;2098.6440973838044;737.8444748035536;100.11421908587938;552.1154171042764;79.4430560948992;1101.4490278886565;450.5508800398519
2023.0;1509.0;1509.0;0.0;0.0;2347.8643012005787;739.0632105917201;108.69397384629487;412.0226117452109;79.44305609489773;1090.6994162472956;418.30049168121235
2024.0;1412.0;1412.0;0.0;0.0;2603.2027653602854;814.2838145424387;87.02996985861476;255.34775143923957;87.38741394848878;1074.5150863848105;337.48480865423545
2025.0;1412.0;1412.0;0.0;0.0;2897.637821817506;809.129557579548;92.02509675437524;216.41028920885617;96.12621731742523;1077.4857703484513;334.5141108594013
2026.0;1295.0;1295.0;0.0;0.0;3122.409554333757;803.5710376035543;70.3693213071214;196.28790857307322;105.73891282607167;1049.9323433471206;245.06752294869202
2027.0;1233.0;1233.0;0.0;0.0;3325.730610790185;797.5765449503571;52.82885728380775;179.27354130940742;116.31289395770266;1034.859727628495;198.14012229724392
2028.0;1141.0;1141.0;0.0;0.0;3494.463592572609;791.1118854635919;26.750720354318247;154.40441239966606;127.9442902567559;996.4853368930516;144.51449525426057
2029.0;1049.0;1049.0;0.0;0.0;3640.467029342597;784.1401790545824;16.152445506607414;102.70393866882229;140.7388500245864;955.2791487851683;93.72066361206276
2030.0;958.0;958.0;0.0;0.0;3718.803137154992;776.6216532347495;6.347667650525392;96.69457130233025;154.81289659631864;905.122921877634;52.87686834256071
2031.0;866.0;866.0;0.0;0.0;3748.8930872651354;768.5134150254822;2.9242142886414837;64.47242057573222;170.29438767760968;830.4767361805741;35.52302890838646
2032.0;774.0;774.0;0.0;0.0;3701.2433686527775;759.7692060279958;2.5886815208678815;59.29183106349448;187.32407922375074;738.7433879667732;35.256348450103545
2033.0;682.0;682.0;0.0;0.0;3576.1035547648794;750.3391382915331;2.0811994192757264;54.71947617708912;206.05680572761278;643.1623314737291;38.83737209211468
2034.0;591.0;591.0;0.0;0.0;3376.0436094262595;740.1694094162799;1.2567065110530176;49.63382941128621;226.66288865151003;551.5741888924373;39.42547695836863
2035.0;499.0;499.0;0.0;0.0;3097.3661996206715;729.2005739827697;0.41720534739511034;48.05963047542312;249.33203954249814;460.1846816340436;38.81495520954798
2036.0;407.0;407.0;0.0;0.0;2737.6989283900975;717.3728490413115;0.41397717692288694;48.88044501233995;274.2657815886163;362.19346770057024;44.80613336914111
2037.0;315.0;315.0;0.0;0.0;2291.4318602796184;704.6142065596148;0.4337749046183891;56.21908664624591;301.6984470551003;275.987383517212;39.01196145379738
2038.0;224.0;224.0;0.0;0.0;1766.3489516897298;690.8578601305669;0.44857360794428236;57.776474851377635;331.8693405471248;178.44546775833646;45.553810444792454
2039.0;132.0;132.0;0.0;0.0;1168.8235726138514;676.022462213921;0.4107492293841607;53.092167632573236;365.05756305602586;105.42356744089054;26.575636198861375
2040.0;40.0;40.0;0.0;0.0;498.9897861595589;660.0233514619991;0.410749229096939;49.39968576319643;401.5649110040059;2.888322033789858;37.110797842340936
2041.0;0.0;0.0;0.0;0.0;302.1848973736778;147.12335146199916;0.4107492288835975;49.27078809499833;4187.399443831059;7.623502240868956e-15;1.0661780609958037e-11
2042.0;0.0;0.0;0.0;0.0;263.40330123290346;0.0;0.41074922787475354;38.370846912899616;4211.372058962919;8.457896537918694e-15;1.1791490498523251e-11
2043.0;0.0;0.0;0.0;0.0;228.00820469350208;0.0;0.3984119681366868;34.99668457126468;4233.242552147906;9.345438978470585e-15;1.3064256458606802e-11
2044.0;0.0;0.0;0.0;0.0;195.97282133185917;0.0;0.26112453884079645;31.77425882280212;4253.858156710723;1.028618521626012e-14;1.4499277804506163e-11
2045.0;0.0;0.0;0.0;0.0;168.40929085791265;0.0;0.19720049734289052;27.366329976603623;4274.176880081222;1.1286501916591257e-14;1.61182152904631e-11
2046.0;0.0;0.0;0.0;0.0;143.649938423253;0.0;0.1972004854490039;24.56215194921064;4292.703826931376;1.4341303606911025e-14;1.7958272923600994e-11
2047.0;0.0;0.0;0.0;0.0;121.59887696554979;0.0;0.19720048539794252;21.853860972305252;4310.309438014417;2.0667142604675464e-14;2.0053561306425774e-11
2048.0;0.0;0.0;0.0;0.0;103.66441980350828;0.0;0.17395451298633186;17.760502649055173;4327.353146340753;2.7338412137743415e-14;2.244797703985927e-11
2049.0;0.0;0.0;0.0;0.0;88.65377382799275;0.0;0.15070854062242223;14.859937434893112;4342.886408559823;3.161356035811773e-14;2.520508796750174e-11
2050.0;0.0;0.0;0.0;0.0;75.59898200701808;0.0;0.04026707092131816;13.014524750053358;4357.813696810934;3.8367520175350485e-14;2.8391513334770537e-11
2051.0;0.0;0.0;0.0;0.0;63.354155287714605;0.0;0.013920612189013217;12.230906107114459;4371.981113864918;5.392675083822567e-14;3.210040208672909e-11
2052.0;0.0;0.0;0.0;0.0;53.57644194393811;0.0;5.957808329724239e-9;9.777713337818685;4384.887573428934;8.274902549331071e-14;3.645728359656829e-11
2053.0;0.0;0.0;0.0;0.0;44.312121680289415;0.0;5.930898099769376e-9;9.264320257717795;4397.452373401272;1.4468699358221274e-13;4.161098420531633e-11
2054.0;0.0;0.0;0.0;0.0;36.2046502216057;0.0;5.917148516650723e-9;8.107471452766571;4409.135581838286;2.9374257025600225e-13;4.778171486873034e-11
