Year;CAP_SMR;CAP_SMRCCS;CAP_Alkaline_base;CAP_Alkaline_peak;PROD_SMR;PROD_SMRCCS;PROD_Alkaline_base;PROD_Alkaline_peak;IMPORT_Import;CN_CAP_Alkaline_peak_supported;CN_CAP_Alkaline_base_supported;CN_PROD_Alkaline_peak_supported;CN_PROD_Alkaline_base_supported;PriceH2;PremiumH2CN_prod;PremiumH2CN_cap;PremiumFP;StrikeH2CfD;RefH2CfD;CAP_Alkaline_peak_supported;CAP_Alkaline_base_supported;PROD_Alkaline_peak_supported;PROD_Alkaline_base_supported
2021.0;70.0;0.35;0.135;0.135;9.914351649453398;0.09290909050524053;4.736784418739332e-13;1.2003569097610884e-12;0.0;0.0;0.135;0.0;0.0;4.299259778655029;0.0;0.0;0.0;0.0;4.299259778571834;0.0;0.135;0.0;6.454939460966442e-12
2022.0;70.0;0.35;0.13500000000016993;1.1302039683782417;11.09011301675837;1.1130854776579935e-9;0.002869652741141339;0.022532507194734593;0.0;0.0;0.135;0.0;0.0;7.3792590942066;0.0;0.0;0.0;0.0;7.379259131527251;0.0;0.135;0.0;0.002869652743276787
2023.0;65.33333333333336;3.826666666665582;0.128250000000305;1.123453968429066;11.197945288239936;1.0158060603848655;0.0014627685415702536;0.012813669566179367;0.0;0.0;0.12825;0.0;0.0;2.3467593525041015;0.0;0.0;0.0;0.0;2.3467594163624517;0.0;0.12825;0.0;0.0014627685504046768
2024.0;60.66666666666674;7.303333333330115;0.12150000000050783;12.41874365268965;9.439876245266246;1.938703030086658;0.00976084246084688;0.8026604477704025;1.1409402521928325;0.0;0.12150000000000001;0.0;0.0;2.4642509161840698;0.0;0.0;0.0;0.0;2.464255904147856;0.0;0.12150000000000001;0.0;0.009760842451435344
2025.0;56.00000000000011;32.08972732931097;0.1147500000009248;15.924512938685767;3.1680165969480267;8.518363981759993;0.011371815506461795;1.2119117712867638;1.5297055795786683;0.0;0.11475;0.0;0.0;2.3289296628179716;0.0;0.0;0.0;0.0;2.3289229431234526;0.0;0.11475;0.0;0.011371815487791965
2026.0;51.33333333333347;32.06639399598416;0.10800000000229273;24.394000677465435;1.3129980762325353;8.512170042304447;0.01253787798478399;2.133795955619464;3.577709167117159;0.0;0.10800000000000001;0.0;0.0;2.4792263400408747;0.0;0.0;0.0;0.0;2.500304783156021;0.0;0.10800000000000001;0.0;0.012537877956679778
2027.0;46.666666666666856;32.04306066265424;0.10125000001807483;29.382228973290214;0.5732872731096456;8.477447332833405;0.012638110995086157;2.6023804326804783;4.991676212493671;0.0;0.10125;0.0;0.0;2.4897026966417894;0.0;0.0;0.0;0.0;2.518422065083174;0.0;0.10125;0.0;0.012638110955828577
2028.0;42.00000000000025;32.019727329323246;1.1744999794613797;33.86843285732574;0.10100336540571891;8.332146383832978;0.15419079181543818;3.143358213131333;6.037200745341092;0.0;0.0945;0.0;0.0;2.4286660348564904;0.0;0.0;0.0;0.0;2.467214590946581;0.0;0.0945;0.0;0.01240615582712147
2029.0;37.33333333333365;31.99639399599182;2.699827003638689;42.63007994257164;3.662225719355223e-11;7.9876409534087776;0.37594213638087576;4.189600234362984;6.328807187787982;0.0;0.08775000000000001;0.0;0.0;2.262482800612852;0.0;0.0;0.0;0.0;2.30118404787374;0.0;0.08775000000000001;0.0;0.012218902255005564
2030.0;32.666666666667055;31.97306066266038;3.5249849349711324;52.70931991249647;1.6427202816831054e-11;7.129978791828858;0.5078025777190798;5.338736240928592;7.00844689029442;0.0;0.081;0.0;0.0;2.1532604481312734;0.0;0.0;0.0;0.0;2.1904420996063103;0.0;0.081;0.0;0.011649903995967518
