Year;EOM_avg;REC_y;ADD_CAP_CCGT_new;ADD_CAP_WindOffshore;ADD_CAP_SPP_coal;ADD_CAP_WindOnshore;ADD_CAP_Nuclear;ADD_CAP_Solar;ADD_CAP_OCGT;CAP_CCGT_new;CAP_WindOffshore;CAP_SPP_coal;CAP_WindOnshore;CAP_Nuclear;CAP_Solar;CAP_OCGT;FS_CCGT_new;FS_WindOffshore;FS_SPP_coal;FS_WindOnshore;FS_Nuclear;FS_Solar;FS_OCGT
2021.0;199.08685782570413;1.7286416405012677e-9;1.98160951833405e-14;6.35399999999882;1.367151236233281e-12;82.43499999999996;1.9700578318123588e-14;55.41999999999991;5.0983309517111215e-12;153.0;12.708;49.44;164.87;78.48;110.84;11.39;563.1438016937792;33.21589075511165;433.0943999965232;306.18372823610747;687.4847999999981;123.18901013738775;0.0
2022.0;322.4015814916242;-3.310272093220199e-8;2.0179610327281075e-14;1.7126783636064132e-12;1.0750361827596255e-12;123.6524999999998;1.8142798139533288e-14;83.12999999999955;5.137888930216572e-12;153.0;12.708;49.44;247.30499999999995;78.48;166.2599999999999;11.390000000005099;395.3653712854683;33.21589075511165;424.8726592558472;459.27559235410365;687.4847999999981;184.7835152060256;0.0
2023.0;120.66311182251457;-3.176628404694938e-7;2.0535831504374344e-14;6.822552140779169e-13;3.143827012657305e-12;185.47874999999837;1.698936411909972e-14;59.053774537545095;5.179622649080384e-12;145.35;18.35599999999882;46.144000000000005;359.9661666666664;74.556;242.00066666666615;10.251000000010235;252.3975735350502;47.97850886762877;339.37801643653654;668.5011399819797;645.9784755570056;268.9626721331131;8.796012603166195e-9
2024.0;94.4874167145286;-5.605086259795957e-7;2.618137923222354e-14;7.664477352942221e-13;3.754249680675924e-12;113.08371506317663;2.126195118535544e-14;1.7094468248875857e-11;6.8790654600246615e-12;137.70000000000005;17.65000000000053;42.848000000000006;534.4535833333315;70.632;293.6651078708779;9.112000000015415;144.57819366312577;45.227112982215395;216.270556094496;989.2515995999529;547.1371153163396;323.3360875739116;6.028212326030733e-9
2025.0;80.47457117990872;-1.0932944304847365e-7;3.48160005833396e-14;8.605468863971568e-13;1.650965234283401e-11;84.09232301724414;2.709769618878213e-14;12.076696460520608;9.791212431420521e-12;130.05000000000004;16.944000000001214;39.552;636.5459650631748;66.708;286.27577453756163;7.973000000022294;131.36859461431018;42.57174108443263;175.11415514592565;1169.046483049672;481.4324441608678;311.6443401005394;8.828198357773525e-9
2026.0;82.85306648065517;-2.5414286876527697e-8;4.830907146828845e-14;9.699098049418263e-13;3.1322716017562523e-12;65.57207195501098;3.548444237527369e-14;26.388939952009842;1.5884161029947472e-11;122.40000000000006;16.23800000000198;36.25599999999999;709.6469547470856;62.784000000000006;290.9631376647489;6.834000000032085;133.4259140819291;39.771244455733125;152.13020565272427;1286.3259298973858;436.11439604756794;315.66962566338896;8.288135102690246e-9
2027.0;83.26803567698387;-6.194383908163056e-8;6.554527130456653e-14;1.0898279944285998e-12;3.270222833558306e-11;80.59782759117998;4.800495175676989e-14;36.50692117143465;3.645703463367957e-11;114.75000000000009;15.53200000000284;32.96;764.2276933687632;58.86;309.9627442834254;5.695000000047971;142.84432130444202;36.22406625628391;134.44759452433098;1376.6992896566862;403.0323065946339;335.15264176808154;0.006087123839262605
2028.0;83.91452410016753;-4.793972480150206e-8;7.580516629676577e-14;1.1982695036463988e-12;1.0381006288316872e-11;94.64298653041759;6.628796187392843e-14;10.2493853153386;2.41885573779841;107.10000000000012;14.82600000000381;29.664;833.83418762661;54.93599999999999;339.08033212152674;4.556000000084428;143.48107402709226;36.960136015813895;114.77201258316697;1491.5351370877165;372.8262144018952;364.111962172093;0.19172886733479233
2029.0;86.0467961107145;-5.0492010644026516e-8;1.1341204884880974e-13;1.2955679358579971e-12;1.6437785424969419e-9;104.6525403954525;9.558414804499079e-14;22.887841592010638;3.4874278688265847;99.45000000000017;14.120000000004902;26.36800000000137;917.4858408236942;51.012;341.940384103532;5.835855737882836;231.6181755473002;33.007435494356;7.858144834424634;1610.6209763828367;318.7677373477995;369.38034935065787;0.4720968189209833
2030.0;88.0448965627717;-6.223637454765176e-8;1.7280803425036646e-13;1.4431413679164633e-12;1.854567358572163e-10;191.9066587778194;1.5603340595057015e-13;182.41411284775583;6.13086962381657e-10;91.80000000000024;13.414000000006098;23.072000000002443;1011.1470478858134;47.088;357.43889236220934;8.184283606709423;204.27990679849603;31.042119708737484;9.058683077532958;1730.789657777894;261.3881071838123;381.71448040133856;0.8989783650528433
2031.0;84.31595462555104;-2.0211319917531814e-5;3.0080118711273485e-13;1.584026365146726e-12;1.3921871642524752e-10;74.02309668676351;3.4260181132825707e-13;4.717829278871812e-11;4.09214180347469;84.15000000000033;12.708000000007395;19.776000000005585;1192.0623733302996;43.16400000000002;532.4636718766318;7.04528360732251;122.19784911192795;33.05289141307318;2.7936823860663758;2144.404719730966;321.46154799233454;581.2019046037767;0.27085158488763555
2032.0;86.51872227242947;-2.901924159746454e-5;5.228146614100225e-13;1.7256880181610045e-12;1.2664317912677933e-10;82.25611413548113;1.545662108865826e-10;16.730913542070706;5.568712705222348;76.50000000000043;12.002000000008838;16.48000000000934;1255.0941366837296;39.24000000000004;525.0743385433457;9.9984254107972;112.58239259267087;31.211541002691156;4.803416858624632;2240.239675861566;287.21311780068214;572.4264492435051;0.5655889930202171
2033.0;87.12868293432794;-3.118721696703569e-6;1.3364437086221729e-12;1.93248306773537e-12;1.937323323549875e-10;90.1295425894539;1.628529081782397e-11;20.16947770463397;7.783569057828354;68.8500000000006;11.296000000010421;13.18400000002585;1326.3589174858773;35.31600000000006;534.415918752083;15.567138116019548;100.26654329699765;29.256840842251272;1.838042982304184;2342.613023366298;248.35532766598553;579.9785269514608;6.037234314415905
2034.0;88.68712956549078;-3.0682386692554635e-6;2.127890419265853e-9;2.1979941537691228e-12;2.2589622794213157e-10;81.59506375709938;1.5700646774955045e-11;15.141203157137905;11.675353586274845;61.2000000000009;10.590000000012147;9.888000000028983;1405.4971267419978;31.392000000000078;547.1960631233836;23.3507071738479;86.83667998710354;26.158406524867818;1.2545673731993967;2454.8490380438807;210.24012647360698;587.6212961941793;8.809415297270426
2035.0;89.87507231775865;-5.660758973319919e-7;2.9877215872191134e-12;2.3083714645739836e-12;1.2751521617430435e-10;44.94620247960987;1.9877614006853313e-11;26.94376225042906;11.199676936706515;53.55000000000142;9.88400000001408;6.5920000000616845;1476.100857165764;27.4680000000001;554.9479329471882;35.026060760122746;75.53032083140351;24.75821038844503;0.5383833693448392;2543.3332819693983;177.03550332720465;598.8974299396133;13.665426672977656
2036.0;93.25907615942049;-3.2365718535749807e-6;1.1235691987226108e-12;2.2700328790531618e-12;1.412892988182445e-10;1.2661787674803102e-11;2.0323082708469386e-11;58.35061317806564;17.1203326980727;45.900000000002755;9.17800000001628;3.2960000000720657;1510.0557263120404;23.54400000000014;574.5023618642838;46.22573769682926;69.25777716672586;20.51829057472575;0.2681885791936347;2585.5563207474097;148.9483664670756;621.2677088281536;22.342698551353177
