Year;CAP_SMR;CAP_SMRCCS;CAP_Alkaline_base;CAP_Alkaline_peak;PROD_SMR;PROD_SMRCCS;PROD_Alkaline_base;PROD_Alkaline_peak;IMPORT_Import;CN_CAP_Alkaline_peak_supported;CN_CAP_Alkaline_base_supported;CN_PROD_Alkaline_peak_supported;CN_PROD_Alkaline_base_supported;PriceH2;PremiumH2CN_prod;PremiumH2CN_cap;PremiumFP;StrikeH2CfD;RefH2CfD;CAP_Alkaline_peak_supported;CAP_Alkaline_base_supported;PROD_Alkaline_peak_supported;PROD_Alkaline_base_supported
2021.0;70.0;0.35;0.135;0.135;9.9065217915718;0.09290909088555598;3.1360978317281262e-12;1.343675686461881e-12;0.0;0.0;0.135;0.0;0.0;4.241453504774722;0.0;0.0;0.0;0.0;4.241453504769535;0.0;0.135;0.0;3.238872370583664e-12
2022.0;70.0;0.35;0.5736141963841166;1.754999999945718;11.064779871320368;3.519707993073206e-11;0.012193137415780072;0.030960216027719603;0.0;0.0;0.135;0.0;0.0;7.32145499956462;0.0;0.0;0.0;0.0;7.321454962531214;0.0;0.135;0.0;0.0028696527421261282
2023.0;65.33333333333333;3.826666666666534;0.5668641963874791;1.7482499999559558;11.178297831421702;1.0158060605927586;0.006465427790772562;0.019169041208146307;0.0;0.0;0.12825;0.0;0.0;2.8114529885988526;0.0;0.0;0.0;0.0;2.811453076432781;0.0;0.12825;0.0;0.001462768545234238
2024.0;60.66666666666668;6.332361404631217;0.5601141964192665;22.801499999201802;6.661535947118729;1.6809541183075418;0.048494664226016344;1.4463059848995463;3.4869706608589133;0.0;0.12150000000000001;0.0;0.0;2.9364341943140664;0.0;0.0;0.0;0.0;2.9364273898325037;0.0;0.12150000000000001;0.0;0.010448994946787329
2025.0;56.00000000000001;6.309028071298015;7.35573455338354;28.595166268145967;5.949805005602008;1.674760178914883;0.9138583111367198;2.280263481036551;3.6127549116557325;0.0;0.11475;0.0;0.0;2.712953292958777;0.0;0.0;0.0;0.0;2.715988682988369;0.0;0.11475;0.0;0.014446618168867659
2026.0;51.33333333333334;6.285694737964797;22.054192220493096;30.44152815921657;2.7825949906668748;1.5007928286201355;2.9109195566134556;2.4622853891139567;5.885629578809891;0.0;0.10800000000000001;0.0;0.0;2.868947462300677;0.0;0.0;0.0;0.0;2.897303211852959;0.0;0.10800000000000001;0.0;0.012965190499045183
2027.0;46.66666666666668;6.262361404631569;27.20288470404537;32.161373707327;1.7753774301299583;1.4516539211340103;3.6569295458923667;2.658339892253171;7.111114124221643;0.0;0.10125;0.0;0.0;2.8175383492117536;0.0;0.0;0.0;0.0;2.859394220357241;0.0;0.10125;0.0;0.013012549926782989
2028.0;42.00000000000002;6.2390280712983355;29.598566166682886;36.19367573294477;0.8339505446343072;1.3538029060876644;4.092279121928908;3.154600129531211;8.3305008712531;0.0;0.0945;0.0;0.0;2.7536566537548706;0.0;0.0;0.0;0.0;2.817583510764143;0.0;0.0945;0.0;0.013371318507481586
2029.0;37.333333333333364;6.215694737965098;29.591816167445867;41.46909438305911;0.3265561510168583;1.190328873144483;4.224659715945872;3.836189934390704;9.299287023401641;0.0;0.08775000000000001;0.0;0.0;2.6336374671551654;0.0;0.0;0.0;0.0;2.7093654463863115;0.0;0.08775000000000001;0.0;0.01282280114668776
2030.0;32.6666666666667;6.192361404631864;29.957766887081537;45.37048870971058;0.13292726740177402;1.0862448342383395;4.391212510472074;4.39839617377761;9.984437897899454;0.0;0.081;0.0;0.0;2.506812612884787;0.0;0.0;0.0;0.0;2.5808393026102396;0.0;0.081;0.0;0.010782721981006603
