Year;CAP_COST_Alkaline_base;CAP_COST_Alkaline_peak_supported;CAP_COST_Alkaline_base_supported;CAP_COST_Alkaline_peak;ELEC_COST_Alkaline_base;ELEC_COST_Alkaline_peak_supported;ELEC_COST_Alkaline_base_supported;ELEC_COST_Alkaline_peak;H2_REV_Alkaline_base;H2_REV_Alkaline_peak_supported;H2_REV_Alkaline_base_supported;H2_REV_Alkaline_peak;SUPPORT_Alkaline_peak_supported;SUPPORT_Alkaline_base_supported
2021.0;79.14404999852162;0.0;0.0;367.90983455433616;1.902821538530734e-7;-0.0;2.4223463571787487e-7;1.218602085349633e-7;5.649641440783076e-8;0.0;7.192155767971424e-8;2.974814204007618e-8;0.0;0.0
2022.0;1.9553156868354282e-8;0.0;0.0;1155.3042677872652;22.85839066712991;-0.0;14.410312827798519;77.90152961885036;33.58691696410915;0.0;21.173755663401764;98.11235240944859;0.0;0.0
2023.0;2052.4443740982997;0.0;0.0;15807.048991392528;1.573514636145775;-0.0;0.9730426876407093;16.73847885515759;6.7853343314921934;0.0;4.195969605365762;69.05754407393613;0.0;0.0
2024.0;20406.886376866412;0.0;0.0;2827.785426770957;331.0959537791313;-0.0;17.249296755101987;2282.8447108526316;573.7580076609755;0.0;29.837842749515286;4238.04419877252;0.0;0.0
2025.0;2292.0216732409735;0.0;0.0;2584.08152921942;4901.073809619639;-0.0;24.95018043609256;2863.7591273826806;7399.289450021506;0.0;36.051243804380405;4926.389553194441;0.0;0.0
2026.0;2388.5612967843863;0.0;0.0;1797.974058180204;4844.517178019305;-0.0;15.763199832663078;3056.231369862635;7341.707469138989;0.0;25.151177220514686;5199.647113002852;0.0;0.0
2027.0;429.71629286974144;0.0;0.0;2485.339838133743;4836.210489209778;-0.0;18.139570178899657;3022.231570848434;7347.927014786896;0.0;26.069386728497392;5150.437962461533;0.0;0.0
2028.0;3.81752968050938e-7;0.0;0.0;1573.110518078279;4393.286607640386;-0.0;15.069598937583974;3082.413465755773;6711.378137973289;0.0;21.763323848027575;5270.429804657574;0.0;0.0
2029.0;2.4678327821695433e-7;0.0;0.0;1122.9652633568571;3876.6201584076666;-0.0;12.110928769602213;2963.330371692925;5960.456096046454;0.0;17.699992867856086;5104.878851748524;0.0;0.0
2030.0;251.87891067944005;1.3382150903792408e-7;1893.3773710494504;3.2294141515401854e-7;3430.150120088154;-0.0;9.895167310627288;2709.690388172234;5292.184536170106;0.0;14.506103036988502;4767.651796184261;0.0;0.0
2031.0;1833.0950539422745;0.0;0.0;529.3511925169262;3312.8355883842078;1.8354632154260323e-8;446.6596976865576;2531.787818287688;5028.086009225518;3.262674646968349e-8;653.2462773431978;4371.963851650008;0.0;0.0
2032.0;1604.4419120853238;0.0;0.0;839.0692487213875;3601.468030172943;1.6376609363746566e-8;397.8508551282534;2268.3554599011754;5341.596993488935;2.9285900601585983e-8;583.6758494283677;3988.6572441815774;0.0;0.0
2033.0;963.5760541702206;0.0;0.0;1370.4818041719063;3809.6624039557973;1.455183544525507e-8;389.3521420806123;2028.9710449316328;5546.776269748129;2.6183896701670633e-8;556.4778680354615;3667.635919783367;0.0;0.0
2034.0;2094.15429431724;0.0;0.0;859.8965600367717;3766.720225658493;1.2108301240809149e-8;370.31354349229474;2091.525148203444;5432.681811130629;2.259388379179632e-8;520.6175863228303;3712.691912846015;0.0;0.0
2035.0;3103.541179374092;0.0;0.0;84.03696106232339;3781.2606883806284;1.2208772973423616e-8;349.87693596010376;1962.137995148743;5500.533793597146;2.1650716251039057e-8;485.0433987155126;3511.6780079748382;0.0;0.0
2036.0;2573.752456891754;0.0;0.0;2.245286199108347e-7;4121.673603465899;1.0510540339873389e-8;354.7878476583291;1797.8455488716568;5992.292938623538;1.9041472344876082e-8;476.33258429405987;3206.4964222047265;0.0;0.0
2037.0;2.89685647251237e-7;0.0;0.0;2514.988780833449;4384.954866934005;1.0178903417116793e-8;268.923794970925;1702.263428606559;6345.543242814936;1.7794190642149522e-8;378.79717630467457;2959.610407841887;0.0;0.0
2038.0;3.164900037971764e-8;0.0;0.0;1897.770985995888;4279.217753730653;1.0352648062163896e-8;250.60546355084767;2164.3204513536048;6114.209406469521;1.724995692457275e-8;353.2749405185569;3560.81144790898;0.0;0.0
2039.0;1.5703808232311393e-8;0.0;0.0;1567.5742104148019;3899.104334468614;9.370826798792274e-9;248.50087045290536;2267.6876456876776;5562.604910903165;1.5609566552691896e-8;341.4252431005142;3724.860179533797;0.0;0.0
2040.0;1.0539088321513534e-8;0.0;0.0;1908.467384191033;3619.384532314466;8.235796453044025e-9;230.07731063559274;2291.3860435283636;5173.275376336344;1.4155714448240645e-8;316.73869407564075;3841.8374510222757;0.0;0.0
2041.0;6.29560553111643e-9;0.0;0.0;2.994816221935969e-8;3319.585711258045;7.214934018349359e-9;217.74747340674156;2297.9566620141413;4621.636023496976;1.2081884331099278e-8;290.24602429143454;3757.9283349182438;0.0;0.0
2042.0;1.1719655452434226e-8;0.0;0.0;1214.1305067416063;2895.950112180645;5.268608721692953e-9;203.22279283278604;1577.0206520152026;4336.665959338515;1.1396778714827896e-8;283.4022587048037;3406.972957671751;0.0;0.0
