Year;CAP;Supply;Cancellation;MSR;TNAC;Emissions_Ind;Emissions_H2S;Emissions_PS;EUAprice;EUAs_Ind;EUAs_PS
2021.0;1596.0;3174.772426;0.0;0.0;1936.6903146685754;512.9;89.46552623477069;635.7165850966542;80.0;1497.0107690652608;1677.9105072412374
2022.0;1552.0;1552.0;0.0;0.0;2090.159959995535;745.1024832581935;99.83850373825803;553.5893676765892;80.51326398455737;1129.6331559004143;422.3655028311998
2023.0;1509.0;1509.0;0.0;0.0;2339.092417657177;746.1789051550883;101.8337927516583;412.05484443161083;80.51326398456207;1118.8831550933003;390.11550363831265
2024.0;1412.0;1412.0;0.0;0.0;2631.4378148700325;821.9573250901526;58.80204462456401;238.8952330724278;88.56507645698659;1101.0014798173058;310.9970500884665
2025.0;1412.0;1412.0;0.0;0.0;3006.8546885060887;817.4045796175917;51.18728089680479;167.99126584954712;97.42217477479116;1109.331653741255;302.66673372235294
2026.0;1295.0;1295.0;0.0;0.0;3326.947254512814;812.4946820758514;23.2072939484662;139.20545796895686;107.16511188984829;1074.228686886564;220.7695426761019
2027.0;1233.0;1233.0;0.0;0.0;3604.299826065996;807.1996047676284;15.016793531347322;133.43103014784208;117.88250201941393;1055.6015806467701;177.39647345405473
2028.0;1141.0;1141.0;0.0;0.0;3809.2492863641824;801.4891183652708;7.684167017931732;126.87725431861134;129.67182805153053;1021.1925299349158;119.80532878627906
2029.0;1049.0;1049.0;0.0;0.0;3971.545494319336;795.3306186846235;4.040281750406658;87.33289160981589;142.64032985907312;978.3595371382672;70.63810368990738
2030.0;958.0;958.0;0.0;0.0;4057.2166896885838;788.6910424126264;2.1533363717052794;81.48442584642089;156.90236925483507;916.9505721867047;41.046828109077495
2031.0;866.0;866.0;0.0;0.0;4066.61358542532;781.5283652846337;1.8642462368773878;73.21049274175287;172.59468647074857;839.155401372961;26.841714199972422
2032.0;774.0;774.0;0.0;0.0;3998.6115142959043;773.8036724908249;1.418755991548261;66.77964264704222;189.85670014530382;746.7734574581707;27.223341511460017
2033.0;682.0;682.0;0.0;0.0;3853.413370243551;765.4731188357099;1.213143923927585;60.51188129271562;208.84496798295177;654.4086023472105;27.58783588389053
2034.0;591.0;591.0;0.0;0.0;3628.4597274245402;756.4885697591724;1.2019130445882147;58.263160015250264;229.73326690799504;561.3515375378449;29.64450982295001
2035.0;499.0;499.0;0.0;0.0;3320.505311110786;746.7989509814187;1.1835839476540748;58.97188138468192;252.71122854411848;470.15422308643525;28.84139124942497
2036.0;407.0;407.0;0.0;0.0;2930.8903997919924;736.3488904497117;1.1142168154298853;59.15180405365184;277.98799134832075;370.6855618926818;36.30957358907681
2037.0;315.0;315.0;0.0;0.0;2454.064380570194;725.0781595131654;1.0575604535031529;65.69029925513016;305.7946256004548;275.10550884028004;39.88907561415897
2038.0;224.0;224.0;0.0;0.0;1895.2584504484803;712.9234134589339;1.0575563739411127;68.82496028883861;336.38216283412953;178.46090996169798;45.53310854725768
2039.0;132.0;132.0;0.0;0.0;1262.4406059289954;699.8145900501229;1.052448525357186;63.95080594400489;370.0301837352652;104.77744514478512;27.215948722404807
2040.0;40.0;40.0;0.0;0.0;556.3212035558769;685.6767163425109;0.9962723973336611;59.44641363327399;407.0451029336994;2.393754882920518;37.598949811586344
2041.0;0.0;0.0;0.0;0.0;331.054185503119;172.7767163425109;0.9683815249944383;51.52192018525252;4187.399443812539;2.8297838638346485e-14;1.1741968115607552e-12
