Year;CAP_COST_Alkaline_base;CAP_COST_Alkaline_peak_supported;CAP_COST_Alkaline_base_supported;CAP_COST_Alkaline_peak;ELEC_COST_Alkaline_base;ELEC_COST_Alkaline_peak_supported;ELEC_COST_Alkaline_base_supported;ELEC_COST_Alkaline_peak;H2_REV_Alkaline_base;H2_REV_Alkaline_peak_supported;H2_REV_Alkaline_base_supported;H2_REV_Alkaline_peak;SUPPORT_Alkaline_peak_supported;SUPPORT_Alkaline_base_supported
2021.0;101.24999999975282;0.0;0.0;75.93749999990385;2.28709199182249e-6;-0.0;-0.0;1.7158816079375944e-6;6.805152510833365e-7;0.0;0.0;4.197182336165087e-7;0.0;0.0
2022.0;173.4665624146283;0.0;0.0;130.09992187445278;25.05189778332568;-0.0;-0.0;27.203682514140475;38.645477707243565;0.0;0.0;36.824073240640864;0.0;0.0
2023.0;297.191588091724;0.0;0.0;222.893691151441;2.186732609919928;-0.0;-0.0;2.5511864477974866;13.093180396455134;0.0;0.0;13.0931798697899;0.0;0.0
2024.0;458.55752273960803;0.0;0.0;343.91814217027166;22.057342248856596;-0.0;-0.0;23.370147247883974;140.15966202272173;0.0;0.0;138.0274464531526;0.0;0.0
2025.0;710.3599872751314;0.0;0.0;532.7699906297069;39.942612158085474;-0.0;-0.0;42.201079303570744;264.36236819216384;0.0;0.0;260.5157097540231;0.0;0.0
2026.0;1102.9650947680811;0.0;0.0;827.2238213430093;93.12296633712933;-0.0;-0.0;79.8762489687951;528.0647304587086;0.0;0.0;501.5385326445822;0.0;0.0
2027.0;1714.8238140791416;0.0;0.0;1286.1178609751273;149.81337645656004;-0.0;-0.0;126.9844813694194;893.3227614315754;0.0;0.0;848.9795220431515;0.0;0.0
2028.0;2668.128644697966;0.0;0.0;2001.0964841836899;398.62853627549896;-0.0;-0.0;264.80199328879456;1623.6082347054387;0.0;0.0;1437.1353069449342;0.0;0.0
2029.0;1.4373157936093258e-8;0.0;0.0;966.4522649316934;846.5493888842711;-0.0;-0.0;543.5051961983916;2822.659832960824;0.0;0.0;2403.0566908679134;0.0;0.0
2030.0;4.7774958012464756e-9;20184.74529232615;20218.217386796034;4.339507316713742e-9;593.7900376499989;-0.0;-0.0;506.1823994317518;2606.4459134542903;0.0;0.0;2888.0860664800102;0.0;0.0
