Year;CAP;Supply;Cancellation;MSR;TNAC;Emissions_Ind;Emissions_H2S;Emissions_PS;EUAprice;EUAs_Ind;EUAs_PS
2021.0;1596.0;3174.772426;0.0;0.0;1936.6226233259977;512.9;89.45096349294413;635.7988391810582;80.0;1456.3528761232067;1718.9446572732486
2022.0;1552.0;1552.0;0.0;0.0;2103.8257908183436;732.5619798936676;100.13976314765516;552.0950894663313;86.19515568963195;1085.5247653428373;466.475645845136
2023.0;1509.0;1509.0;0.0;0.0;2358.2041030969194;733.8842940134303;108.73274208406485;412.00465162392936;86.19515568959491;1074.7747653449971;434.2256458429796
2024.0;1412.0;1412.0;0.0;0.0;2589.3182836328683;808.6991219222484;117.33674624013726;254.8499513016656;94.8141722231384;1059.2646445175544;352.73580488818993
2025.0;1412.0;1412.0;0.0;0.0;2862.1896414691537;803.1073461498426;124.70896415375411;211.3123318601179;104.29497729081548;1068.882055608374;343.11843650505534
2026.0;1295.0;1295.0;0.0;0.0;3049.66199823217;797.0770940959101;117.57511458167077;192.87543455940312;114.72372087992437;1034.2703930565579;260.7301469759196
2027.0;1233.0;1233.0;0.0;0.0;3208.3757757225367;790.5739971443699;101.09195186760212;182.62027349766106;126.19516100186247;1015.6460968990143;217.35449705165973
2028.0;1141.0;1141.0;0.0;0.0;3325.6363175505894;783.5609954405129;74.45494121316045;165.7235215182738;138.81352320843692;981.2381459043621;159.76250880862392
2029.0;1049.0;1049.0;0.0;0.0;3436.6874684797003;775.9981274017176;48.88607502186815;113.06464664730333;152.69344589211755;946.0585927656045;102.9421304462198
2030.0;958.0;958.0;0.0;0.0;3504.948703077404;767.8423027536364;18.965143785732046;102.931318862928;167.96101995114165;893.364563760718;64.63623661597387
2031.0;866.0;866.0;0.0;0.0;3547.15586824969;759.0429340608355;5.694327602803062;59.05557316407491;184.76123159993674;823.3804380255116;42.620449613992626
2032.0;774.0;774.0;0.0;0.0;3512.768324338601;749.5578432426701;5.252021027411166;53.577679641007975;203.2346541715521;730.9111472230984;43.089837770547284
2033.0;682.0;682.0;0.0;0.0;3401.2481083278376;739.3291752058522;4.596680013776331;49.594360791134726;223.55480747712738;637.8592636297834;44.14182989448761
2034.0;591.0;591.0;0.0;0.0;3215.1637530145463;728.2986733273938;3.5569914401093765;45.22869054578809;245.9062386009749;544.7164307561333;46.28478337006497
2035.0;499.0;499.0;0.0;0.0;2950.76077965652;716.4034219331069;2.867779288973723;44.13177213594546;270.49211463855414;453.3790746180296;45.62230158790862
2036.0;407.0;407.0;0.0;0.0;2605.3454122390676;703.5758763355932;2.943674917582969;45.895816164275736;297.5353329288107;357.7147656178862;49.286758179631036
2037.0;315.0;315.0;0.0;0.0;2174.469281250072;689.7687151813547;3.01172518679985;53.09569062084112;327.2360882544852;265.02093436353573;49.9793757971391
2038.0;224.0;224.0;0.0;0.0;1664.7825009101134;674.8505438470538;3.0240928737565924;55.812143619148436;359.9563432104675;169.30615454559904;54.69422477764702
2039.0;132.0;132.0;0.0;0.0;1083.2548931915674;658.7629985477685;2.977412106328334;51.787197064449224;395.947350037237;95.61986637298666;36.380599591771336
2040.0;40.0;40.0;0.0;0.0;432.6292384227927;641.4145402720861;2.9020519239520186;46.309062572736515;435.53581222685716;2.4395465653498265;37.56102601187985
2041.0;0.0;0.0;0.0;0.0;261.378996530575;128.51454027208615;2.785143856167598;39.95055776396394;4187.399444193846;2.484276838345186e-14;4.845587490228839e-12
2042.0;0.0;0.0;0.0;0.0;227.38989794547354;0.0;2.704105119940622;31.284993465160884;4211.372059365057;2.797754182350488e-14;5.364412211588576e-12
2043.0;0.0;0.0;0.0;0.0;196.41141864747283;0.0;2.599266584991344;28.379212713009366;4233.242552593952;3.791501289974821e-14;5.950277002362071e-12
2044.0;0.0;0.0;0.0;0.0;167.60853329988709;0.0;2.503385697411567;26.29949965017417;4253.858157206125;5.673898881410024e-14;6.6124047813870306e-12
2045.0;0.0;0.0;0.0;0.0;142.7014072986476;0.0;2.2819402950542758;22.62518570618521;4274.176880632982;8.331602614080346e-14;7.361426585457847e-12
2046.0;0.0;0.0;0.0;0.0;119.6670104452452;0.0;1.9901583605377677;21.04423849286464;4292.703827547212;1.1249826808418401e-13;8.215347866365298e-12
2047.0;0.0;0.0;0.0;0.0;101.0545322317528;0.0;1.4264200406570222;17.18605817283538;4310.309438703208;1.3238442263283488e-13;9.191068562320305e-12
2048.0;0.0;0.0;0.0;0.0;85.90661400667152;0.0;1.164835741872023;13.983082483209262;4327.353147115098;1.7925783301910905e-13;1.0310391947417984e-11
2049.0;0.0;0.0;0.0;0.0;72.47297300219869;0.0;1.0777046930398082;12.355936311433021;4342.886409432106;2.808163883015117e-13;1.160523101752895e-11
2050.0;0.0;0.0;0.0;0.0;59.54297253765424;0.0;1.0312127473048438;11.898787717239609;4357.813697796892;4.0872641329658257e-13;1.3109517663277824e-11
2051.0;0.0;0.0;0.0;0.0;48.86668572449696;0.0;0.7184658956189937;9.957820917538282;4371.981114982945;5.692924733552003e-13;1.4870699249497185e-11
2052.0;0.0;0.0;0.0;0.0;39.45374374187442;0.0;0.17293772437247495;9.240004258250067;4384.8875747029315;7.6880090156764e-13;1.6954022168010727e-11
2053.0;0.0;0.0;0.0;0.0;32.362382562979825;0.0;0.01671084638459119;7.07465033251;4397.45237485833;1.3241759259226499e-12;1.9438902505857902e-11
2054.0;0.0;0.0;0.0;0.0;25.272314362031295;0.0;1.0852300700292354e-8;7.090068190096229;4409.135583535468;2.059178470521084e-12;2.2442757634669095e-11
