Hour;EOM_price;PROD_SMR;PROD_SMRCCS;PROD_Alkaline_base;PROD_Alkaline_peak;PROD_Import;PROD_CCGT_new;PROD_WindOffshore;PROD_SPP_coal;PROD_WindOnshore;PROD_Nuclear;PROD_Solar;PROD_OCGT
1.0;279.2950323863677;-1.889252173833958e-14;-0.08275795524570485;-4.238251905403197e-17;-5.1787687158951e-17;-0.04909074630653638;6.56091046547288e-13;0.002183759996523872;6.4805606954648114e-15;0.27830377691356706;0.007847999999999892;5.150550525893113e-5;4.0389363546487305e-15
2.0;10.000046293789572;-1.889252173833958e-14;-0.08275795524570485;-4.238256126143202e-17;-5.178776400126384e-17;-0.049090746307674606;0.0;0.0020517300014687035;0.0;0.2810109985760709;0.003563340241769524;5.150550411523355e-5;0.0
3.0;-7.244687795266632e-9;-1.889252173833958e-14;-0.08275795524570485;-4.23825624243613e-17;-5.1787765922375226e-17;-0.049090746306536495;0.0;0.0010328015637734184;0.0;0.2847473247371551;0.0;2.3773777146566932e-5;0.0
4.0;-6.986402995798672e-9;-1.889252173833958e-14;-0.08275795524570485;-4.23825624243613e-17;-5.178776592237444e-17;-0.049090746306536495;0.0;0.0008679458183618398;0.0;0.2822180162153205;0.0;2.3808026132956066e-5;0.0
5.0;-5.629816830609283e-9;-1.889252173833958e-14;-0.08275795524570485;-4.23825624243613e-17;-5.178776592237365e-17;-0.04909074630653649;0.0;0.00075537733792371;0.0;0.2848671782021579;0.0;2.3884503989527334e-5;0.0
6.0;-5.307181035237821e-6;-1.889252173833958e-14;-0.08275795524570485;-4.238256242420037e-17;-5.1787765922375226e-17;-0.0490907463065365;0.0;0.001903682104996573;0.0;0.2933631238837898;0.0;4.368337972475542e-5;0.0
7.0;294.61290882156504;-1.889252173833958e-14;-0.08275795524570485;-4.238251616180915e-17;-5.178768291106045e-17;-0.0490907463065365;0.00498488969671265;0.00213920999935028;6.608654720734031e-15;0.2959007129827464;0.007847999999999897;0.0007554145902903481;5.329703126771561e-15
8.0;294.6129035802872;-1.889252173833958e-14;-0.08275795524570485;-4.238251616180915e-17;-5.178768291106203e-17;-0.04909074630653649;0.006187705961863899;0.0020063699966857075;6.608654673708328e-15;0.2939701540383538;0.007847999999999897;0.008230586513136478;5.3297025051800655e-15
9.0;10.000024169990247;-1.889252173833958e-14;-0.08275795524570485;-4.2382561261267934e-17;-5.178776400126621e-17;-0.049090746306536495;0.0;0.0020493000031246936;0.0;0.29618918669955707;0.0028429010390414503;0.03738959461948887;0.0
10.0;4.04328844040137e-7;-1.889252173833958e-14;-0.08275795524570485;-4.2382562424197214e-17;-5.178776592237286e-17;-0.049090746306536495;0.0;0.002144533126320482;0.0;0.27749228118915453;0.0;0.06913149285378811;0.0
11.0;1.806142545664653e-7;-1.889252173833958e-14;-0.08275795524570485;-4.2382562424197214e-17;-5.178776592237286e-17;-0.04909074630653651;0.0;0.0019188948569164453;0.0;0.25356681933850517;0.0;0.09809914895179496;0.0
12.0;6.379793841049518e-8;-1.889252173833958e-14;-0.08275795524570485;-4.238256242419406e-17;-5.178776592237365e-17;-0.0490907463065365;0.0;0.0019106278097325265;0.0;0.2311704364605907;0.0;0.11852492288881453;0.0
13.0;4.538232281770354e-8;-1.889252173833958e-14;-0.08275795524570485;-4.238256242419406e-17;-5.178776592237286e-17;-0.0490907463065365;0.0;0.0020013542197552126;0.0;0.22302611848861445;0.0;0.12572582519279618;0.0
14.0;5.246060533483328e-8;-1.889252173833958e-14;-0.08275795524570485;-4.2382562424197214e-17;-5.178776592237365e-17;-0.04909074630653649;0.0;0.0018536160771362553;0.0;0.22782870990869317;0.0;0.12240295176928004;0.0
15.0;1.229363869584072e-7;-1.889252173833958e-14;-0.08275795524570485;-4.2382562424197214e-17;-5.178776592237286e-17;-0.0490907463065365;0.0;0.0017314579211126979;0.0;0.2387798492470104;0.0;0.10615637857023583;0.0
16.0;3.380654712019992e-7;-1.889252173833958e-14;-0.08275795524570485;-4.238256242419406e-17;-5.178776592237207e-17;-0.04909074630653648;0.0;0.0016048202992670721;0.0;0.2588006266460281;0.0;0.07970228624985123;0.0
17.0;4.26848478190149e-7;-1.889252173833958e-14;-0.08275795524570485;-4.238256242419406e-17;-5.178776592237286e-17;-0.04909074630653649;0.0;0.0016878202235959473;0.0;0.2866733093137289;0.0;0.044778181722064346;0.0
18.0;0.00035450450461303084;-1.889252173833958e-14;-0.08275795524570485;-4.238256242416566e-17;-5.178776592232474e-17;-0.0490907463065365;0.0;0.0017833558610821471;0.0;0.30836889532756045;0.0;0.01713859332339668;0.0
19.0;294.6129097892506;-1.889252173833958e-14;-0.08275795524570485;-4.238251616180599e-17;-5.178768291105966e-17;-0.049090746306536495;0.008624059022026;0.0018565199992590616;6.608654729523633e-15;0.3101025258135674;0.007847999999999897;0.0028671422298105383;5.3297032429645874e-15
20.0;183.45341455973954;-1.889252173833958e-14;-0.08275795524570485;-4.2382535932165424e-17;-5.1787714286239064e-17;-0.0490907463065365;9.035964683745813e-14;0.0020545649977232894;5.722149267864509e-15;0.32420818209346264;0.007847999999999824;0.0002300578979860917;1.6049471896073633e-15
21.0;-3.0078826462145793e-8;-1.889252173833958e-14;-0.08275795524570485;-4.2382562424197214e-17;-5.178776592237365e-17;-0.0490907463065365;0.0;0.0011895869589925033;0.0;0.3282534024417012;0.0;5.9931385018017386e-5;0.0
22.0;6.771941533298824e-7;-1.889252173833958e-14;-0.08275795524570485;-4.238256242419406e-17;-5.178776592237286e-17;-0.049090746306536516;0.0;0.0020853185647475847;0.0;0.3197153494219094;0.0;3.20573871830013e-5;0.0
