Hour;EOM_price;PROD_SMR;PROD_SMRCCS;PROD_Alkaline_base;PROD_Alkaline_peak;PROD_Import;PROD_CCGT_new;PROD_WindOffshore;PROD_SPP_coal;PROD_WindOnshore;PROD_Nuclear;PROD_Solar;PROD_OCGT
1.0;65.97918628864333;-1.292265959091386e-15;-0.02996569684718048;-0.008682725919640873;-9.122352701564943e-13;-0.04714123642755476;0.0;0.0021837599965139295;1.4215239965546708e-13;0.2923638006600632;0.007847999999773274;9.64460092584192e-5;0.0
2.0;65.97918340091319;-1.292265959091386e-15;-0.02996569684718048;-0.012955618862656199;-9.122358208160564e-13;-0.04714123642755488;0.0;0.0020517300017698155;1.4215239868447337e-13;0.29520779229932265;0.007847999999773276;9.64460092584192e-5;0.0
3.0;65.97917397896282;-1.292265959091386e-15;-0.02996569684718048;-0.019992687584843304;-9.12237617503994e-13;-0.04714123642755486;0.0;0.0019666799961897408;1.4215239551637162e-13;0.30447795849752063;0.007847999999773274;9.001617931663242e-5;0.0
4.0;65.97917889381038;-1.292265959091386e-15;-0.02996569684718048;-0.01848248134940899;-9.122366803327618e-13;-0.047141236427554835;0.0;0.0019561500012477313;1.4215239716888461e-13;0.29963695706287813;0.007847999999773274;9.001617931663244e-5;0.0
5.0;65.97917486256128;-1.292265959091386e-15;-0.02996569684718048;-0.019597178314909112;-9.122374490158335e-13;-0.04714123642755483;0.0;0.0021145049992318692;1.4215239581344578e-13;0.30360766672852174;0.007847999999773276;9.001617931663242e-5;0.0
6.0;65.97916992689353;-1.292265959091386e-15;-0.02996569684718048;-0.016292704445245356;-9.12238390038005e-13;-0.04714123642755484;0.0;0.0021813299981699266;1.4215239415414732e-13;0.30847974853780075;0.007847999999773276;9.644600925841918e-5;0.0
7.0;65.97916956668568;-1.292265959091386e-15;-0.02996569684718048;-0.007407220955982483;-9.122384444356769e-13;-0.04714123642755484;0.0;0.002139209999339891;1.4215239405823315e-13;0.31084974133328036;0.007847999999773274;0.00141454243084699;0.0
8.0;65.97919333889182;-1.292265959091386e-15;-0.02996569684718048;-0.011062705117099671;-9.122337607265666e-13;-0.04714123642755484;0.0;0.002006369996675774;1.4215240231706288e-13;0.30882164973984105;0.007847999999773274;0.015412084971236178;0.0
9.0;61.26794440650683;-1.292265959091386e-15;-0.02996569684718048;-0.027237110149014244;-0.008883908868952515;-0.047141236427554835;0.0;0.0020493000034247392;1.405445516254793e-13;0.3111527888643299;0.00784799999975043;0.07001343202156304;0.0
10.0;61.26808495276188;-1.292265959091386e-15;-0.02996569684718048;-0.027237110149013942;-0.042441730324012654;-0.04714123642755482;0.0;0.0022076550014088754;1.4054459934051406e-13;0.2937236335952897;0.007847999999750431;0.14920853162453265;0.0
