Hour;EOM_price;PROD_SMR;PROD_SMRCCS;PROD_Alkaline_base;PROD_Alkaline_peak;PROD_Import;PROD_CCGT_new;PROD_WindOffshore;PROD_SPP_coal;PROD_WindOnshore;PROD_Nuclear;PROD_Solar;PROD_OCGT
1.0;175.27188779139604;-2.2086882410108214e-17;-0.08428240562789731;-8.992472303246378e-18;-2.58755180707353e-17;-0.04755908707970719;1.876605734534816e-14;0.004367519993051334;5.345750564331798e-16;0.27633525718163243;0.007847999999998632;5.185965625439997e-5;3.824298524097109e-15
2.0;9.999913550500466;-2.2086882410108214e-17;-0.08428240562789731;-8.992467786804703e-18;-2.587557877506817e-17;-0.047559087080364465;0.0;0.00410346000351272;0.0;0.2790233299135867;0.0034996164716328423;5.1859656100653834e-5;0.0
3.0;-9.380114267616008e-8;-2.2086882410108214e-17;-0.08428240562789731;-8.992467555032636e-18;-2.5875582054508105e-17;-0.04755908707970719;0.0;0.0009513688038834927;0.0;0.28482895155233223;0.0;2.3577765535267418e-5;0.0
4.0;8.234387635679822e-7;-2.2086882410108214e-17;-0.08428240562789731;-8.992467555032636e-18;-2.5875582054501794e-17;-0.047559087079707206;0.0;0.0026466456282683197;0.0;0.2804351705612381;0.0;2.7965961114249782e-5;0.0
5.0;8.225627769444315e-7;-2.2086882410108214e-17;-0.08428240562789731;-8.992467555031059e-18;-2.5875582054508105e-17;-0.04755908707970718;0.0;0.0014667870487088388;0.0;0.28415170281470226;0.0;2.796232642673653e-5;0.0
6.0;8.371849405171216e-6;-2.2086882410108214e-17;-0.08428240562789731;-8.99246755468396e-18;-2.5875582054501794e-17;-0.04755908707970718;0.0;0.004082179740311912;0.0;0.29119295253229727;0.0;3.745003130163143e-5;0.0
7.0;307.49433364840206;-2.2086882410108214e-17;-0.08428240562789731;-8.992471248127563e-18;-2.5875467252287387e-17;-0.04755908707970719;0.004370447516695983;0.004278419998704598;6.566959514622678e-16;0.2938077252459603;0.0078479999999993;0.0007606088079640728;1.38118198202763e-14
8.0;307.4943486504863;-2.2086882410108214e-17;-0.08428240562789731;-8.992471248127563e-18;-2.5875467252281076e-17;-0.047559087079707206;0.005640965938755998;0.004012739993376453;6.566959666814015e-16;0.29189082167993746;0.0078479999999993;0.00828717988347632;1.3811823907799092e-14
9.0;9.99998084076357;-2.2086882410108214e-17;-0.08428240562789731;-8.992467786457605e-18;-2.5875578775049238e-17;-0.047559087079707185;0.0;0.004098600006824718;0.0;0.29409415850661413;0.0026318771759472497;0.037646684825508314;0.0
10.0;-7.953218378560637e-11;-2.2086882410108214e-17;-0.08428240562789731;-8.99246755468396e-18;-2.5875582054501794e-17;-0.0475590870797072;0.0;0.003033206430944921;0.0;0.2748881549040108;0.0;0.07084695835420753;0.0
11.0;-2.703516863303386e-10;-2.2086882410108214e-17;-0.08428240562789731;-8.99246755468396e-18;-2.5875582054501794e-17;-0.04755908707970719;0.0;0.0019439783182131586;0.0;0.26586830350894936;0.0;0.08577258796323883;0.0
12.0;8.245619139387683e-11;-2.2086882410108214e-17;-0.08428240562789731;-8.99246755468396e-18;-2.5875582054501794e-17;-0.047559087079707206;0.0;0.0019463619407181008;0.0;0.24602721847376494;0.0;0.10363240956155617;0.0
13.0;1.0373578737029837e-10;-2.2086882410108214e-17;-0.08428240562789731;-8.992467554685538e-18;-2.5875582054501794e-17;-0.0475590870797072;0.0;0.0020410467703131426;0.0;0.23878363753164325;0.0;0.10992861568834675;0.0
14.0;1.1553465160800964e-10;-2.2086882410108214e-17;-0.08428240562789731;-8.992467554685538e-18;-2.5875582054501794e-17;-0.04755908707970718;0.0;0.0018919586889780938;0.0;0.24317028717819741;0.0;0.107023034126708;0.0
15.0;1.3618442651377808e-10;-2.2086882410108214e-17;-0.08428240562789731;-8.99246755468396e-18;-2.5875582054501794e-17;-0.047559087079707206;0.0;0.0017610106906339978;0.0;0.2520890237867314;0.0;0.09281765551714577;0.0
16.0;1.7625368507769013e-10;-2.2086882410108214e-17;-0.08428240562789731;-8.99246755468396e-18;-2.5875582054501794e-17;-0.047559087079707206;0.0;0.0016252108683279902;0.0;0.2687981930660523;0.0;0.06968433605694165;0.0
17.0;2.7918944550815463e-10;-2.2086882410108214e-17;-0.08428240562789731;-8.99246755468396e-18;-2.5875582054501794e-17;-0.04755908707970721;0.0;0.0017054570229683471;0.0;0.2922963833989872;0.0;0.039137479552054225;0.0
18.0;1.9533050595663433;-2.2086882410108214e-17;-0.08428240562789731;-8.992467601196777e-18;-2.5875581414325392e-17;-0.047559087079707206;0.0;0.0035793900003760126;0.0;0.30634471573277416;0.0;0.017272737218823726;0.0
19.0;307.49433334430535;-2.2086882410108214e-17;-0.08428240562789731;-8.992471248127563e-18;-2.5875467252287387e-17;-0.047559087079707185;0.008378252106028133;0.0037130399985242897;6.566959511418767e-16;0.3079090847193202;0.0078479999999993;0.002886856650156958;1.381181973423124e-14
