Year;EOM_avg;REC_y;ADD_CAP_CCGT_new;ADD_CAP_WindOffshore;ADD_CAP_SPP_coal;ADD_CAP_WindOnshore;ADD_CAP_Nuclear;ADD_CAP_Solar;ADD_CAP_OCGT;CAP_CCGT_new;CAP_WindOffshore;CAP_SPP_coal;CAP_WindOnshore;CAP_Nuclear;CAP_Solar;CAP_OCGT;FS_CCGT_new;FS_WindOffshore;FS_SPP_coal;FS_WindOnshore;FS_Nuclear;FS_Solar;FS_OCGT
2021.0;196.6932272734455;1.7951802947583996e-13;1.1190046381578083e-14;6.353999999999724;2.8649354471863915e-15;82.43499999999987;2.2077764927590844e-13;55.41999999999999;2.72644899567851e-13;153.0;12.708;49.44;164.87;78.48;110.84;11.39;551.257274566047;27.51013231758485;433.09439999999694;288.6219235013827;687.4847999999996;126.15955034204879;0.0
2022.0;330.37378212863797;8.103132780116297e-13;1.1338233065710133e-14;3.282216866970921e-13;3.0015015785127866e-15;123.65249999999955;1.0639250469991922e-13;83.12999999999992;2.765210352527053e-13;153.0;12.708;49.44;247.3049999999999;78.48;166.26;11.390000000000272;381.1339158017747;27.51013231758485;433.0943999999991;432.9328852520538;687.4847999999996;189.23932551307198;0.0
2023.0;124.53175822710035;4.592923578735085e-12;1.1484715181723344e-14;1.112710362425247e-13;3.1517385280449807e-15;185.47874999999817;8.757570980315277e-14;18.5572894780473;2.7846780568094606e-13;145.35;18.355999999999725;46.144000000000005;359.9661666666661;74.556;242.00066666666658;10.251000000000548;225.19035939034683;39.73685779205183;365.1174019503188;630.1578663112986;653.1105599999997;275.44835158013655;9.015901118612088e-11
2024.0;115.22275705852341;-4.124609788216191e-10;1.3158493784793744e-14;1.2160831847776384e-13;4.032536201778585e-15;272.7224583333144;1.0611576220595015e-13;2.9529593768140523e-13;3.364406503703258e-13;137.70000000000002;17.650000000000052;42.848000000000006;534.4535833333309;70.632;253.16862281138054;9.112000000000828;71.2976262911847;38.20851710772851;283.61166504100817;935.6160686835426;612.3849593353387;288.1598666059079;6.288116622193717e-11
2025.0;73.63551261414425;3.001897417776263e-8;1.5152043227996688e-14;1.3635222736579067e-13;5.367872704392442e-15;87.97371154807983;1.4496590872020223e-13;6.452370811582725e-13;4.1471598596787307e-13;130.05000000000004;16.944000000000162;39.552;796.1847083333121;66.708;245.77928947804747;7.973000000001163;1.542184362835342e-11;36.68017642338284;57.63536381853685;1393.8033722418256;566.8433092003038;279.74922991643064;4.593782677005758e-11
2026.0;69.2952250634287;6.448205994105987e-11;1.7554490729700273e-14;1.5378943929636444e-13;7.610012163390615e-15;54.910395510419264;1.9030976284446144e-13;2.2521190314640834e-12;5.256487806305764e-13;122.40000000000003;16.238000000000284;36.25599999999999;873.1670865480585;62.784000000000006;238.3899561447148;6.834000000001578;9.321038293095349e-12;35.15183573906687;33.62285344309032;1528.568957709452;537.0016761517918;271.33859322696;2.8779005657986683e-11
2027.0;69.61451324546972;3.9022554469912135e-11;2.048203686176987e-14;1.7498491532039603e-13;1.2107542944507465e-14;74.13128564252384;2.825912652426763e-13;10.142969870207294;6.938076379552992e-13;114.75000000000004;15.532000000000421;32.96;917.0861487251443;58.86;231.00062281138372;5.695000000002104;0.4520843307050969;33.62349505475121;33.117169833926695;1605.4538015495923;505.6877786100652;262.92795653749147;2.990147587133333e-11
2028.0;69.76884518549419;-4.337508692285586e-5;2.4127683098475527e-14;1.9886726107401653e-13;2.5506915389741934e-14;52.24937818474534;3.649105038780943e-13;15.309355372141933;9.767952161967046e-13;107.10000000000005;14.826000000000576;29.664;980.2261010343349;54.93599999999999;233.75425934825768;4.556000000002799;0.7764383726720322;32.09515437043435;23.567846766461685;1715.9867941210728;466.61285026535785;266.0621819732301;3.479334402762259e-11
2029.0;69.26248688447403;-1.6226019313876667e-10;2.87709060484547e-14;2.2652486769667547e-13;1.5155669142277731e-12;54.213192288476016;5.096922671413748e-13;15.512081069149382;1.5481209556512331e-12;99.45000000000009;14.12000000000075;26.368000000000006;1021.4841458857468;51.012;241.67428138706626;3.4170000000037746;24.311178747176804;30.566813686117843;1.2658228957045582e-10;1788.2132529366056;430.795543514407;275.07685554879;3.897309125658976e-11
2030.0;68.82957178938811;6.569712030958532e-12;3.467571621767073e-14;2.5968622003280296e-13;3.1330938137905376e-13;51.96456916872275;2.9606434657247585e-12;7.8378632600788;3.2719932688024074e-12;91.8000000000001;13.41400000000095;23.07200000000001;1064.7060048408894;47.088;249.79702912288232;2.2780000000053233;23.714374221124945;29.038473001799073;1.5979467903321595e-11;1863.8775706956496;394.9785093991598;284.32227418729804;3.9623514874074316e-11
