Year;CAP_SMR;CAP_SMRCCS;CAP_Alkaline_base;CAP_Alkaline_peak;PROD_SMR;PROD_SMRCCS;PROD_Alkaline_base;PROD_Alkaline_peak;IMPORT_Import;CN_CAP_Alkaline_peak_supported;CN_CAP_Alkaline_base_supported;CN_PROD_Alkaline_peak_supported;CN_PROD_Alkaline_base_supported;PriceH2;PremiumH2CN_prod;PremiumH2CN_cap;PremiumFP;StrikeH2CfD;RefH2CfD;CAP_Alkaline_peak_supported;CAP_Alkaline_base_supported;PROD_Alkaline_peak_supported;PROD_Alkaline_base_supported
2021.0;70.0;0.35;0.135;0.135;9.9983050053165;6.984703534356449e-12;1.557129498562143e-12;8.218906772045571e-13;0.0;0.0;0.0;0.0;0.0;3.896374992063185;0.0;0.0;0.23215587018866918;0.23215587018866918;3.8963749920688238;0.0;0.0;0.0;0.0
2022.0;70.0;0.35;0.1350000000005257;0.13500000000104334;11.107995455601822;1.3473724147517186e-12;0.0014211495562358152;7.355060517580613e-12;0.0;0.0;0.0;0.0;0.0;6.976374995977965;0.0;0.0;0.23215587018866918;0.23215587018866918;6.976374995991833;0.0;0.0;0.0;0.0
2023.0;65.33333333359646;0.3266666666668263;0.12825000000111403;0.12825000000238307;12.133813753957595;0.0867151515079014;7.975751065196501e-12;3.350710211098381e-12;0.0;0.0;0.0;0.0;0.0;2.4663750055198532;0.0;0.0;0.23215587018866918;0.23215587018866918;2.4663750055570963;0.0;0.0;0.0;0.0
2024.0;60.66666666719663;0.30333333333361734;0.12150000000180572;0.12150000000406336;11.918937790730272;0.08052121211521104;0.0019185519093008335;0.0019185519036290578;1.3283657961858035;0.0;0.0;0.0;0.0;2.556810643784453;0.0;0.0;0.23215587018866918;0.23215587018866918;2.556810643841042;0.0;0.0;0.0;0.0
2025.0;56.00000000080008;0.28000000000038255;0.11475000000302682;0.16833576975217304;13.200180839552766;0.07432727272330747;0.0056195793263533085;0.008243801400709717;1.154513860172965;0.0;0.0;0.0;0.0;2.3034114159472883;0.0;0.0;0.23215587018866918;0.23215587018866918;2.303411435782885;0.0;0.0;0.0;0.0
2026.0;51.333333334447936;0.2566666666672164;0.10800000000470553;1.9124434670680819;12.150718841248363;0.06813333332942331;0.007052021109685801;0.1135437810501299;3.2154671522331553;0.0;0.0;0.0;0.0;2.529367062698985;0.0;0.0;0.23215587018866918;0.23215587018866918;2.5293672113909147;0.0;0.0;0.0;0.0
2027.0;46.666666668150775;0.23333333333428333;0.10125000000677387;4.889295153111726;11.81159646395745;0.06193939393603323;0.0077311561518506955;0.3018854929572439;4.482211317384789;0.0;0.0;0.0;0.0;2.553050777619428;0.0;0.0;0.23215587018866918;0.23215587018866918;2.55305084158981;0.0;0.0;0.0;0.0
2028.0;42.0000000019232;0.2369603353282528;0.09450000000922408;5.311466545443745;11.149090660300136;0.06290219810238266;0.008808797939651045;0.4011391231626085;6.155541903282626;0.0;0.0;0.0;0.0;2.624339861693503;0.0;0.0;0.23215587018866918;0.23215587018866918;2.6236913761574128;0.0;0.0;0.0;0.0
2029.0;37.333333335769495;2.057986035444976;0.0877500000113286;5.304716545449978;9.910302874902357;0.5463017475882306;0.009612039881561143;0.4708039050835677;7.949639304341872;0.0;0.0;0.0;0.0;2.6845203235563955;0.0;0.0;0.23215587018866918;0.23215587018866918;2.683896484788752;0.0;0.0;0.0;0.0
2030.0;32.666666669696724;4.637589388715802;0.08100000001289766;5.297966545452282;8.656212595677765;1.2310691831835692;0.01019490614372705;0.589644785652755;9.510769460631098;0.0;0.0;0.0;0.0;2.6826959977724463;0.0;0.0;0.23215587018866918;0.23215587018866918;2.681885958576384;0.0;0.0;0.0;0.0
2031.0;28.000000003755233;5.610625817259816;0.07425000001392838;5.291216545453341;2.4434545442253213e-7;1.4893661260330147;0.0020729339060540715;0.11146457685572977;9.895234173737816;0.0;0.0;4.236202594018978;5.763008051531903;2.680290351767695;0.4217844807627857;0.0;0.23215587018866918;0.23215587018866918;2.68029162102017;48.57955541131773;31.892638598220064;4.2362025940197965;5.763008051466072
2032.0;23.333333338008355;9.469709789361914;0.06750000001535585;5.28446654545487;9.047650461155854e-8;2.5137775077178275;0.0015291979986456394;0.11165215580695687;10.370925766462152;0.0;0.0;3.7549036828262885;6.24457987377742;2.6893280315717547;0.26797785406351093;0.0;0.23215587018866918;0.23215587018866918;2.6893331514275363;48.57955541131773;31.892638598220064;3.754903682827237;6.244579873772446
