Hour;EOM_price;PROD_SMR;PROD_SMRCCS;PROD_Alkaline_base;PROD_Alkaline_peak;PROD_Import;PROD_CCGT_new;PROD_WindOffshore;PROD_SPP_coal;PROD_WindOnshore;PROD_Nuclear;PROD_Solar;PROD_OCGT
1.0;65.50677031692024;-6.216521505422386e-15;-0.029755127100339722;-0.010534618644652664;-5.250859329252803e-13;-0.046546564152698686;0.0;0.002183759996470653;1.5776485564462547e-14;0.2950292752553327;0.007847999999981897;9.450815971536868e-5;0.0
2.0;65.50676975963556;-6.216521505422386e-15;-0.029755127100339722;-0.014825642768110108;-5.250860006598638e-13;-0.04654656415269866;0.0;0.0020517300017261573;1.5776485541760316e-14;0.2978991955062967;0.007847999999981897;9.450815971536868e-5;0.0
3.0;65.50676792304796;-6.216521505422386e-15;-0.029755127100339722;-0.021921901589306417;-5.250862236902152e-13;-0.046546564152698665;0.0;0.0019666799961458375;1.5776485467026487e-14;0.30725387761391926;0.007847999999981897;8.820752167778043e-5;0.0
4.0;65.50676886965779;-6.216521505422386e-15;-0.029755127100339722;-0.02038083273880908;-5.25086108677984e-13;-0.0465465641526987;0.0;0.001956150001203798;1.5776485505567933e-14;0.30236874087144866;0.007847999999981895;8.820752167778043e-5;0.0
5.0;65.50676809324399;-6.216521505422386e-15;-0.029755127100339722;-0.021520843989260196;-5.250862030079736e-13;-0.04654656415269869;0.0;0.0021145049991883927;1.5776485473957356e-14;0.30637565141324463;0.007847999999981897;8.820752167778043e-5;0.0
6.0;65.5067671645626;-6.216521505422386e-15;-0.029755127100339722;-0.0182473404672815;-5.250863159093602e-13;-0.04654656415269866;0.0;0.0021813299981266435;1.5776485436120305e-14;0.3112921518894708;0.007847999999981897;9.450815971536868e-5;0.0
7.0;65.50677135265904;-6.216521505422386e-15;-0.029755127100339722;-0.009358427804414196;-5.250858380415434e-13;-0.04654656415269868;0.0;0.002139209999296485;1.5776485596257302e-14;0.3136837518592078;0.007847999999981897;0.0013861206170057083;0.0
8.0;65.50682111200034;-6.216521505422386e-15;-0.029755127100339722;-0.012804112775845372;-5.250801226251278e-13;-0.04654656415269866;0.0;0.0020063699966319866;1.5776487511558467e-14;0.31163717019754844;0.007847999999981897;0.015102416345074598;0.0
9.0;60.81842493082969;-6.216521505422386e-15;-0.029755127100339722;-0.029254782652254514;-0.007922023552511034;-0.04654656415269867;0.0;0.0020493000033772494;1.559957028070904e-14;0.31398956226819363;0.00784799999998013;0.06860668119244387;0.0
10.0;60.8187076293933;-6.216521505422386e-15;-0.029755127100339722;-0.029254782652256006;-0.0403423808617153;-0.04654656415269867;0.0;0.0022076550013618436;1.5599580933544866e-14;0.2964015057587043;0.007847999999980128;0.14621054653050913;0.0
11.0;60.81896428116645;-6.216521505422386e-15;-0.029755127100339722;-0.029254782652255496;-0.0776069624337841;-0.04654656415269867;0.0;0.001990169997077028;1.5599590601715876e-14;0.28790936726667976;0.00784799999998013;0.2170665237593965;0.0
12.0;60.819126487683754;-6.216521505422386e-15;-0.029755127100339722;-0.02925478265225408;-0.10983976111285279;-0.046546564152698686;0.0;0.001992599995421037;1.559959670881942e-14;0.29031664838509597;0.007847999999980128;0.2622666640643249;0.0
13.0;9.656326181155356;-6.216521505422386e-15;-0.029755127100339722;-0.029254782653066722;-0.12559582308319192;-0.04654656415269867;0.0;0.002087774997974843;0.0;0.3054974237758991;0.0;0.27820075334372935;0.0
14.0;-0.000213867554577648;-6.216521505422386e-15;-0.029755127100339722;-0.029254782653073918;-0.12559582308319947;-0.046546564152698686;0.0;0.0015520069433547186;0.0;0.3152685717935796;0.0;0.27028269535860266;0.0
15.0;60.81901989843149;-6.216521505422386e-15;-0.029755127100339722;-0.029254782652254563;-0.12227383540716273;-0.04654656415269868;0.0;0.0018063000037723382;1.5599592677389914e-14;0.3320637803514482;0.00784799999998013;0.23489707828316245;0.0
16.0;60.818808638717954;-6.216521505422386e-15;-0.029755127100339722;-0.029254782652253567;-0.09028069762624075;-0.04654656415269868;0.0;0.001669814997237826;1.5599584720885004e-14;0.33496506577256485;0.00784799999998013;0.17635237354577757;0.0
17.0;60.818530442537906;-6.216521505422386e-15;-0.029755127100339722;-0.029254782652254775;-0.04459092223551306;-0.04654656415269867;0.0;0.0017504100037361286;1.559957424503998e-14;0.3349258593098739;0.007847999999980128;0.09905093530651365;0.0
18.0;63.82793721705334;-6.216521505422386e-15;-0.029755127100339722;-0.029254782650658683;-8.21561320100345e-13;-0.04654656415269868;0.0;0.0017896950002655075;1.571288118021672e-14;0.32706886694984255;0.007847999999981302;0.031477543938773396;0.0
19.0;65.50678238227204;-6.216521505422386e-15;-0.029755127100339722;-0.00864262037303631;-5.25084591126251e-13;-0.04654656415269867;0.0;0.0018565199992054246;1.5776486014109527e-14;0.32873906513327283;0.007847999999981897;0.005260958694277315;0.0
20.0;65.50676206938343;-6.216521505422386e-15;-0.029755127100339722;-0.013476232264278624;-5.25086942600222e-13;-0.046546564152698665;0.0;0.002054564997676168;1.5776485226113365e-14;0.3436924430407386;0.007847999999981897;0.0004221363998658516;0.0
21.0;65.50675941480095;-6.216521505422386e-15;-0.029755127100339722;-0.024959770525929292;-5.250872621035973e-13;-0.04654656415269866;0.0;0.0021209849990084166;1.5776485119045174e-14;0.3549368823956541;0.007847999999981895;0.0002898251172782581;0.0
22.0;60.81816896690318;-6.216521505422386e-15;-0.029755127100339722;-0.02925478265225507;-0.0058662877518022224;-0.04654656415269867;0.0;0.002146094996717612;1.5599560621501308e-14;0.3625978410058322;0.00784799999998013;0.00010080879774931177;0.0
23.0;60.81817031406484;-6.216521505422386e-15;-0.029755127100339722;-0.029254782652255014;-0.011626745154312867;-0.04654656415269865;0.0;0.0019970550008570533;1.5599560675319746e-14;0.35528974055986895;0.007847999999980128;8.190688363654712e-5;0.0
24.0;60.81817002845249;-6.216521505422386e-15;-0.029755127100339538;-0.029254782652249355;-0.015310111803180924;-0.04654656415269868;0.0;0.0018694799988405745;1.559956066393955e-14;0.3567639064298432;0.007847999999980128;8.190688363654712e-5;0.0
25.0;57.98789326888062;-6.443820898914362e-15;-0.029755127084176665;-0.029254782652111035;-0.023183820138185474;-0.04276337397498474;0.0;0.0008099999964859865;1.6674805857915497e-14;0.3265513416423117;0.007847999999976646;0.0008127710203806719;0.0
26.0;57.98789620262436;-6.443820898914362e-15;-0.029755127084176665;-0.02925478265211449;-0.015230040288225194;-0.04276337397498473;0.0;0.0007383150008597186;1.667480597877757e-14;0.31046881473655197;0.007847999999976646;0.0007623666214805523;0.0
27.0;57.98789711979556;-6.443820898914362e-15;-0.029755127084176665;-0.02925478265211589;-0.00730286001760091;-0.04276337397498474;0.0;0.0005981849968091946;1.667480602056958e-14;0.29625252120047063;0.007847999999976644;0.00025202199444177036;0.0
28.0;62.460377900156764;-6.443820898914362e-15;-0.029755127084176665;-0.02846566731753285;-6.061317317157814e-13;-0.04276337397498473;0.0;0.0004661550020703615;1.6848579983034015e-14;0.28252238780176125;0.007847999999978728;0.00011971071185838917;0.0
29.0;62.460382065058;-6.443820898914362e-15;-0.029755127084176665;-0.022949457963390547;-6.061308552624205e-13;-0.042763373974984725;0.0;0.0003280499987578481;1.6848580232693926e-14;0.2759592115833234;0.00784799999997873;0.00011971071185838917;0.0
