Year;CAP_COST_Alkaline_base;CAP_COST_Alkaline_peak;ELEC_COST_Alkaline_base;ELEC_COST_Alkaline_peak;H2_REV_Alkaline_base;H2_REV_Alkaline_peak;CN_REV_Alkaline_base;CN_REV_Alkaline_peak
2021.0;439.913416046484;419.20909049583986;1.788775697801963e-8;3.7042361454177507e-9;5.339826597892309e-9;9.085237697064629e-10;0.0;0.0
2022.0;1321.6499999929865;991.2374999990352;1.8044125533589592e-8;3.727412002094786e-9;5.495360832007999e-9;9.316011610317099e-10;0.0;0.0
2023.0;5510.205893779074;4988.293311510168;2.905898873060936e-8;5.844914545582474e-9;1.0418322771805183e-8;1.6946383976022929e-9;0.0;0.0
2024.0;3768.7003772950006;1.162904698418896e-9;38.45001259358436;47.65187269659873;136.4124850170603;144.90748455221487;0.0;0.0
2025.0;3208.8992783998406;8.101838012655604e-10;1170.0458250048982;498.9597424068499;2093.1757112405085;1442.986550890417;0.0;0.0
2026.0;2498.858133381161;5.735337812263811e-10;2715.804639445035;786.663649631106;3985.984231257902;1532.4353303810321;0.0;0.0
2027.0;4126.817010205288;4.4779232352886944e-10;3694.1037808639003;566.4063946391915;5213.344893166134;1238.2678252086057;0.0;0.0
2028.0;31325.41506660196;3.1097668712492144e-10;4627.835873365218;541.3181292974792;6279.253122549424;1126.9895635932944;0.0;0.0
2029.0;13.553556012212827;3.575807056681296e-10;5126.180605928484;325.1746618753157;7091.725776887664;887.6577172851506;0.0;0.0
2030.0;6.35647760748826e-9;2.918007124328563e-10;12538.093187714056;1530.259649078742;10818.832512996696;1131.7935893507722;7260.23312247391;759.5167039507646
2031.0;4.529392448218586;5.737190304468384e-10;10593.617396445483;1275.941422319189;10152.092696557627;1048.232783861623;6090.509574580249;635.3640861147044
2032.0;4.619451353223826;1.0804836522850363e-9;10772.96819958903;1307.2435911174975;9826.357804454705;1021.6283392322798;4560.275983673239;476.26067164032094
2033.0;4.0512701907056075;5.819209279625275e-8;9566.523777314138;1162.9937728422283;9451.046221877516;984.8027152801503;3971.105211214169;414.3900684703365
2034.0;6.721563762763278e-9;927.0581099479243;8320.893569547354;1012.1686776026409;9040.237548003981;942.5756126107091;2699.2851613261764;281.4374612779008
2035.0;3.0255547912910095e-9;1883.975002683285;7460.934146970375;905.2619740499031;8607.637420380195;895.3986079089658;2333.1176231831532;243.05566003718027
2036.0;3.3037507428336795e-9;732.0003851684143;6517.03169626676;679.7773814629599;8159.683702874295;847.531757994413;1448.0777991240263;150.97201325706516
2037.0;4.458513531608064e-9;1376.071705487211;6006.917136748631;353.16029168428724;7693.950679934879;802.6418465348909;519.4814111394247;54.20665740151489
2038.0;5.6488281061701425e-9;2349.575786145645;5376.809023875721;444.7031276870186;7292.5103642323065;990.0363876152106;1.0651693901233004e-8;1.4525778995910799e-9
2039.0;6.986712421078228e-9;1641.4159784444198;5575.047236545963;567.699129169567;7351.993308155009;1217.7059778753214;7.038072045730887e-9;1.4451930928667464e-9
2040.0;6.5870842934442314e-9;598.6331074823839;5486.028189716853;838.2446418096673;7076.063101057905;1677.2079932065674;-1.3518309220856823e-10;-1.2031318019382227e-10
2041.0;4.84373155632069e-9;2.923945157012456e-9;5464.690972943133;1025.9871284081767;6842.712977158803;1908.7066811684901;-1.349645151252109e-10;-1.197059131627405e-10
2042.0;1.6794324933648057e-8;785.1762530607953;5343.761783631603;963.1094278168899;6626.210920513321;1880.997036815875;-1.3417386871781852e-10;-1.186810280669545e-10
2043.0;1.22527369825793e-7;4738.646088866869;4899.753603872823;811.579695017393;6252.787661330451;1802.1937341166229;-1.3303584888174038e-10;-1.1765162643731527e-10
2044.0;564.4475869565184;2245.510442578754;4439.039019671797;939.3036801246652;5687.169089649346;1947.4413198488546;-1.3239076815602262e-10;-1.170195827544635e-10
2045.0;831.0059565496591;1460.195053069954;3977.6965578562376;1950.34547186663;5009.069921620283;3424.8238220101675;-1.3287571443668584e-10;-1.1690124591652932e-10
2046.0;758.3333586066459;1109.7831896609696;3453.8905212239806;2111.4737322477304;4371.604321536725;3683.4457046737693;-1.3252007599163464e-10;-1.164444175850992e-10
2047.0;2153.1422395092786;69.73003663329358;3074.765302010127;2073.44265184258;3927.814774161704;3610.754350006671;-1.3189007335570083e-10;-1.157781001728677e-10
2048.0;3880.811341253443;114.00114267092958;2756.785986222298;1991.6030858088964;3549.864782324361;3443.566227068448;-1.260271995527491e-10;-1.1050674069069056e-10
2049.0;580.0750116019558;1.3206286940601081e-5;2674.090358724749;1629.4279390517022;3562.1968887426315;2875.7050959339485;-5.88436167558789e-11;-5.151932657185276e-11
2050.0;460.10499872757083;8.013312642980314e-5;2585.4284648039406;1379.2090880392052;3437.0174761858975;2451.0983742485155;5.881559169066651e-10;5.141635519536217e-10
2051.0;229.94368429917657;163.87511259741663;2299.685301123526;1148.6399058542272;3085.642658059223;2056.056437429497;5.386848461540391e-9;4.742343046992331e-9
2052.0;47.16613397708282;281.79132676550046;2048.8112171243447;960.9005517024431;2761.804299906628;1728.078695704792;3.469424149403093e-8;3.064345035988623e-8
2053.0;8.689149730080877e-7;255.12122342651898;1778.134221203642;833.8410870860737;2402.283925282835;1497.6597182804478;1.8494254729849893e-7;1.6265139660252794e-7
2054.0;1.6819835508708497e-7;348.86956283788606;1508.1210287663912;749.1115494732887;2040.9178832762154;1334.0588775911585;8.391574438441089e-7;7.311498840062053e-7
2055.0;6.412406524606185e-8;311.26897418758534;1277.4690852881156;670.0061407218784;1725.6045625056406;1184.0921009951055;3.2933067377493972e-6;2.858587101096903e-6
