Hour;EOM_price;H2_price;PROD_SMR;PROD_SMRCCS;PROD_Alkaline_base;PROD_Alkaline_peak;PROD_Import;PROD_CCGT_new;PROD_WindOffshore;PROD_SPP_coal;PROD_WindOnshore;PROD_Nuclear;PROD_Solar;PROD_OCGT
1.0;69.08616908303277;70.5708782091009;-7.722854079025559e-12;-0.012156058154558617;-0.010799985996768766;-0.0007208321815060386;-0.026524360049136768;0.0;0.004610159992611354;2.1495806476356098e-13;0.23445420168233966;0.047088000000000005;5.7361215890977074e-5;0.0
2.0;69.08616908424762;70.5708782091009;-7.722854079025559e-12;-0.01215605813745389;-0.014431945783778481;-0.0007217482897245165;-0.026524360049137503;0.0;0.004331430003707189;2.149580647708505e-13;0.23673487318773279;0.047088000000000005;5.7361215890977074e-5;0.0
3.0;69.08616908798147;70.5708782091009;-7.722854079025559e-12;-0.01215605813745389;-0.02013445010025251;-0.000724735295027763;-0.02652436004913737;0.0;0.004151879991927084;2.1495806479408912e-13;0.24416886265754467;0.047088000000000005;5.353707774450206e-5;0.0
4.0;69.08616908587086;70.5708782091009;-7.722854079025559e-12;-0.01215605813745389;-0.019213013563963835;-0.0007231771203891162;-0.026524360049137496;0.0;0.00412965000260507;2.1495806478160386e-13;0.24028673660726177;0.047088000000000005;5.353707774450206e-5;0.0
5.0;69.08616908760172;70.5708782091009;-7.722854079025559e-12;-0.01215605813745389;-0.020047140884816624;-0.0007244550151910335;-0.026524360049137517;0.0;0.004463954998349268;2.1495806479184022e-13;0.24347095285656836;0.047088000000000005;5.353707774450206e-5;0.0
6.0;69.08616909003179;70.5708782091009;-7.722854079025559e-12;-0.01215605813745389;-0.01651748873291234;-0.0007260200459224312;-0.026524360049137444;0.0;0.00460502999610735;2.1495806480504926e-13;0.24737800307464133;0.047088000000000005;5.7361215890977074e-5;0.0
7.0;69.08616915044512;70.5708782091009;-7.722854079025559e-12;-0.01215605813745389;-0.008066418765528511;-0.0007261232370998698;-0.02652436004913738;0.0;0.004516109998577298;2.1495806493535606e-13;0.24927856247222263;0.047088000000000005;0.0008412984043026111;0.0
8.0;69.08616977938102;70.5708782091009;-7.722854079025559e-12;-0.01215605813745389;-0.008623303267421237;-0.0007187017565583527;-0.026524360049137382;0.0;0.004235669992953132;2.1495806624796244e-13;0.24765218261806501;0.047088000000000005;0.009166329839074337;0.0
9.0;69.08617223712125;70.5708782091009;-7.722854079025559e-12;-0.01215605813745389;-0.019760642134707428;-0.0006957963942666951;-0.026524360049137455;0.0;0.004326300007203186;2.1495807139434417e-13;0.24952158423758372;0.047088000000000005;0.041640453726416525;0.0
10.0;69.08617579267415;70.5708782091009;-7.722854079025559e-12;-0.01215605813745389;-0.03616999144430436;-0.0006697703947791994;-0.026524360049137333;0.0;0.004660605002947384;2.1495807880484848e-13;0.23554468738723952;0.047088000000000005;0.08874169966099531;0.0
11.0;69.0861790422267;70.5708782091009;-7.722854079025559e-12;-0.01215605813745389;-0.0577152728409729;-0.0006549153202204189;-0.026524360049137368;0.0;0.004201469993903112;2.1495808559010765e-13;0.22879614506377005;0.047088000000000005;0.1317473514394734;0.0
12.0;69.08618111531867;70.5708782091009;-7.722854079025559e-12;-0.01215605813745389;-0.07838545583192982;-0.0013444226561200915;-0.026524360049137347;0.0;0.004206599990407116;2.149580899318236e-13;0.23070916597450747;0.047088000000000005;0.15918133189270764;0.0
13.0;18.917131324911928;70.5708782091009;-7.722854079025559e-12;-0.01215605813745389;-0.08535628678376193;-0.008929399993894383;-0.02652436004913744;0.0;0.0044075249964110885;0.0;0.24277304191411075;0.047088000000000005;0.1688524411168453;0.0
14.0;10.000007577590592;70.5708782091009;-7.722854079025559e-12;-0.01215605813745389;-0.08535628678376829;-0.008929399993895243;-0.026524360049137375;0.0;0.00409117500165807;0.0;0.2560333361230013;0.03982997358175986;0.16438973483626051;0.0
15.0;69.08617982568957;70.5708782091009;-7.722854079025559e-12;-0.01215605813745389;-0.08455642177129682;-0.008450280667926578;-0.02652436004913704;0.0;0.003813300008038882;2.1495808737464642e-13;0.2638848245230567;0.047088000000000005;0.14256950997648982;0.0
16.0;69.08617719317589;70.5708782091009;-7.722854079025559e-12;-0.01215605813745389;-0.07448623835853754;-0.0006733113831953177;-0.026524360049137066;0.0;0.003525164994244713;2.1495808179885456e-13;0.26619042133771764;0.047088000000000005;0.10703611838587432;0.0
17.0;69.08617364401854;70.5708782091009;-7.722854079025559e-12;-0.01215605813745389;-0.04646114803533289;-0.0006910050092156464;-0.026524360049137025;0.0;0.0036953100079628134;2.1495807437263382e-13;0.2661592647011329;0.047088000000000005;0.06011842894163102;0.0
18.0;69.08617053790606;70.5708782091009;-7.722854079025559e-12;-0.01215605813745389;-0.01780700625545804;-0.0007157586613004054;-0.026524360049137042;0.0;0.003778245000628862;2.1495806786055105e-13;0.2599154610318143;0.047088000000000005;0.01910512488028797;0.0
19.0;69.08616933493646;70.5708782091009;-7.722854079025559e-12;-0.01215605813745389;-0.005497010688772583;-0.0007289741575163745;-0.02652436004913706;0.0;0.003919319998386947;2.1495806534615463e-13;0.26124273603328046;0.047088000000000005;0.0031931103976765808;0.0
20.0;69.0861691191515;70.5708782091009;-7.722854079025559e-12;-0.01215605813745389;-0.009818089214677802;-0.0007362562051391267;-0.026524360049136993;0.0;0.004337414995157193;2.1495806491940698e-13;0.27312590348069565;0.047088000000000005;0.00025621340253420837;0.0
