Year;CAP_SMR;CAP_SMRCCS;CAP_Alkaline_base;CAP_Alkaline_peak;PROD_SMR;PROD_SMRCCS;PROD_Alkaline_base;PROD_Alkaline_peak;IMPORT_Import;CN_CAP_Alkaline_base;CN_CAP_Alkaline_peak;CN_PROD_Alkaline_base;CN_PROD_Alkaline_peak;PriceH2;PremiumH2CN_prod;PremiumH2CN_cap
2021.0;70.0;0.35;0.135;0.135;1.995259469080062e-10;2.006785679601197e-10;1.2327839285722877e-14;2.8444934399798997e-12;0.0;0.0;0.0;0.0;0.0;0.047550288740077114;0.0;0.0
2022.0;70.0;0.35;0.135;0.135;1.059970431237349e-10;1.0644405054171754e-10;9.465073819270092e-15;2.1840420326754663e-12;0.0;0.0;0.0;0.0;0.0;0.05283365415621392;0.0;0.0
2023.0;65.33333333336951;0.32666666668798616;0.12825000000000328;0.12825000000079803;6.969558318944532e-10;7.055295381194625e-10;5.2104706311830643e-14;1.1996552688015949e-11;0.0;0.0;0.0;0.0;0.0;0.05811701956898571;0.0;0.0
2024.0;60.66666666673904;0.30333333337587776;0.12150000000000558;0.12150000000163041;7.510947400386303e-10;7.60819974618049e-10;0.0012790345998347269;0.0012790345675175857;0.0;0.0;0.0;0.0;0.0;0.06339660330890345;0.0;0.0
2025.0;56.000000000109395;0.2800000000643021;0.11475000000000818;0.11475000000249587;9.7278974566895e-10;9.88275826741177e-10;9.269553083467538e-14;2.1040291145045858e-11;0.0;0.0;0.0;0.0;0.0;0.06868375039899552;0.0;0.0
2026.0;51.333333333485086;0.2566666667558474;0.10800000000001102;0.10800000000349745;9.7543831168994e-10;9.909581764366914e-10;0.001136919644278714;0.001136919608147521;0.0;0.0;0.0;0.0;0.0;0.07396185685296712;0.0;0.0
2027.0;46.666666666867904;0.23333333345182447;0.1012500000000145;0.10125000000465949;1.0959405680581192e-9;1.115173490120212e-9;2.695246690494806e-13;5.419485922513849e-11;0.0;0.0;0.0;0.0;0.0;0.07924808465697195;0.0;0.0
2028.0;42.000000000259305;0.21000000015256645;0.09450000000001864;0.09450000000601586;1.2294712313880858e-9;1.2533243059525144e-9;1.564191083112564e-13;3.4563839929046814e-11;0.0;0.0;0.0;0.0;0.0;0.08453205156302913;0.0;0.0
2029.0;37.33333333366173;0.186666666859876;0.08775000000002446;0.08775000000760814;1.3805367797057907e-9;1.4102646892817678e-9;1.5258636392939284e-13;3.4212655992294844e-11;0.0;0.0;0.0;0.0;0.0;0.08981486246205463;0.0;0.0
2030.0;32.666666667078395;0.1633333335754951;0.08100000000003181;0.08100000000949739;1.5556810397085795e-9;1.5930882434083408e-9;3.44892867434638e-13;6.013738589586214e-11;0.0;0.0;0.0;0.0;0.0;0.09508396684928044;0.0;0.0
2031.0;28.000000000514294;0.14000000030246715;0.07425000000003923;0.0742500000117748;1.733642784726781e-9;1.779252230076236e-9;4.706603450434601e-13;7.39783969725256e-11;0.0;0.0;0.0;0.0;0.0;0.1022171779163573;0.0;0.0
2032.0;23.333333333977244;0.11666666704537028;0.06750000000004713;0.06750000001454638;1.9343332585293733e-9;1.990235904117222e-9;6.665363505595929e-13;8.546394807622371e-11;0.0;0.0;0.0;0.0;0.0;0.10935128291064443;0.0;0.0
2033.0;18.66666666748098;0.09333333381233758;0.06075000000006332;0.06075000001798006;2.1613348674588317e-9;2.230216147894997e-9;2.910523950625785e-13;5.835670167228069e-11;0.0;0.0;0.0;0.0;0.0;0.11648319997433702;0.0;0.0
2034.0;14.000000001053005;0.07000000061935155;0.054000000000077146;0.05400000002234554;2.418980880633575e-9;2.504309534303838e-9;2.487486345835498e-13;5.2765483983794814e-11;0.0;0.0;0.0;0.0;0.0;0.12360628925129387;0.0;0.0
