Year;CAP_SMR;CAP_SMRCCS;CAP_Alkaline_base;CAP_Alkaline_peak;PROD_SMR;PROD_SMRCCS;PROD_Alkaline_base;PROD_Alkaline_peak;IMPORT_Import;CN_CAP_Alkaline_base;CN_CAP_Alkaline_peak;CN_PROD_Alkaline_base;CN_PROD_Alkaline_peak;PriceH2;PremiumH2CN_prod;PremiumH2CN_cap
2021.0;70.0;0.35;0.135;0.135;1.2805092783928066e-13;2.670867702258783e-9;9.42927840637334e-12;8.79718910995968e-13;9.999999998209615;0.0;0.0;0.0;0.0;2.7508157190158347;0.0;0.0
2022.0;70.0;0.35;0.135;0.135;4.356714730570931e-14;7.492510923398654e-10;5.007714709050847e-12;4.731808969331198e-13;11.111111110607245;0.0;0.0;0.0;0.0;2.9097952435624417;0.0;0.0
2023.0;65.33333333333334;3.8266666663296824;0.12825000002237621;1.2791625777374747;0.7492131512688465;1.015806051828208;3.687916978661359e-11;3.2588420098012613e-12;10.457088410582292;0.0;0.0;0.0;0.0;2.816216541960692;0.0;0.0
2024.0;60.66666666666669;7.303333332330955;0.12150000016836379;2.622412577727301;0.03188887655866351;1.9387030215659211;0.003197586519913344;0.05846393386862358;11.300943619777204;0.0;0.0;0.0;0.0;2.93695649806171;0.0;0.0
2025.0;56.00000000000003;13.753471346543842;0.11475000022296784;15.474788355017466;1.7121395330811488e-11;3.6509214761587034;0.015650760625053942;1.3827289725712764;9.39564397681242;0.0;0.0;0.0;0.0;2.664345048978277;0.0;0.0
2026.0;51.33333333333337;13.730138017935857;0.10800000036183958;19.749582290986066;1.016857129347818e-12;3.6447275330033766;0.01893984950307737;2.0386275733310604;9.85330170642112;0.0;0.0;0.0;0.0;2.729827765716882;0.0;0.0
2027.0;46.66666666666672;16.492192884324364;0.10125000062527835;19.742832291106243;1.0561401584505816e-12;4.377927553629082;0.018343064156415123;2.0123012720867894;10.25791417465953;0.0;0.0;0.0;0.0;2.7877180602640497;0.0;0.0
2028.0;42.00000000000007;18.848835966870222;0.24984182481035397;21.270193916702805;8.466830282462365e-13;5.003509170744139;0.049474618099213295;2.5560681313810942;10.169022261422521;0.0;0.0;0.0;0.0;2.7749992990599144;0.0;0.0
2029.0;37.33333333333343;22.998955925762772;0.7608421052583094;21.263443916908543;7.21358606963183e-13;6.105177376769533;0.15066481726819206;2.544191176724354;10.088719967252459;0.0;0.0;0.0;0.0;2.7635099229142948;0.0;0.0
2030.0;32.66666666666678;26.73111603298718;2.1071759417312816;21.256693917077378;6.364287896409778e-13;7.095896240287045;0.42705569005920274;2.4945052557706986;9.982381630916764;0.0;0.0;0.0;0.0;2.7482973065117537;0.0;0.0
2031.0;28.000000000000142;30.105693552775936;4.674524175271536;21.249943917261568;5.96345205073147e-13;7.991693180701418;0.9466854242510733;2.3135113461433128;10.24861423374979;0.0;0.0;0.0;0.0;2.7863907566584163;0.0;0.0
2032.0;23.33333333333351;30.082363623182236;8.147458204481142;21.24319391828112;6.701737039033363e-13;7.9855001480241405;1.6366235289322018;1.9664841655603986;11.414819365527546;0.0;0.0;0.0;0.0;2.953269115058045;0.0;0.0
2033.0;18.666666666666895;30.059030294562262;10.697588372039055;21.236443918523904;7.282994808860269e-13;7.979306211350974;2.1525188652958795;1.856792608914394;12.51314498442395;0.0;0.0;0.0;0.0;3.110413092203474;0.0;0.0
2034.0;14.000000000000295;30.035696962901024;15.453292337442518;21.229693918775233;6.784184831047625e-13;7.973112271871039;3.180011767829815;1.9028583802479226;12.946017395485176;0.0;0.0;0.0;0.0;3.1723512714564257;0.0;0.0
2035.0;9.333333333333735;30.012363630570697;19.318439593287675;26.740917429125716;6.191498556106185e-13;7.966918331698071;4.055985600870975;2.270399700568589;13.204907252870303;0.0;0.0;0.0;0.0;3.2093640065486086;0.0;0.0
2036.0;4.666666666667298;29.989030297956397;20.199644741341107;44.57169052714278;5.675296395953945e-13;7.960724391140845;4.207676790678463;3.427134573135709;13.40425438973961;0.0;0.0;0.0;0.0;3.2378978499252966;0.0;0.0
2037.0;1.122805745642906e-11;29.96569696518718;20.192894745131035;71.75862769451149;4.527221496348539e-13;7.954530451526561;3.6897994792865276;4.794300095618947;14.058239088177402;0.0;0.0;0.0;0.0;3.3314503139516636;0.0;0.0
2038.0;1.2033068430752926e-11;29.9656969656453;20.186144758855907;101.28210354164945;4.0789485104792405e-13;7.954530446921894;3.6995665614510314;6.901285442217019;13.441185559955105;0.0;0.0;0.0;0.0;3.24315439101351;0.0;0.0
2039.0;1.3092015895261201e-11;29.96569696608065;25.282695675225757;122.0551037834649;3.6833385621058726e-13;7.954530437429989;4.751764390477788;8.306328350407247;12.48772117429582;0.0;0.0;0.0;0.0;3.106777950955406;0.0;0.0
2040.0;1.441565899465767e-11;29.96569696651972;27.237110158893508;131.66692840311146;3.471474239072365e-13;7.9545304263483745;5.70248418443395;9.407998362865175;11.935799518691082;0.0;0.0;0.0;0.0;3.0278098285700277;0.0;0.0
2041.0;1.6011636329268897e-11;29.965696966977198;30.558290967090304;165.47448086744737;3.147598552726515e-13;7.95452979033929;6.460632464743267;11.871693417117196;10.212771892365089;0.0;0.0;0.0;0.0;2.7812574268937897;0.0;0.0
2042.0;1.7921555821034758e-11;29.965696967493194;30.551540969388277;180.98532282402684;3.061144432939349e-13;7.7271675122012065;7.000253089826361;13.486604740454242;9.78707335968385;0.0;0.0;0.0;0.0;2.720370682554164;0.0;0.0
2043.0;2.0168474001039092e-11;29.965696968095457;30.551540969848293;179.83441024639518;3.1295054982329224e-13;7.954524424233524;6.977831457448997;13.880482910064295;10.684795434581094;0.0;0.0;0.0;0.0;2.84874775395192;0.0;0.0
2044.0;2.2761283123428374e-11;29.96569696878093;30.551540971003725;209.19007149793725;3.099037700277635e-13;7.530102102800544;6.886152445707929;15.879103198910027;10.70612332243985;0.0;0.0;0.0;0.0;2.8518851966245014;0.0;0.0
2045.0;2.5742742053923354e-11;29.965696969570054;30.551540972581442;318.2260341310114;3.0000330197184724e-13;1.5151489325585734;6.913489063084866;24.198775300284222;9.870841780561436;0.0;0.0;0.0;0.0;2.7322960438418065;0.0;0.0
2046.0;2.9183169960537046e-11;29.96569697051313;30.551540974865944;359.6294095489484;2.9321468775310283e-13;0.6286084557018304;6.834611892476847;27.3901568638648;9.147083781273498;0.0;0.0;0.0;0.0;2.6287896837103473;0.0;0.0
2047.0;3.3160553297783716e-11;29.9656969716714;30.551540979652287;402.017799103323;2.8691932766524487e-13;5.6677885456576334e-6;6.631232033808482;30.627208057345886;8.241874896692158;0.0;0.0;0.0;0.0;2.499285730128308;0.0;0.0
2048.0;3.7760161140704395e-11;26.465696973430568;30.396199166704314;431.52164606422315;2.825025989105925e-13;1.3616556516214398e-7;6.6615050169400405;33.06272148767094;7.275706921921643;0.0;0.0;0.0;0.0;2.3610455285996634;0.0;0.0
2049.0;4.3096326321072446e-11;22.96569697594198;33.335874973652786;461.884192741418;2.7768399322060407e-13;6.913768527987429e-8;6.963113487556883;35.16640799182339;6.382554390548277;0.0;0.0;0.0;0.0;2.2335538995061723;0.0;0.0
2050.0;4.92981971715968e-11;16.492225630777824;42.67576535973549;465.1704776495778;2.7449363319512783e-13;4.735761913042926e-8;9.297480703878458;35.31483554437625;5.410223358553021;0.0;0.0;0.0;0.0;2.0950144653367277;0.0;0.0
2051.0;5.6512406414669835e-11;16.492225629135334;47.89847930840793;466.910054900567;2.7306967789340784e-13;4.148145478447166e-8;10.23793862089164;35.181991918470175;4.600449603159913;0.0;0.0;0.0;0.0;1.979148527960161;0.0;0.0
2052.0;6.489382211776554e-11;13.70683743407946;54.51075691422167;466.9100549001517;2.7266884127430853e-13;3.800094803138283e-8;11.354186991545628;34.880908724967256;3.7845290104416076;0.0;0.0;0.0;0.0;1.8624990929614123;0.0;0.0
2053.0;7.455983198977866e-11;11.326861024967029;56.77266969195549;466.91005490068943;2.733107376803998e-13;3.676976328303836e-8;11.640916548882364;34.79548295442036;3.5830974900490404;0.0;0.0;0.0;0.0;1.7427210721788604;0.0;0.0
2054.0;8.544500625328583e-11;7.15340775080483;53.67134267571327;466.9100549013864;2.7622919786269724e-13;3.647523243107126e-8;11.467567647009929;35.015658718950796;3.529440327410883;0.0;0.0;0.0;0.0;1.6519308915843591;0.0;0.0
2055.0;9.69550673515407e-11;3.397914339858852;58.32856189872405;461.39208139408015;2.8287198201406565e-13;4.189025964295674e-8;12.095794865524596;34.400246499485334;3.516001654642533;0.0;0.0;0.0;0.0;1.5258697239874834;0.0;0.0
2056.0;1.0763452584577424e-10;3.622182486755931e-6;70.67501189644267;443.55455829895175;2.9931261177416624e-13;4.0455181226155695e-8;13.760226666321145;32.85441557331838;3.3921135577338912;0.0;0.0;0.0;0.0;1.3972247416823016;0.0;0.0
2057.0;1.15902246309896e-10;1.1560429914232725e-6;85.86986947764638;416.3608711362302;3.210165706660362e-13;3.488780286040073e-8;15.872855358076553;30.930016912197733;3.190001182009876;0.0;0.0;0.0;0.0;1.3187478774135188;0.0;0.0
2058.0;1.2149954800561613e-10;1.2288914301624815e-6;104.99670167304504;386.8306455124556;3.4439273644432596e-13;3.613404190662785e-8;18.169278802512935;28.96935825154332;2.8414726239438672;0.0;0.0;0.0;0.0;1.22972400386617;0.0;0.0
2059.0;1.2526689968731525e-10;1.2687247187939391e-6;99.89340082905044;397.7678858024848;3.6867152434947526e-13;3.7010000280785624e-8;17.887045428303516;29.658708780812272;2.4651189664233324;0.0;0.0;0.0;0.0;1.0774753870813079;0.0;0.0
