Year;EOM_avg;REC_y;ADD_CAP_CCGT_new;ADD_CAP_WindOffshore;ADD_CAP_SPP_coal;ADD_CAP_WindOnshore;ADD_CAP_Nuclear;ADD_CAP_Solar;ADD_CAP_OCGT;CAP_CCGT_new;CAP_WindOffshore;CAP_SPP_coal;CAP_WindOnshore;CAP_Nuclear;CAP_Solar;CAP_OCGT;FS_CCGT_new;FS_WindOffshore;FS_SPP_coal;FS_WindOnshore;FS_Nuclear;FS_Solar;FS_OCGT
2021.0;196.18479425986516;2.3343389694573012e-11;3.028296798497285e-13;6.353999999999813;4.3911001942042094e-14;82.43499999999952;1.5519278057330533e-15;55.419999999999305;3.7654584861060564e-14;153.0;12.708;49.44;164.87;78.48;110.84;11.39;551.0717905761014;27.51013231758485;433.0943999999558;288.6219235013827;687.4847999999996;126.15955034204879;0.0
2022.0;329.80780678269025;1.646275892426173e-11;3.0695486048448033e-13;1.9109483379756594e-13;4.6004158643027234e-14;123.6524999999982;1.5087535728155582e-15;83.12999999999653;3.806355806530417e-14;153.0;12.708;49.44;247.30499999999952;78.48;166.2599999999993;11.390000000000038;380.9557875106855;27.51013231758485;433.09439999997966;432.9328852519964;687.4847999999996;189.2393255130193;0.0
2023.0;123.91596425262824;8.376947202771525e-11;3.105102353718624e-13;6.832969748818347e-14;4.830684836165169e-14;185.47874999999277;1.4795736750297959e-15;16.48192204009637;3.852031275134729e-14;145.35;18.35599999999981;46.144000000000005;359.9661666666644;74.556;242.0006666666625;10.251000000000076;225.04277229281132;39.736857792057386;365.09658718345526;630.1578663111451;653.1105599999997;275.44835157999444;1.3173750870386663e-11
2024.0;114.90744832402537;-1.0184256895868615e-6;3.549753938555509e-13;7.495671133163893e-14;6.18066239791648e-14;272.7224583332486;1.8117858886222696e-15;1.2734966276977093e-11;4.6570299972318574e-14;137.70000000000033;17.650000000000002;42.848000000000006;534.4535833333239;70.632;251.09325537342556;9.112000000000114;71.49872308378664;38.208517107739;284.70386830513166;935.6160686832416;612.9122773479553;285.7976560068798;9.417000328371697e-12
2025.0;72.86599779536887;3.206373951875889e-10;4.0790827975026586e-13;8.389710669232294e-14;8.227284893596123e-14;82.7497945465249;2.262884774321826e-15;2.816336315044295e-11;5.726456425927251e-14;130.0500000000006;16.944000000000074;39.552;796.1847083332391;66.708;243.70392204010494;7.97300000000016;4.01387683802689e-10;36.68017642340625;57.8510583740922;1393.8033722410396;566.5642394510509;277.3870193170788;6.368129163205875e-12
2026.0;69.2566213381029;1.5223310135689365e-6;4.713834869474001e-13;9.438935342610333e-14;1.166369810872125e-13;60.45541462695737;2.886889145657877e-15;9.902387483534378e-11;7.235205769396732e-14;122.40000000000093;16.238000000000145;36.25599999999999;867.9431695464307;62.784000000000006;236.31458870679978;6.834000000000217;2.509850131099082e-10;35.1518357390928;37.00589513892216;1519.423952715587;538.1987572626285;268.9763826275899;4.431879405310088e-12
2027.0;69.58447154076075;2.443878756304391e-9;5.486713098430933e-13;1.0700666613558204e-13;1.8556743719680814e-13;76.62830267170423;3.787897565372113e-15;13.168292285587038;9.507413564578609e-14;114.75000000000128;15.53200000000023;32.96;917.4072508400546;58.86;228.92525537356545;5.695000000000291;0.46109617982498474;33.62349505477899;33.17481107159833;1606.0159238879112;505.4961773547142;260.5657459381759;4.2912985540192654e-12
2028.0;69.63955763243334;6.148229644486134e-10;6.443679870864231e-13;1.218245800345308e-13;3.9092728175090964e-13;50.64750434807437;5.135686545305993e-15;49.133460284197604;1.3250134028772514e-13;107.10000000000167;14.826000000000324;29.664;983.0442201784256;54.93599999999999;234.70421432581918;4.5560000000003855;0.6878889607057729;32.095154370466496;22.31451347386383;1720.9202020660696;466.54414372149284;267.1434332609596;4.8015692319717085e-12
2029.0;68.22478181947831;1.3466478560206948e-10;7.653042058426267e-13;1.397202750124076e-13;2.3223391033429675e-11;66.92693032057664;7.290618998180251e-15;141.91883730487788;2.0423640914604504e-13;99.45000000000216;14.12000000000043;26.368000000000045;1022.7003911931665;51.012;276.44834127668344;3.417000000000517;21.08652065305938;30.566813686153253;1.302697661724323e-8;1790.3424156705016;434.56819382010434;314.65714929792284;5.0789197641282475e-12
2030.0;67.89051401722645;4.580933516128221e-11;9.178971109659006e-13;1.6081479220549763e-13;4.709738935691684e-12;42.059967645141484;1.1618672468441955e-14;23.441165848421956;4.155309517257093e-13;91.8000000000027;13.414000000000552;23.07200000000009;1078.6359881804099;47.088;410.97784524822794;2.278000000000722;11.519013518973955;29.038473001858268;1.9039681156071013e-10;1888.2634419015367;412.49088000000035;467.78040560263554;4.070725621124388e-12
2031.0;67.19076474640596;3.1998778372963064e-11;1.1202071262180308e-12;1.8694117141812446e-13;4.03955466679976e-12;41.9520231109604;2.443368103111423e-14;1.4437647439560837e-10;2.1084246232469626e-12;84.15000000000337;12.708000000000691;19.77600000000014;1109.704622492218;43.164;427.0296777633166;1.1390000000011378;11.404485993740076;27.510132317541753;1.2483404295245517e-10;1942.6522876321815;377.09950213213403;486.05081314737;3.4658321164810014e-12
2032.0;66.87280824586716;2.6481074614028646e-11;1.3990793101217808e-12;2.199074562485839e-13;3.695549036146533e-12;59.26476836287864;1.8539001558269216e-12;6.714286609747055;0.5694999793810637;76.5000000000041;12.002000000000852;16.4800000000002;1140.6653122698451;39.24;419.64034443012764;3.2461928376554986e-12;11.933872670894102;25.98179163323028;1.056232131998529e-10;1996.8521653330533;343.7423999999892;477.64017645804074;1.2923277265186453e-12
