Year;CAP_SMR;CAP_SMRCCS;CAP_Alkaline_base;CAP_Alkaline_peak;PROD_SMR;PROD_SMRCCS;PROD_Alkaline_base;PROD_Alkaline_peak;IMPORT_Import;CN_CAP_Alkaline_base;CN_CAP_Alkaline_peak;CN_PROD_Alkaline_base;CN_PROD_Alkaline_peak;H2CfD_Alkaline_base;H2CfD_Alkaline_peak;H2FP_Alkaline_base;H2FP_Alkaline_peak;PriceH2;PremiumH2CN_prod;PremiumH2CN_cap;PremiumFP;StrikeH2CfD;RefH2CfD
2021.0;70.0;0.35;0.135;0.135;3.0541220993275595;0.09290908126149403;1.056104305540849e-12;1.3658971683977778e-12;6.849985104808844;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.281465510019176;0.0;0.0;0.0;0.0;4.281465509966033
2022.0;70.0;0.35;0.135;0.135;4.1513450584444224e-8;8.455278052670346e-10;4.771324945660055e-13;6.53021895080169e-13;11.111111083073217;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.892004979873169;0.0;0.0;0.0;0.0;4.892004979863938
2023.0;65.33333333856424;3.8266666664407545;0.12825000002249748;1.4782499999402379;11.2034187095809;1.0158060547327834;3.177304501148968e-12;3.907474645232057e-12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.851466787532765;0.0;0.0;0.0;0.0;2.8514667875477033
2024.0;60.66666667719915;7.303333332659987;1.4715000000188903;2.821499999935284;11.27836036446155;1.9387030245321584;0.03872632539054837;0.07425506427613404;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.9804119764221784;0.0;0.0;0.0;0.0;2.980411976420729
2025.0;56.00000001589733;27.489365420641498;2.8147500001218013;16.653979206144935;5.442647360823737;7.297176997545366;0.3745834751172356;1.3272148101106624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.769342524654316;0.0;0.0;0.0;0.0;2.7693425133988505
2026.0;51.333333355432934;27.466032089293783;12.413884871804228;16.64722920621736;4.955134276691984;7.290983058682599;2.0798910816932135;1.22568482682048;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.041924655375492;0.0;0.0;0.0;0.0;3.041924767192476
2027.0;46.666666695990294;27.442698756787667;13.361440711710765;16.64047920624412;5.548048667094801;7.284789119690528;2.484741690757406;1.34438304814135;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.1167898548715725;0.0;0.0;0.0;0.0;3.1167901442560924
2028.0;42.00000003781533;27.41936542390449;21.180537699071188;16.633729207259016;5.7090343391178155;7.27859518056796;3.6881483685177687;1.0973793619167822;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.2065195576132774;0.0;0.0;0.0;0.0;3.2065181284846154
2029.0;37.333333381246305;27.396032090858057;31.383047876507597;16.62697921175738;4.828481647906034;7.27240124137629;5.700525639973052;1.03393737037846;0.04782323614730961;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.3068295687305995;0.0;0.0;0.0;0.0;3.306829688622252
2030.0;32.66666672676659;27.372698757725647;78.14450686493497;40.758602228874295;9.797244276600177e-8;0.05079163752173823;17.4878042583498;2.5060259540994174;0.0;0.0;0.0;0.0;0.0;17.48780425847835;2.5060259540998415;0.0;0.0;-1.0242122016340292;0.0;0.0;0.0;3.511073007439568;-0.8631778297766907
2031.0;28.00000007510145;27.349365424655957;78.13775686494068;40.751852228907985;1.8947381674543102e-7;1.503964407594322;17.48780425837859;2.5060259540952403;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.3451879185423725;0.0;0.0;0.0;0.0;2.3451877541472794
2032.0;23.333333427417735;27.32603209169082;78.13100686494332;40.7451022289843;1.8610039746247548e-7;3.0037331449159552;17.487804258386518;2.506025954104242;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.363479927179749;0.0;0.0;0.0;0.0;2.3634796212905984
2033.0;18.666666785785235;27.3026987589336;78.12425686494848;40.738352229044146;1.8321944821364151e-7;4.50351216517991;17.487804258597915;2.5060259541023697;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.3836007344649977;0.0;0.0;0.0;0.0;2.383600303935232
2034.0;14.000000154451454;27.279365426785162;83.20075893238379;44.60903003923068;1.807242152698017e-7;6.003301594579277;17.487804258478555;2.5060259541001715;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.4057333098533875;0.0;0.0;0.0;0.0;2.4057332859074108
2035.0;9.333333543572556;27.25603212928072;94.94666656061808;49.51992537783961;2.8477072632248505e-7;7.130577269026625;17.48780425847876;2.506025954100639;0.38065037786556993;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.898757748363233;0.0;0.0;0.0;0.0;2.92238070235321
2036.0;4.666666989287253;27.232698812421088;107.35048772569047;58.96477616671199;3.692150506664338e-7;7.229043676586704;17.487804258481447;2.8488403317115343;1.4342646254040998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.5055295286581036;0.0;0.0;0.0;0.0;3.507145873494489
2037.0;5.94186739405933e-6;27.20936548010372;114.14261675908749;90.76858906838316;2.476950428216587e-7;7.222849735603815;17.487804258484346;4.871715480181363;0.9129396752376477;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.4307216870086528;0.0;0.0;0.0;0.0;3.428575943529695
