Hour;EOM_price;PROD_SMR;PROD_SMRCCS;PROD_Alkaline_base;PROD_Alkaline_peak;PROD_Import;PROD_CCGT_new;PROD_WindOffshore;PROD_SPP_coal;PROD_WindOnshore;PROD_Nuclear;PROD_Solar;PROD_OCGT
1.0;296.27166714212194;-2.8449383421430964e-17;-0.08313049908085116;-4.006489197663458e-18;-1.458663372556105e-16;-0.04871916540137518;0.0025785524682786108;0.00218375999652915;1.2387712655596392e-15;0.277453921539759;0.007847999999999702;5.233480181388248e-5;3.769692015522736e-14
2.0;9.999957364269553;-2.8449383421430964e-17;-0.08313049908085116;-4.006392269250394e-18;-1.4586647930159066e-16;-0.048719165402410065;0.0;0.0020517300012188396;0.0;0.28015287616868245;0.004420816203216128;5.233480153276189e-5;0.0
3.0;6.899538902048602e-12;-2.8449383421430964e-17;-0.08313049908085116;-4.006390640223437e-18;-1.4586648336272233e-16;-0.048719165401375254;0.0;0.000978805360630041;0.0;0.28480068786334706;0.0;2.4406810570074958e-5;0.0
4.0;-1.192793413387088e-9;-2.8449383421430964e-17;-0.08313049908085116;-4.006390640223437e-18;-1.4586648336272233e-16;-0.04871916540137524;0.0;0.0010165757187194193;0.0;0.28206867573234046;0.0;2.4518283904655788e-5;0.0
5.0;1.6413682854463553e-10;-2.8449383421430964e-17;-0.08313049908085116;-4.006390640223437e-18;-1.4586648336272233e-16;-0.04871916540137525;0.0;0.0007564509850506612;0.0;0.2848655900902454;0.0;2.4398996932310416e-5;0.0
6.0;9.99995543925905;-2.8449383421430964e-17;-0.08313049908085116;-4.0063922692077955e-18;-1.4586647929785461e-16;-0.04871916540137526;0.0;0.002181329997620196;0.0;0.29274799326784534;0.000330469123424277;5.233480153276184e-5;0.0
7.0;296.27166505224915;-2.8449383421430964e-17;-0.08313049908085116;-4.0064891976224374e-18;-1.458663372518997e-16;-0.04871916540137526;0.005946422841135631;0.002139209999354682;1.2387712622436466e-15;0.2949971219002544;0.007847999999999702;0.0007675776142342896;3.7696918575617735e-14
8.0;296.27167157608636;-2.8449383421430964e-17;-0.08313049908085116;-4.006489197624015e-18;-1.458663372518997e-16;-0.04871916540137523;0.007022984332538605;0.0020063699966892897;1.238771272545438e-15;0.2930724582976772;0.007847999999999702;0.008363108206371284;3.769692348273424e-14
9.0;9.999986183030149;-2.8449383421430964e-17;-0.08313049908085116;-4.006392269212529e-18;-1.45866479297842e-16;-0.04871916540137524;0.0;0.002049300002874816;0.0;0.2952847147065293;0.0031455552059221213;0.03799160911587893;0.0
10.0;-7.13877814422571e-7;-2.8449383421430964e-17;-0.08313049908085116;-4.006390640181627e-18;-1.458664833589989e-16;-0.04871916540137525;0.0;0.002140615436577228;0.0;0.2765198018001133;0.0;0.0701078546354509;0.0
