Year;CAP_SMR;CAP_SMRCCS;CAP_Alkaline_base;CAP_Alkaline_peak;PROD_SMR;PROD_SMRCCS;PROD_Alkaline_base;PROD_Alkaline_peak;IMPORT_Import;CN_CAP_Alkaline_base;CN_CAP_Alkaline_peak;CN_PROD_Alkaline_base;CN_PROD_Alkaline_peak;PriceH2;PremiumH2CN_prod;PremiumH2CN_cap
2021.0;70.0;0.35;0.135;0.135;2.6756580135232366e-14;5.701519589286673e-14;7.880444604116377e-14;1.913719462110634e-13;9.999999999996561;0.0;0.0;0.0;0.0;2.750815719270209;0.0;0.0
2022.0;70.0;0.35;0.135;0.135;9.3614175601061e-15;1.5971938246268262e-14;4.1882804102803357e-14;1.0301014631611159e-13;11.111111111109704;0.0;0.0;0.0;0.0;2.9097952436339733;0.0;0.0
2023.0;65.33333333333333;3.8266666666666596;0.128250000000181;1.4242499999611358;0.18437922962339515;1.0158060606059027;2.9447577783488363e-13;6.81028703399476e-13;11.022079821168763;0.0;0.0;0.0;0.0;2.8970565424750165;0.0;0.0
2024.0;60.66666666666668;7.303333333333311;0.12150000000029965;2.7134999999599008;5.586558420808114e-13;1.938703030302844;0.0025580692000417935;0.04869290868319798;11.34371399203431;0.0;0.0;0.0;0.0;2.9430764484194696;0.0;0.0
2025.0;56.00000000000001;13.793176572387525;0.11475000000277377;12.84558252974687;4.364090881013042e-13;3.661461417397238;0.015650760835276566;1.2022101151101812;9.565624684121282;0.0;0.0;0.0;0.0;2.6886653685689255;0.0;0.0
2026.0;51.333333333333336;13.76984323905436;0.1080000000029068;12.838832529748553;1.9581762876855228e-13;3.6552674780032843;0.018371390018064142;1.506463533633436;10.373920753601633;0.0;0.0;0.0;0.0;2.804314960716261;0.0;0.0
2027.0;46.66666666666668;17.009771035108326;0.1012500000029926;12.832082529748911;1.80984993835403e-13;4.515321038410339;0.017810133422079967;1.5701508863718348;10.56309211805128;0.0;0.0;0.0;0.0;2.831382062991218;0.0;0.0
2028.0;42.000000000000014;21.516578358402494;0.09450000000304774;12.825332529749126;1.521764831037067e-13;5.711673527866588;0.017170616123418102;1.5569969898867584;10.492869305032972;0.0;0.0;0.0;0.0;2.8213426548000937;0.0;0.0
2029.0;37.33333333333336;25.100972341109603;0.08775000000309231;12.818582529749282;1.3224378334816615e-13;6.663167203276087;0.01691471172244144;1.7983284948221359;10.408775188765297;0.0;0.0;0.0;0.0;2.809300514928092;0.0;0.0
2030.0;32.666666666666686;29.627363446576794;0.08100000000312865;12.8118325297494;1.1867929896136574e-13;7.86471829672735;0.015144015827350778;1.8158984775450402;10.304367071939843;0.0;0.0;0.0;0.0;2.794365930832926;0.0;0.0
2031.0;28.000000000000032;41.542741256674525;0.07425000000315823;12.805082529749491;1.0997850076895236e-13;11.027709497225993;5.279705197097983e-15;1.1200857623029648e-14;10.471535107084373;0.0;0.0;0.0;0.0;2.818281404138471;0.0;0.0
2032.0;23.33333333333337;46.71368060991551;0.0675000000031933;12.798332529749597;1.0230614826587285e-13;12.400358852813568;5.276749626314572e-15;1.1196925356120357e-14;10.598811983814276;0.0;0.0;0.0;0.0;2.8364918151101115;0.0;0.0
2033.0;18.666666666666718;51.884618508760475;0.06075000000323541;12.79158252974972;9.60206578610619e-14;13.773007822325088;5.2738667788146454e-15;1.1193441626556035e-14;10.726088779718792;0.0;0.0;0.0;0.0;2.8547021185005534;0.0;0.0
2034.0;14.000000000000064;57.055561953066025;0.05400000000328666;12.784832529749862;9.082655161165047e-14;15.145658263904325;5.271038543515599e-15;1.119030530507786e-14;10.853365425014333;0.0;0.0;0.0;0.0;2.8729122995312255;0.0;0.0
2035.0;9.333333333333421;62.22651723297266;0.04725000000335016;12.77808252975003;8.647629430019154e-14;16.51831184729768;5.268369017596916e-15;1.1187530038380083e-14;10.98064186439335;0.0;0.0;0.0;0.0;2.891122346754141;0.0;0.0
