2041;id;scenario;sensetivity;PtH_PROD_base_2030;PtH_PROD_peak_2030;SMRCCS_PROD_2030;SMR_PROD_2030;IMPORT_2030;PtH_CAP_base_2030;PtH_CAP_peak_2030;SMRCCS_CAP_2030;EOM_price_2030;EOM_price_2040;WIND_CAP_2030;SOLAR_CAP_2030;GAS_CAP_2030;COAL_CAP_2030;NUCL_CAP_2030;WIND_PROD_2030;SOLAR_PROD_2030;GAS_PROD_2030;COAL_PROD_2030;NUCL_PROD_2030;ETS_price_2030;ETS_price_2040;PS_emmisions;H2S_emissions;IND_emissions;cumulative_emissions;DIFF_PROD;TOT_PROD;H2_PROD;D_CUM;Increase_elek;H2_PROD_Twh;ERROR;residential_demand;Demand_2030;Difference;PtH_base_H;PtH_peak;PtH_PROD_CN_base_2030;PtH_PROD_CN_peak_2030;PtH_CAP_CN_base_2030;PtH_CAP_CN_peak_2030;PS_cost;H2S_cost;Ind_cost;PS_cost_diff;H2S_cost_diff;Ind_cost_diff
FP_5000;39;9;no-buildout-limits;76.738;116.490;24.822;56.402;158.004;52.772;116.437;7.000;103.241;102.259;-23.637;-2.890;3.722;0.000;0.000;225.754;217.960;-149.388;9.509;219.566;4187.399;377.436;-44.891;36.077;9.142;0.329;523.4;59593.658;10024.58807;49569.069;579.104924;6376.51577;-55.70360068;49569.0695;2490.450108;47078.61939;5000;3979;76.610;73.390;50.563;60.865;5044.342;96.275;852.384;20.84515;2.12532;-0.62455
FP;41;3;high-electrolysis-buildout;85.907;88.037;12.101;74.595;171.741;59.102;111.262;4.130;104.375;104.034;12.101;-10.825;0.457;0.000;0.000;-297.577;-320.853;60.048;16.686;-135.280;4187.399;410.927;-46.127;12.392;33.539;-0.197;-677.0;-676.976;8891.893066;-9568.869;-553.5900771;5740.12413;;-9568.868653;2490.450108;-12059.31876;5155;3898;74.305;75.696;47.564;64.083;5069.206;78.820;867.281;-0.91206;5.03116;-2.46694
FP_fix;42;10;high-electrolysis-buildout;93.342;84.684;11.562;74.306;168.613;62.136;108.236;4.033;104.469;104.188;13.455;-11.646;-0.213;0.000;0.000;-339.618;-57.095;77.923;12.321;-201.865;4187.399;410.993;-42.612;9.141;33.114;-0.357;-508.3;58561.922;9058.023913;49503.899;-387.4592305;5874.853787;-120.8745191;49503.89858;2490.450108;47013.44847;5001;3467;76.682;73.318;50.598;69.794;5071.147;80.487;867.312;1.02848;6.69845;-2.43568
FP_3000;43;7;high-electrolysis-buildout;92.171;83.522;12.101;74.282;170.409;73.175;98.775;4.130;104.931;104.467;3.682;-11.583;0.391;0.000;0.000;-481.064;-288.952;121.131;15.376;-62.984;4187.399;414.452;-21.175;9.480;11.351;-0.344;-696.5;58373.764;8938.928005;49434.836;-506.5551387;5797.875887;-189.9373643;49434.83573;2490.450108;46944.38562;3986;3000;75.579;74.421;62.567;81.864;5063.080;86.792;868.909;-7.03814;13.0033;-0.83834
FP_4000;44;8;high-electrolysis-buildout;90.836;83.737;12.105;74.432;171.294;74.515;96.498;4.130;104.892;103.910;4.659;-15.761;-0.164;0.000;0.000;-441.811;-278.700;89.386;14.473;-99.882;4187.399;412.055;-37.509;10.875;26.361;-0.273;-716.5;58353.722;8887.794981;49465.927;-557.6881628;5760.903373;-158.8464414;49465.92665;2490.450108;46975.47655;4000;4000;76.336;73.664;62.978;60.773;5070.027;82.645;867.806;-0.09131;8.85667;-1.94179
FP_5000;45;9;high-electrolysis-buildout;88.096;85.401;12.110;74.558;172.218;62.070;108.534;4.130;104.569;104.010;13.365;-11.941;0.118;0.000;0.000;-334.047;-341.405;70.055;16.735;-126.196;4187.399;411.311;-43.555;12.033;31.233;-0.288;-714.9;58355.398;8850.136064;49505.262;-595.3470799;5725.391917;-119.5110061;49505.26209;2490.450108;47014.81198;5000;3914;76.563;73.437;50.532;61.921;5069.847;79.284;867.450;-0.27114;5.4957;-2.2977
FP;47;3;expensive-peak-PtH;96.886;83.726;11.668;72.232;167.963;99.309;66.918;3.971;104.717;103.617;-8.431;-27.245;1.118;0.000;0.000;-128.533;-219.710;3.040;4.095;-79.666;4187.399;402.161;-46.915;18.383;28.316;-0.216;-420.8;-420.773;9172.384991;-9593.158;-273.0981524;5960.177604;;-9593.158197;2490.450108;-12083.6083;4772;4293;73.916;76.084;51.112;58.481;5067.398;97.142;863.282;4.30172;-1.0572;-2.04269
FP_fix;48;10;expensive-peak-PtH;108.672;77.168;7.726;72.904;166.097;104.595;62.252;2.427;105.121;103.831;-5.764;-27.199;1.854;0.000;0.000;-72.975;52.352;13.455;-1.522;-143.319;4187.399;402.737;-44.209;19.131;24.877;-0.200;-152.0;58918.246;9367.360325;49550.886;-78.1228183;6132.726633;-73.88731173;49550.88578;2490.450108;47060.43568;4365;4317;79.606;70.394;60.181;53.814;5066.691;97.605;863.530;3.59443;-0.59386;-1.79475
FP_3000;49;7;expensive-peak-PtH;106.779;77.896;10.541;72.605;164.652;108.108;84.285;3.523;104.741;104.684;-24.356;43.008;3.244;0.000;0.000;-316.965;42.459;97.072;-3.909;-42.502;4187.399;408.777;-6.879;19.888;-12.962;0.047;-223.8;58846.411;9318.1313;49528.280;-127.3518439;6094.263981;-96.49314641;49528.27995;2490.450108;47037.82984;3000;3000;79.799;70.201;87.779;77.221;5071.484;112.912;866.267;8.38795;14.71247;0.94306
FP_4000;50;8;expensive-peak-PtH;101.493;76.785;12.124;71.995;169.948;98.598;66.435;4.130;105.199;103.895;-1.072;-35.139;1.556;0.000;0.000;-291.909;-242.625;61.676;0.298;-53.573;4187.399;405.578;-23.738;16.852;6.878;-0.008;-526.1;58544.122;9007.830089;49536.292;-437.6530543;5883.164365;-88.48077198;49536.29232;2490.450108;47045.84222;4000;4000;79.701;70.300;65.753;57.997;5061.689;99.112;864.826;-1.40711;0.91246;-0.49792
