2035;id;scenario;sensetivity;H2_price_2030;H2_price_2040;H2_price_2040;PtH_PROD_base_2030;PtH_PROD_peak_2030;SMRCCS_PROD_2030;IMPORT_2030;PtH_CAP_base_2030;PtH_CAP_peak_2030;SMRCCS_CAP_2030;EOM_price_2030;EOM_price_2040;WIND_CAP_2030;SOLAR_CAP_2030;GAS_CAP_2030;COAL_CAP_2030;NUCL_CAP_2030;WIND_PROD_2030;SOLAR_PROD_2030;GAS_PROD_2030;COAL_PROD_2030;NUCL_PROD_2030;ETS_price_2030;ETS_price_2040;PS_emmisions;H2S_emissions;IND_emissions;cumulative_emissions;DIFF_PROD;TOT_PROD;H2_PROD;D_CUM;Increase_elek;H2_PROD_Twh;ERROR;PtH_base_H;PtH_peak;;;;
HT_3500;17;126;cheap-PtH;2.43;2.3;0;9.7;4.7;0.8;12.3;64.9;48.5;5.5;89.8;103.2;4;1.4;-1.1;0;0;10.4;-3.3;-1.6;0;-0.3;249.2;401.4;-17.951;7.182;10.727;0;5.3;3281.102;715.6753036;2565.427;26.07928698;475.1301402;-20.81608642;4929;3195;;;;
HT_3800;18;276;cheap-PtH;2.43;2.3;0;9.8;4.6;0.8;12.3;65.6;47.8;5.5;89.8;103.2;2.9;1.3;-0.8;0;0;8.2;-3;-1.1;0;-0.3;249.3;401.6;-15.647;7.095;8.517;0;3.7;3279.577;714.0870321;2565.49;24.4910155;474.5488557;-20.75335738;4921;3179;;;;
HT_4000;19;376;cheap-PtH;2.43;2.3;0;9.8;4.6;0.8;12.3;65.5;47.8;5.6;89.7;103.2;2;1.2;-0.6;0;0;6.9;-3.1;-0.8;0;-0.2;249.4;401.7;-12.88;6.191;6.66;0;2.8;3278.617;713.0619884;2565.555;23.46597182;473.9048997;-20.68786564;4925;3170;;;;
QT;20;76;cheap-PtH;2.43;2.3;0;9.7;4.6;0.9;12.3;64.8;48.4;5.9;89.7;103.2;0.2;1.9;0.3;0;0;4.3;-2.1;-0.2;0;0;249;401;-10.724;4.904;5.82;0;2.1;3277.911;712.3203734;2565.59;22.72435676;473.1336142;-20.65267123;4944;3157;;;;
REF;21;1;expensive-PtH;2.69;2.6;0;0.9;11;2;13.6;5.1;87.6;11.3;89.9;104.4;1403.036;459.313;96.672;6.592;27.468;2418.567;509.339;122.783;0.629;182.302;254.2;409.4;3675.271;526.703;15064.046;19266;3233.6;3233.62;647.4099977;2586.21;-42.18601891;392.815613;;6054;4135;;;;
CT;22;22;expensive-PtH;2.51;2.6;0;0.6;12.5;1.4;13;3.5;101.4;8.5;89.8;104.4;2.2;31.4;0.1;0;0;33.7;30.3;-3.6;-0.1;7.9;253.6;408.4;-44.64;9.916;34.697;0;68.3;3344.097;715.4514392;2628.645;25.85542256;432.3308724;42.40226481;6183;4053;;;;
HT_3500;23;126;expensive-PtH;2.71;2.6;0;0.6;11.6;1.5;13.8;3.3;92.1;8.6;90.1;104.3;-4.5;15.4;1.8;0;0;7.8;9.1;0.2;-0.1;1.8;253.1;407.6;-42.81;10.819;31.834;0;18.9;3294.689;666.222233;2628.467;-23.3737836;402.6073085;42.22381642;6132;4154;;;;
HT_3800;24;276;expensive-PtH;2.72;2.6;0.001;1.1;11;1.6;13.8;6.1;87.5;8.8;89.9;104.3;-4.6;15.3;0.7;0;0;1.6;8.8;0.1;0;-0.2;253.1;407.6;-43.607;10.926;32.56;0;10.2;3286.067;657.6735982;2628.394;-31.92241836;399.8230765;42.15085001;6019;4150;;;;
HT_4000;25;376;expensive-PtH;2.72;2.6;0.001;1.1;11;1.5;13.8;6.2;87.5;8.8;89.9;104.3;-4.4;15.4;0.2;0;0;0.8;10;0;0;-0.2;253.1;407.6;-44.243;11.848;32.272;0;10.6;3286.394;657.9910141;2628.403;-31.6050025;400.1235418;42.16029544;6012;4148;;;;
QT;26;76;expensive-PtH;2.72;2.6;0.001;1.1;11;1.5;13.8;6.2;87.4;8.7;89.9;104.3;-3.6;14.8;0.1;0;0;-0.3;11.5;-0.2;0;-0.3;252.6;406.8;-43.14;11.988;30.988;0;10.7;3286.495;658.0923706;2628.402;-31.50364602;400.2055147;42.15947888;6019;4149;;;;
REF;29;1;high-natural-gas-price;2.46;2.4;0;7;7.9;0;12.6;40.1;67.9;0;93.3;106.1;1483.637;496.224;84.623;6.592;27.468;2531.364;547.558;89.378;5.305;177.135;240.2;386.9;3416.577;368.997;15479.803;19265;3350.7;3350.74;763.8088408;2586.932;74.21282424;491.1173896;;5728;3849;;;;
CT;30;22;high-natural-gas-price;2.47;2.4;0;6.5;8.3;0;12.6;37.2;70.9;0;93.3;106;0.2;1.1;0;0;0;3.7;-1.8;-0.1;0;0.3;240.1;386.7;-10.844;0.008;10.828;0;2;3277.864;766.5562272;2511.308;76.96021057;490.7112002;-74.93505432;5794;3882;;;;
HT_3500;31;126;high-natural-gas-price;2.46;2.4;0;7;7.9;0;12.6;40.1;68;0;93.4;106.1;0.1;-0.1;1.2;0;0;5.5;-5.6;0.1;0;0;240;386.6;-10.875;0.02;10.921;0;0.1;3275.949;764.0750461;2511.874;74.47902953;491.2894924;-74.3689092;5732;3845;;;;
HT_3800;32;276;high-natural-gas-price;2.47;2.4;0;7;7.9;0;12.6;40.2;67.8;0;93.3;106.1;0;-0.4;0;0;0;4.9;-5.4;0;0;0;240.1;386.7;-9.084;-0.007;9.156;0;-0.4;3275.404;763.4913761;2511.913;73.89535953;490.9844605;-74.33030499;5725;3847;;;;
HT_4000;33;376;high-natural-gas-price;2.47;2.4;0;7;7.9;0;12.6;40.2;67.8;0;93.3;106.1;-0.1;-0.1;0;0;0;4.4;-4.8;0;0;0;240.1;386.7;-8.231;-0.029;8.359;0;-0.4;3275.478;763.6021167;2511.876;74.00610007;491.0726224;-74.36659599;5728;3846;;;;
QT;34;76;high-natural-gas-price;2.47;2.4;0;7;7.9;0;12.6;40.2;67.8;0;93.3;106.1;-0.1;-0.1;0;0;0;3;-3.3;0.1;0;0;240;386.6;-6.083;0.04;6.132;0;-0.3;3275.569;763.5424547;2512.026;73.94643806;490.997034;-74.21677639;5720;3851;;;;
REF;35;1;low-natural-gas-price;2.24;2.2;0;4.4;7.5;6.1;9.5;27.5;72.9;34.3;88.4;103;1367.727;432.589;100.262;6.592;27.468;2395.295;477.203;138.659;0.762;194.04;256;412.3;3752.733;587.424;14925.836;19266;3206;3205.959;619.7596927;2586.2;-69.83632389;392.6031782;;5286;3396;;;;
CT;36;22;low-natural-gas-price;2.12;2.2;0;3.7;8.5;5.8;9.5;22.7;82.3;33.4;88.1;102.9;9.4;-1.9;-1.3;0;0;22;-1.3;-3.5;0;3.4;255.2;411;-42.56;-1.59;44.15;0;20.5;3296.337;640.2280012;2656.109;-49.36801541;401.6553723;69.86563446;5407;3391;;;;
HT_3500;37;126;low-natural-gas-price;2.3;2.2;0;4.1;7.8;5.6;10.1;25.4;75.3;30.9;88.2;102.8;0.1;-0.2;-0.2;0;0;3.3;-1.7;0;0;0.6;253.6;408.5;-91.933;6.092;85.833;0;2.1;3277.986;621.911355;2656.075;-67.68466161;392.4632535;69.83197009;5323;3416;;;;
HT_3800;38;276;low-natural-gas-price;2.29;2.2;0;4.4;7.7;5.5;10;27.1;74.6;30.7;88.4;102.9;7.8;-0.5;1.4;0;0;13.7;-0.8;-2.7;-0.3;0;253.3;407.9;-97.874;7.76;90.007;0;9.9;3285.71;629.6483072;2656.062;-59.9477094;398.3960904;69.81897787;5325;3408;;;;
HT_4000;39;376;low-natural-gas-price;2.3;2.2;0;4.7;7.2;5.5;10.1;29.6;71;30.8;88.3;102.8;-1.1;0.3;0;0;0;-1.1;-0.3;0.4;0;0.1;253.7;408.6;-88.32;6.89;81.438;0;-0.9;3274.95;618.8605274;2656.089;-70.73548923;393.4737955;69.84645973;5245;3359;;;;
QT;40;76;low-natural-gas-price;2.28;2.2;0;6;6.1;5.5;9.9;38.7;62.6;31;88.4;102.8;-0.5;0;-0.1;0;0;-2.1;-0.2;0.2;0;-0.5;253.9;409;-76.155;6.207;69.813;0;-2.6;3273.282;617.1934354;2656.089;-72.40258116;398.4347596;69.84583752;5090;3221;;;;
REF;41;1;Cheap-RES;2.56;2.4;0;6.2;7;1.2;13.1;38.4;65.2;7;90.5;105;1400.078;474.843;98.264;6.592;27.468;2430.898;525.291;122.472;0.548;186.768;251.2;404.5;3597.298;509.61;15158.899;19266;3266;3265.978;679.7274899;2586.25;-9.868526677;437.1769465;;5351;3555;;;;
CT;42;22;Cheap-RES;2.5;2.4;0;5.9;7.4;1.2;13;36.2;68.7;7;90.6;105;3;1.9;-0.7;0;0;8.6;-0.6;-1.2;0;0.9;251;404.2;-13.171;-0.693;13.818;0;7.7;3283.549;687.4392851;2596.11;-2.15673148;440.4595747;9.866942573;5407;3557;;;;
HT_3500;43;126;Cheap-RES;2.56;2.4;0;5.4;7.8;1.2;13.1;32.8;70.8;7;90.6;104.9;3;-0.7;-0.8;0;0;10.8;-5.6;-1;0;0.3;250.7;403.7;-15.863;0.279;15.519;0;4.6;3280.427;684.3271688;2596.099;-5.268847827;436.1686986;9.856506546;5462;3633;;;;
HT_3800;44;276;Cheap-RES;2.56;2.4;0;6;7.3;1.2;13.1;36.5;67.1;7;90.5;104.9;1.6;-1.1;-0.5;0;0;7.3;-5.6;-0.5;0;0.1;250.5;403.5;-17.232;0.753;16.409;0;1.3;3277.17;681.0658972;2596.105;-8.530119431;436.7320344;9.861596244;5389;3579;;;;
HT_4000;45;376;Cheap-RES;2.56;2.4;0;6.2;7;1.2;13;38.2;65.4;7;90.5;104.9;0.8;-0.3;-0.4;0;0;5.4;-4.6;-0.3;0;-0.1;250.5;403.5;-16.982;0.675;16.24;0;0.5;3276.347;680.2443267;2596.102;-9.351689889;437.3962132;9.859391813;5357;3559;;;;
