2031;id;scenario;sensetivity;H2_price_2030;H2_price_2040;H2_premium_2030;H2_FP_2030;H2_SP_2030;H2_RP_2030;PtH_PROD_base_2030;PtH_PROD_peak_2030;SMRCCS_PROD_2030;IMPORT_2030;PtH_CAP_base_2030;PtH_CAP_peak_2030;SMRCCS_CAP_2030;EOM_price_2030;EOM_price_2040;WIND_CAP_2030;SOLAR_CAP_2030;GAS_CAP_2030;COAL_CAP_2030;NUCL_CAP_2030;WIND_PROD_2030;SOLAR_PROD_2030;GAS_PROD_2030;COAL_PROD_2030;NUCL_PROD_2030;ETS_price_2030;ETS_price_2040;PS_emmisions;H2S_emissions;IND_emissions;cumulative_emissions;DIFF_PROD;TOT_PROD;H2_PROD;D_CUM;Increase_elek;H2_PROD_Twh;ERROR;residential_demand;Demand_2030;Difference;PtH_base_H;PtH_peak;;;;
CfD_4000;14;421;ref;2.37;2.399;0.000;0.000;0.000;2.493;3.404;6.743;1.184;10.026;26.811;57.742;7.140;84.667;103.482;5.006;26.384;-0.102;0.000;0.000;17.297;23.112;-4.890;-0.420;0.725;171.352;404.061;-17.280;-0.304;17.440;-0.143;35.824;3045.483;531.3517659;2514.131;31.3095402;334.8581783;4.51470713;2514.130816;2490.450108;23.68070775;4190;3854;;;;
REF;15;1;cheap-PtH;2.44;2.282;0.000;0.000;0.000;2.552;6.442;3.422;1.177;10.305;44.501;36.573;6.750;85.445;103.229;1157.174;434.296;93.175;19.776;43.164;2053.605;480.925;149.720;5.745;311.507;170.494;402.044;3568.302;495.265;15202.078;19265.645;3001.502;3001.502;491.9037271;2509.598;-8.138498553;325.5093538;;2509.597826;2490.450108;19.14771813;4777;3088;;;;
CT;16;22;cheap-PtH;2.30;2.3;0.000;0.000;0.000;2.415;7.4;3.7;0.8;9.4;55.6;49.4;5.4;84.3;103.2;4.5;33.5;-0.1;0.0;0.0;20.3;30.2;-5.5;-0.4;15.9;170.4;401.9;-14.099;7.646;6.432;0;60.6;3070.224;551.9886434;2518.236;51.94641773;365.8457461;8.619532222;2518.235641;2490.450108;27.78553284;4362;2496;;;;
HT_3500;17;126;cheap-PtH;2.34;2.3;0.419;0.000;0.000;2.455;5.8;4.9;0.8;9.7;48.1;46.2;5.6;84.2;103.2;10.8;30.5;-0.2;0.0;0.0;25.1;29.8;-7.6;-0.8;9.1;170.2;401.4;-17.951;7.182;10.727;0;55.6;3065.210;544.0520896;2521.158;44.00986393;353.8843053;11.54146598;2521.157575;2490.450108;30.7074666;3997;3500;;;;
HT_3800;18;276;cheap-PtH;2.35;2.3;0.289;0.000;0.000;2.473;6.8;3.8;0.9;9.9;54.2;34.6;5.6;84.7;103.2;5.3;29.9;-0.2;0.0;0.0;12.5;27.0;-5.5;-0.5;2.8;170.3;401.6;-15.647;7.095;8.517;0;36.3;3045.973;526.8598193;2519.114;26.81759359;348.1027009;9.497482232;2519.113591;2490.450108;28.66348285;4134;3593;;;;
HT_4000;19;376;cheap-PtH;2.35;2.3;0.282;0.000;0.000;2.472;7.4;3.1;0.9;9.9;56.8;31.7;5.7;84.8;103.2;3.7;26.6;-0.1;0.0;0.0;9.8;23.1;-4.5;-0.4;2.9;170.3;401.7;-12.880;6.191;6.660;0;31.0;3040.633;521.7416575;2518.892;21.69943176;348.0728177;9.275623969;2518.891733;2490.450108;28.44162459;4318;3245;;;;
QT;20;76;cheap-PtH;2.37;2.3;0.000;0.000;0.000;2.497;7.1;3.2;1.0;10.0;49.8;34.8;6.0;85.3;103.2;0.0;18.8;0.1;0.0;0.0;2.4;16.3;-2.3;-0.1;0.8;170.1;401.0;-10.724;4.904;5.820;0;17.2;3026.906;508.7047618;2518.201;8.662536057;338.7415188;8.585117122;2518.201226;2490.450108;27.75111774;4711;2996;;;;
REF;21;1;expensive-PtH;2.68;2.6;0.000;0.000;0.000;2.744;0.2;7.6;2.1;11.5;1.4;62.2;11.4;86.4;104.4;1153.522;404.872;93.900;19.776;43.164;2029.430;449.317;154.952;6.091;298.879;173.6;409.4;3675.271;526.703;15064.046;19266;2938.7;2938.670;429.0678764;2509.602;-70.97434925;258.5296793;;2509.602011;2490.450108;19.15190331;5352;4033;;;;
CT;22;22;expensive-PtH;2.34;2.6;0.000;0.000;0.000;2.461;0.6;9.7;1.3;9.8;3.5;101.4;8.6;83.7;104.4;15.8;54.7;-1.1;0.0;0.0;62.3;55.4;-12.8;-1.2;30.4;173.2;408.4;-44.640;9.916;34.697;0;134.1;3143.728;563.1073926;2580.621;63.06516692;340.6380694;71.00466883;2580.620777;2490.450108;90.17066945;5561;3167;;;;
HT_3500;23;126;expensive-PtH;2.35;2.6;1.114;0.000;0.000;2.476;0.3;9.8;1.4;10.0;2.2;92.1;8.7;83.9;104.3;8.3;57.3;-0.8;0.0;0.0;51.0;57.4;-10.2;-0.8;27.6;172.9;407.6;-42.810;10.819;31.834;0;124.9;3134.575;551.9140739;2582.661;51.87184821;332.6160913;73.04440869;2582.660517;2490.450108;92.2104093;4680;3500;;;;
