2041;id;scenario;sensetivity;PtH_PROD_base_2030;PtH_PROD_peak_2030;SMRCCS_PROD_2030;SMR_PROD_2030;IMPORT_2030;PtH_CAP_base_2030;PtH_CAP_peak_2030;SMRCCS_CAP_2030;EOM_price_2030;EOM_price_2040;WIND_CAP_2030;SOLAR_CAP_2030;GAS_CAP_2030;COAL_CAP_2030;NUCL_CAP_2030;WIND_PROD_2030;SOLAR_PROD_2030;GAS_PROD_2030;COAL_PROD_2030;NUCL_PROD_2030;ETS_price_2030;ETS_price_2040;PS_emmisions;H2S_emissions;IND_emissions;cumulative_emissions;DIFF_PROD;TOT_PROD;H2_PROD;D_CUM;Increase_elek;H2_PROD_Twh;ERROR;residential_demand;Demand_2030;Difference;PtH_base_H;PtH_peak;PtH_PROD_CN_base_2030;PtH_PROD_CN_peak_2030;PtH_CAP_CN_base_2030;PtH_CAP_CN_peak_2030;PS_cost;H2S_cost;Ind_cost;PS_cost_diff;H2S_cost_diff;Ind_cost_diff
FP;48;3;expensive-peak-PtH;96.886;83.726;11.668;72.232;167.963;99.309;66.918;3.971;104.717;103.617;-9.376;-17.602;1.449;0.000;0.000;547.661;516.455;-88.023;8.476;-69.519;4187.399;402.161;-46.915;18.383;28.316;-0.216;915.1;58649.483;9172.384991;49477.098;581.1280149;5960.177604;333.9225552;49477.09804;2490.450108;46986.64793;4772;4293;73.916;76.084;51.112;58.481;5067.398;97.142;863.282;4.30172;-1.0572;-2.04269
CfD;49;4;expensive-peak-PtH;99.782;83.750;7.921;73.275;167.862;100.680;66.029;2.427;104.632;103.356;-10.796;-15.589;1.441;0.000;0.000;494.019;745.108;-88.246;4.650;-100.737;4187.399;402.125;-51.519;22.670;28.564;-0.284;1054.8;58789.227;9310.24968;49478.977;718.9927035;6056.550418;335.8019163;49478.9774;2490.450108;46988.5273;4517;4374;73.660;76.340;53.811;57.592;5075.980;97.106;863.264;12.88374;-1.09318;-2.06037
CG;50;5;expensive-peak-PtH;97.475;83.678;11.228;72.388;167.670;99.547;66.678;3.788;104.744;103.751;-9.389;-16.531;1.278;0.000;0.000;561.223;530.363;-93.630;8.023;-71.868;4187.399;401.867;-49.591;19.189;30.135;-0.267;934.1;58668.544;9197.529951;49471.014;606.2729748;5978.044;327.8384361;49471.01392;2490.450108;46980.56382;4785;4307;73.965;76.021;51.012;58.241;5067.478;97.055;863.151;4.38208;-1.14478;-2.17337
TD;51;6;expensive-peak-PtH;91.759;83.172;12.209;72.061;173.155;95.600;69.959;4.130;104.818;103.447;-4.405;-23.633;1.411;0.000;0.000;372.330;390.758;-26.279;5.032;-47.637;4187.399;405.127;-27.084;17.511;9.599;0.025;694.2;58428.636;8900.229385;49528.406;308.972409;5772.714722;385.2308466;49528.40633;2490.450108;47037.95623;4366;4087;73.804;76.189;55.781;61.522;5068.497;97.706;864.629;5.40051;-0.49321;-0.69512
REF;53;1;expensive-base-PtH;13.680;145.021;16.858;70.525;186.382;5.472;162.129;5.846;103.743;103.250;-1.767;18.571;0.756;0.000;0.000;85.148;-71.975;20.744;3.314;-7.122;4187.399;409.548;0.000;0.000;0.000;0.000;30.1;30.109;8621.058974;-8590.949;29.80199772;5237.126965;;-8590.949476;2490.450108;-11081.39958;5002;5703;0.000;10.540;0.000;6.099;5058.650;73.899;866.638;0;0;0
FP;54;3;expensive-base-PtH;69.412;109.862;10.983;74.357;167.827;42.071;128.509;3.689;104.255;104.281;6.495;8.719;0.785;0.000;0.000;805.856;578.613;-93.132;19.178;-52.392;4187.399;406.741;-44.481;26.736;17.685;-0.059;1258.1;58992.555;9314.698583;49677.857;723.4416065;5916.048794;534.6812895;49677.85678;2490.450108;47187.40667;5437;3965;69.305;80.695;42.062;67.164;5077.133;87.483;865.353;18.48361;13.58344;-1.28544
CfD;55;4;expensive-base-PtH;69.545;111.005;7.940;75.255;168.809;41.240;129.921;2.427;104.206;103.374;6.978;12.598;0.850;0.000;0.000;751.628;776.514;-87.043;14.209;-100.665;4187.399;407.017;-46.592;30.681;15.849;-0.062;1354.6;59089.076;9383.822954;49705.253;792.5659779;5958.14677;562.0779026;49705.25339;2490.450108;47214.80328;5557;3728;69.426;80.574;41.229;71.329;5077.387;86.711;865.486;18.73765;12.8119;-1.15283
CG;56;5;expensive-base-PtH;69.681;110.212;10.495;74.582;167.443;42.244;128.337;3.498;104.274;104.224;7.021;9.478;0.918;0.000;0.000;823.741;597.070;-100.483;19.585;-58.636;4187.399;406.370;-48.133;28.110;19.983;-0.041;1281.3;59015.710;9346.617879;49669.092;755.3609028;5936.466195;525.9165111;49669.092;2490.450108;47178.64189;5436;4027;69.574;80.411;42.234;65.889;5078.640;87.228;865.186;19.99011;13.3287;-1.45208
TD;57;6;expensive-base-PtH;70.315;105.508;12.151;73.688;170.663;44.524;125.314;4.130;104.282;103.537;10.872;2.346;0.449;0.000;0.000;562.594;546.204;-28.565;14.536;-21.165;4187.399;409.180;-24.272;22.202;2.139;0.069;1073.6;58808.037;9117.804589;49690.232;526.5476126;5802.169223;547.0566841;49690.23217;2490.450108;47199.78206;5205;3783;70.211;79.781;44.515;69.598;5069.965;89.500;866.482;11.31515;15.60055;-0.15674
REF;59;1;high-RES-buildout;98.102;68.064;12.594;73.683;180.118;68.149;102.309;4.130;102.831;102.215;-34.240;12.769;4.490;0.000;0.000;354.872;136.660;-344.337;-185.076;-183.744;4187.399;367.038;0.000;0.000;0.000;0.000;-221.6;-221.625;8368.348666;-8589.974;-222.9083107;5483.490531;;-8589.973876;2490.450108;-11080.42398;5880;2021;4.217;2.015;2.367;3.291;5016.763;78.656;847.951;0;0;0
