2041;id;scenario;sensetivity;H2_price_2030;H2_price_2040;H2_premium_2030;H2_FP_2030;H2_SP_2030;H2_RP_2030;PtH_PROD_base_2030;PtH_PROD_peak_2030;SMRCCS_PROD_2030;IMPORT_2030;PtH_CAP_base_2030;PtH_CAP_peak_2030;SMRCCS_CAP_2030;EOM_price_2030;EOM_price_2040;WIND_CAP_2030;SOLAR_CAP_2030;GAS_CAP_2030;COAL_CAP_2030;NUCL_CAP_2030;WIND_PROD_2030;SOLAR_PROD_2030;GAS_PROD_2030;COAL_PROD_2030;NUCL_PROD_2030;ETS_price_2030;ETS_price_2040;PS_emmisions;H2S_emissions;IND_emissions;cumulative_emissions;DIFF_PROD;TOT_PROD;H2_PROD;D_CUM;Increase_elek;H2_PROD_Twh;ERROR;residential_demand;Demand_2030;Difference;PtH_base_H;PtH_peak
REF;1;2;ref;2.43;2.556;0.000;0.000;0.000;2.572;79.628;75.876;13.928;182.982;61.605;104.873;3.500;98.476;99.358;1608.204;782.430;103.956;0.000;0.000;34865.106;9225.629;3650.408;2282.113;7047.458;6281.099;280.884;4159.818;739.480;14365.095;19264.393;57070.715;57070.715;7927.103718;49143.611;0;0;0;0;0;0;42654;23876
CT;2;22;ref;2.44;2.559;0.000;0.000;0.000;2.584;85.923;76.004;12.735;178.505;61.817;104.332;3.250;98.306;99.319;-4.787;1.874;1.206;0.000;0.000;170.169;191.784;-31.725;-6.779;45.204;6281.099;278.700;-16.232;-8.153;24.400;0.015;368.653;57439.368;8230.902801;49208.465;303.7990833;5343.6096;64.85434383;49208.46515;2490.450108;46718.01504;45869;24040
QT;3;76;ref;2.45;2.551;0.000;0.000;0.000;2.595;87.865;73.640;12.477;178.916;60.798;107.371;3.178;97.359;99.400;-19.804;12.586;7.048;0.000;0.000;221.473;146.977;-105.759;16.824;-14.250;6281.099;277.374;-29.281;-10.014;31.224;-8.070;265.265;57335.979;8192.388476;49143.591;265.2847576;5329.651598;-0.019834038;49143.59097;2490.450108;46653.14086;47691;22633
FP;4;176;ref;2.44;2.559;0.000;0.000;0.000;2.583;85.688;74.187;13.718;179.937;61.562;104.539;3.500;98.289;99.258;-6.698;2.651;1.431;0.000;0.000;113.259;147.287;-44.470;-3.906;-12.799;6281.099;278.555;-16.294;-9.603;25.860;-0.037;199.371;57270.086;8119.825778;49150.260;192.7220596;5275.850927;6.649064758;49150.25987;2490.450108;46659.80976;45932;23419
CfD;5;226;ref;2.44;2.559;0.000;0.000;0.000;2.583;83.135;76.713;13.721;180.001;61.646;104.491;3.500;98.288;99.257;-7.262;3.009;1.507;0.000;0.000;115.727;157.695;-45.662;-3.816;-10.847;6281.099;278.681;-14.922;-9.902;24.779;-0.044;213.097;57283.811;8138.464851;49145.346;211.3611327;5275.003326;1.735578311;49145.34638;2490.450108;46654.89627;44503;24227
REF;15;1;cheap-PtH;2.29;2.439;0.000;0.000;0.000;2.434;121.883;50.973;0.824;176.129;102.466;91.630;0.042;98.465;98.958;1589.253;853.102;105.221;0.000;0.000;35013.576;9727.789;3562.029;2271.965;7118.402;6281.099;278.437;4125.855;746.793;14391.579;19264.226;57693.762;57693.762;8549.447797;49144.314;622.3440784;5704.259836;;49144.31433;2490.450108;46653.86423;39253;18358
CT;16;22;cheap-PtH;2.30;2.4;0.000;0.000;0.000;2.446;125.284;52.026;0.668;173.065;102.9;91.0;0.0;98.3;98.9;-0.375;-0.814;1.379;0.000;0.000;86.854;146.487;-34.516;10.972;39.494;6281.1;276.9;-5.105;-11.122;16.491;0;249.3;57320.006;8767.679349;48552.327;840.575631;5851.231738;-591.2838379;48552.32697;2490.450108;46061.87686;40175;18873
QT;17;76;cheap-PtH;2.30;2.4;0.000;0.000;0.000;2.446;125.141;50.038;0.666;174.751;102.7;91.2;0.0;98.3;98.9;-0.173;-0.633;1.381;0.000;0.000;43.256;105.635;-34.153;6.445;-12.873;6281.1;276.9;-9.581;-7.959;17.746;0;108.3;57179.025;8651.612929;48527.412;724.5092112;5780.917494;-616.1990024;48527.4118;2490.450108;46036.96169;40203;18105
FP;18;176;cheap-PtH;2.30;2.4;0.000;0.000;0.000;2.445;124.169;51.061;0.666;174.832;102.9;91.0;0.0;98.3;98.9;-0.725;-0.512;0.929;0.000;0.000;45.619;107.237;-33.917;5.926;-9.219;6281.1;277.0;-7.776;-8.408;16.280;0;115.6;57186.362;8662.023798;48524.338;734.9200802;5782.582745;-619.2729377;48524.33787;2490.450108;46033.88776;39815;18508
CfD;19;226;cheap-PtH;2.30;2.4;0.000;0.000;0.000;2.446;115.507;59.327;0.667;175.025;103.0;91.0;0.0;98.3;98.9;-0.757;-0.494;0.929;0.000;0.000;100.206;120.427;-39.683;6.417;-3.050;6281.1;276.9;-10.306;-6.185;16.789;0;184.3;57255.031;8708.334033;48546.697;781.2303143;5769.532586;-596.9134737;48546.69733;2490.450108;46056.24722;37020;21517
