2033;id;scenario;sensetivity;H2_price_2030;H2_price_2040;H2_premium_2030;H2_FP_2030;H2_SP_2030;H2_RP_2030;PtH_PROD_base_2030;PtH_PROD_peak_2030;SMRCCS_PROD_2030;IMPORT_2030;PtH_CAP_base_2030;PtH_CAP_peak_2030;SMRCCS_CAP_2030;EOM_price_2030;EOM_price_2040;WIND_CAP_2030;SOLAR_CAP_2030;GAS_CAP_2030;COAL_CAP_2030;NUCL_CAP_2030;WIND_PROD_2030;SOLAR_PROD_2030;GAS_PROD_2030;COAL_PROD_2030;NUCL_PROD_2030;ETS_price_2030;ETS_price_2040;PS_emmisions;H2S_emissions;IND_emissions;cumulative_emissions;DIFF_PROD;TOT_PROD;H2_PROD;D_CUM;Increase_elek;H2_PROD_Twh;ERROR;residential_demand;Demand_2030;Difference;PtH_base_H;PtH_peak
CfD;25;226;expensive-PtH;2.70;2.7;0.000;0.000;0.000;2.765;7.861;32.307;13.909;63.088;15.6;66.2;6.1;84.7;99.8;-1.517;71.936;-2.416;0.000;0.000;469.955;240.910;-121.766;-35.204;6.788;145.8;284.0;-75.590;13.253;62.249;0;560.7;30981.534;2147.516833;28834.017;-51.15160063;1325.570914;611.8343967;28834.01723;2490.450108;26343.56713;16669;16096
REF;29;1;high-natural-gas-price;2.70;2.5;0.000;0.000;0.000;2.796;30.864;30.529;0.277;85.891;35.1;57.2;0.1;87.4;100.9;1245.603;407.247;21.871;0.000;0.000;16689.625;4597.511;2148.018;2136.555;5784.583;115.1;224.5;3854.203;426.410;14983.163;19264;31356.3;31356.293;3134.141057;28222.152;935.472623;2025.988218;;28222.15195;2490.450108;25731.70185;29005;17610
CT;30;22;high-natural-gas-price;2.50;2.5;0.000;0.000;0.000;2.634;34.358;30.567;0.271;82.257;39.9;64.9;0.1;86.8;100.9;1.572;30.507;0.430;0.000;0.000;114.161;101.822;-16.860;-6.364;38.144;114.5;223.4;-13.686;1.169;12.633;0;230.9;30651.755;3300.932515;27350.822;1102.264081;2142.533815;-871.3606911;27350.82215;2490.450108;24860.37204;28400;15553
QT;31;76;high-natural-gas-price;2.68;2.5;0.008;0.000;0.000;2.786;32.254;30.742;0.277;84.299;34.0;58.4;0.1;87.3;100.8;-8.716;13.035;-0.041;0.000;0.000;79.894;38.340;-20.283;-9.644;-7.271;114.8;223.9;-8.516;0.593;7.928;0;81.0;30501.888;3211.327629;27290.560;1012.659195;2078.849779;-931.6223594;27290.56048;2490.450108;24800.11037;31281;17373
FP;32;176;high-natural-gas-price;2.68;2.5;0.000;0.000;0.000;2.786;32.280;30.710;0.277;84.292;34.0;58.4;0.1;87.3;100.8;-8.721;13.206;-0.046;0.000;0.000;79.330;37.737;-20.631;-9.706;-7.688;114.7;223.9;-8.600;0.604;7.924;0;79.0;30499.894;3210.794481;27289.099;1012.126048;2078.653357;-933.0833663;27289.09947;2490.450108;24798.64936;31319;17359
CfD;33;226;high-natural-gas-price;2.68;2.5;0.000;0.000;0.000;2.787;32.358;30.586;0.277;84.345;34.2;58.2;0.1;87.3;100.8;-9.015;13.194;-0.005;0.000;0.000;73.426;36.321;-19.358;-9.006;-6.819;114.8;223.9;-7.906;0.668;7.159;0;74.6;30495.415;3207.696198;27287.719;1009.027764;2077.163874;-934.4639626;27287.71887;2490.450108;24797.26877;31268;17331
REF;35;1;low-natural-gas-price;2.32;2.2;0.000;0.000;0.000;2.362;0.278;18.919;71.431;41.310;6.4;61.2;36.3;84.7;99.5;1110.015;330.205;48.888;0.000;0.000;14297.237;3860.149;3259.671;2048.925;5809.805;159.8;311.4;4491.067;742.119;14031.439;19265;29275.8;29275.786;1053.654663;28222.132;-1145.01377;633.5026661;;28222.1317;2490.450108;25731.68159;1430;10205
CT;36;22;low-natural-gas-price;2.11;2.2;0.000;0.000;0.000;2.229;9.490;19.026;61.784;38.123;22.4;82.3;32.8;83.0;99.4;24.362;24.123;-4.018;0.000;0.000;389.563;104.347;-95.963;-5.606;53.891;157.5;307.0;-64.262;15.314;48.965;0;446.2;30867.084;1493.843469;29373.240;-704.8249652;941.0467023;1151.057365;29373.2402;2490.450108;26882.79009;13966;7625
QT;37;76;low-natural-gas-price;2.22;2.3;0.360;0.000;0.000;2.277;19.893;17.796;50.728;35.199;44.2;43.8;28.2;82.5;99.2;19.846;96.858;-4.073;0.000;0.000;853.658;324.768;-288.600;-29.230;3.697;154.6;301.4;-152.262;41.299;110.569;0;864.3;31285.144;1916.620982;29368.523;-282.047452;1243.754544;1146.340137;29368.52297;2490.450108;26878.07287;14862;13403
FP;38;176;low-natural-gas-price;2.22;2.3;0.000;0.000;0.000;2.277;18.938;18.670;50.802;35.204;41.8;46.0;28.2;82.5;99.2;21.447;97.140;-4.312;0.000;0.000;859.997;322.488;-288.106;-27.494;4.660;154.6;301.3;-152.927;41.589;110.940;0;871.5;31292.396;1919.608475;29372.788;-279.0599592;1241.042351;1150.604989;29372.78783;2490.450108;26882.33772;14944;13407
