2040;id;scenario;sensetivity;H2_price_2030;H2_price_2040;H2_premium_2030;H2_FP_2030;H2_SP_2030;H2_RP_2030;PtH_PROD_base_2030;PtH_PROD_peak_2030;SMRCCS_PROD_2030;IMPORT_2030;PtH_CAP_base_2030;PtH_CAP_peak_2030;SMRCCS_CAP_2030;EOM_price_2030;EOM_price_2040;WIND_CAP_2030;SOLAR_CAP_2030;GAS_CAP_2030;COAL_CAP_2030;NUCL_CAP_2030;WIND_PROD_2030;SOLAR_PROD_2030;GAS_PROD_2030;COAL_PROD_2030;NUCL_PROD_2030;ETS_price_2030;ETS_price_2040;PS_emmisions;H2S_emissions;IND_emissions;cumulative_emissions;DIFF_PROD;TOT_PROD;H2_PROD;D_CUM;Increase_elek;H2_PROD_Twh;ERROR;residential_demand;Demand_2030;Difference;PtH_base_H;PtH_peak
REF;1;2;ref;2.56;2.556;0.000;0.000;0.000;2.701;9.544;8.912;0.524;16.023;61.612;87.570;3.500;99.358;99.358;1520.433;46.688;116.210;0.000;7.848;2655.207;775.034;137.861;0.000;54.403;280.884;280.884;4159.818;739.480;14365.095;19264.393;3622.505;3622.505;940.0671765;2682.438;0;0;0;0;0;0;5112;3358
CT;2;22;ref;2.56;2.559;0.000;0.000;0.000;2.704;9.563;8.899;0.486;16.051;61.824;87.512;3.250;99.319;99.319;-2.480;692.758;2.636;0.000;0.000;-3.010;2.946;0.700;0.000;-0.105;278.700;278.700;-16.232;-8.153;24.400;0.015;0.532;3623.037;940.3149526;2682.722;0.247776074;609.2740096;0.283993766;2682.722272;2490.450108;192.2721637;5105;3356
QT;3;76;ref;2.55;2.551;0.000;0.000;0.000;2.695;9.560;8.975;0.475;15.972;60.805;88.808;3.178;99.400;99.400;6.976;685.435;3.216;0.000;0.000;8.526;-2.576;-2.426;0.000;0.128;277.374;277.374;-29.281;-10.014;31.224;-8.070;3.652;3626.157;944.3516866;2681.805;4.284510102;611.6812017;-0.632826682;2681.805451;2490.450108;191.3553433;5189;3335
FP;4;176;ref;2.56;2.559;0.000;0.000;0.000;2.704;9.526;8.899;0.524;16.052;61.569;87.516;3.500;99.258;99.258;-4.011;692.581;1.400;0.000;0.000;-5.236;2.544;1.283;0.000;-0.107;278.555;278.555;-16.294;-9.603;25.860;-0.037;-1.515;3620.990;938.5022068;2682.488;-1.564969755;608.0087532;0.049543124;2682.487821;2490.450108;192.0377131;5106;3355
CfD;5;226;ref;2.56;2.559;0.000;0.000;0.000;2.704;9.533;8.889;0.524;16.054;61.653;87.499;3.500;99.257;99.257;-4.626;692.953;1.488;0.000;0.000;-5.865;2.866;1.534;0.000;-0.098;278.681;278.681;-14.922;-9.902;24.779;-0.044;-1.562;3620.943;938.3115355;2682.632;-1.755641088;607.9271646;0.193437088;2682.631715;2490.450108;192.181607;5102;3353
REF;15;1;cheap-PtH;2.28;2.282;0.000;0.000;0.000;2.408;13.199;7.390;0.906;13.505;89.152;77.458;6.610;103.229;103.229;1580.819;759.162;111.077;0.000;7.848;2721.846;819.769;116.533;0.000;52.906;402.044;402.044;3568.302;495.265;15202.078;19265.645;3711.055;3711.055;1028.690311;2682.364;88.6231345;679.440219;;2682.364235;2490.450108;191.9141274;4886;3148
CT;16;22;cheap-PtH;2.29;2.3;0.000;0.000;0.000;2.422;13.2;7.5;0.7;13.6;89.5;77.8;5.3;103.2;103.2;0.2;2.5;0.0;0.0;0.0;1.9;1.6;-0.2;0.0;-0.1;401.9;401.9;-14.099;7.646;6.432;0;3.2;3625.681;1031.883654;2593.798;91.81647762;681.236084;-88.64060355;2593.797674;2490.450108;103.3475664;4858;3168
QT;17;76;cheap-PtH;2.29;2.3;0.000;0.000;0.000;2.416;13.2;7.4;0.8;13.6;89.4;77.7;5.9;103.2;103.2;-1.0;2.2;0.1;0.0;0.0;0.4;0.7;0.2;0.0;0.0;401.0;401.0;-10.724;4.904;5.820;0;1.4;3623.871;1030.124532;2593.747;90.0573556;680.3659582;-88.69175206;2593.746526;2490.450108;103.2964179;4876;3145
FP;18;176;cheap-PtH;2.29;2.3;0.000;0.000;0.000;2.416;13.2;7.4;0.8;13.6;89.6;77.3;5.9;103.2;103.2;0.3;1.5;-1.0;0.0;0.0;2.9;-0.8;-0.2;0.0;-0.1;400.5;400.5;-10.295;5.416;4.774;0;1.8;3624.261;1030.508113;2593.752;90.44093649;680.5544885;-88.68578137;2593.752497;2490.450108;103.3023886;4863;3167
CfD;19;226;cheap-PtH;2.29;2.3;0.000;0.000;0.000;2.417;13.2;7.4;0.8;13.6;89.6;77.3;5.9;103.2;103.2;0.2;1.4;-1.0;0.0;0.0;2.9;-1.0;-0.2;0.0;-0.1;400.5;400.5;-10.265;5.434;4.722;0;1.7;3624.157;1030.408305;2593.749;90.34112861;680.4641166;-88.68954137;2593.748737;2490.450108;103.2986286;4862;3169
