id;SCN_CT;SCN_QT;SCN_H_2000;SCN_H_3000;SCN_FP;SCN_HPA;SCN_CG;SCB_H_4000;CN_CAP_CT;CN_CAP_QT;CN_CAP_H_2000;CN_CAP_H_3000;CN_CAP_FP;CN_CAP_HPA;CN_CAP_CG;CN_CAP_H_4000;CN_PROD_CT;CN_PROD_QT;CN_PROD_H_2000;CN_PROD_H_3000;CN_PROD_FP;CN_PROD_HPA;CN_PROD_CG;CN_PROD_H_4000;ETS_COST_CT;ETS_COST_QT;ETS_COST_H_2000;ETS_COST_H_3000;ETS_COST_FP;ETS_COST_HPA;ETS_COST_CG;EST_COST_H_4000;NET_COST_CT;NET_COST_QT;NET_COST_H_2000;NET_COST_H_3000;NET_COST_FP;NET_COST_HPA;NET_COST_CG;NET_COST_H_4000;PS_COST_CT;PS_COST_QT;PS_COST_H_2000;PS_COST_H_3000;PS_COST_FP;PS_COST_HPA;PS_COST_CG;PS_COST_H_4000;H2S_COST_CT;H2S_COST_QT;H2S_COST_H_2000;H2S_COST_H_3000;H2S_COST_FP;H2S_COST_HPA;H2S_COST_CG;H2S_COST_H_4000;INDS_COST_CT;INDS_COST_QT;INDS_COST_H_2000;INDS_COST_H_3000;INDS_COST_FP;INDS_COST_HPA;INDS_COST_CG;INDS_COST_H_4000
11;12;62;112;262;162;212;312;362;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000
12;13;63;113;263;163;213;313;363;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000
13;14;64;114;264;164;214;314;364;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1000
14;15;65;115;265;165;215;315;365;73.15130169;-1000;-1000;-1000;-1000;-1000;-1000;-1000;8.6238343;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1110.169208;-1000;-1000;-1000;-1000;-1000;-1000;-1000;1491.085828;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-382.44;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-129.66;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-20.3;-1000;-1000;-1000;-1000;-1000;-1000;-1000
15;16;66;116;266;166;216;316;366;75.03795276;-1000;-1000;-1000;-1000;-1000;-1000;-1000;8.795453456;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1008.164863;-1000;-1000;-1000;-1000;-1000;-1000;-1000;2072.055705;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-274.35;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-16.9;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-53.2;-1000;-1000;-1000;-1000;-1000;-1000;-1000
16;17;67;117;267;167;217;317;367;79.97106441;-1000;-1000;-1000;-1000;-1000;-1000;-1000;9.041387342;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-1277.770249;-1000;-1000;-1000;-1000;-1000;-1000;-1000;5332.434511;-1000;-1000;-1000;-1000;-1000;-1000;-1000;257.99;-1000;-1000;-1000;-1000;-1000;-1000;-1000;268.56;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-157;-1000;-1000;-1000;-1000;-1000;-1000;-1000
17;18;68;118;268;168;218;318;368;84.97750223;-1000;-1000;-1000;-1000;-1000;-1000;-1000;9.21995146;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-276.0012541;-1000;-1000;-1000;-1000;-1000;-1000;-1000;8374.842598;-1000;-1000;-1000;-1000;-1000;-1000;-1000;576.65;-1000;-1000;-1000;-1000;-1000;-1000;-1000;796.12;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-255.29;-1000;-1000;-1000;-1000;-1000;-1000;-1000
18;19;69;119;269;169;219;319;369;89.96946692;-1000;-1000;-1000;-1000;-1000;-1000;-1000;9.511169528;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-944.7186183;-1000;-1000;-1000;-1000;-1000;-1000;-1000;13475.68904;-1000;-1000;-1000;-1000;-1000;-1000;-1000;1302.03;-1000;-1000;-1000;-1000;-1000;-1000;-1000;1472.05;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-448.35;-1000;-1000;-1000;-1000;-1000;-1000;-1000
19;20;70;120;270;170;220;320;370;94.95995707;-1000;-1000;-1000;-1000;-1000;-1000;-1000;9.651794471;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-932.3780434;-1000;-1000;-1000;-1000;-1000;-1000;-1000;17354.75067;-1000;-1000;-1000;-1000;-1000;-1000;-1000;1719.41;-1000;-1000;-1000;-1000;-1000;-1000;-1000;2262.78;-1000;-1000;-1000;-1000;-1000;-1000;-1000;-520.91;-1000;-1000;-1000;-1000;-1000;-1000;-1000
20;21;71;121;271;171;221;321;371;99.97275859;73.15750109;75.43113099;74.33831322;73.71037259;73.74713576;-1000;-1000;9.889264871;8.626698765;8.851179589;8.734999276;8.696106302;8.703541542;-1000;-1000;-485.6291225;-4300.463275;-1253.919843;-953.512208;3836.273513;4540.755687;-1000;-1000;21781.71836;4330.358773;4437.696904;1590.439301;-3325.269675;-16463.22455;-1000;-1000;2607.16;-713.96;160.68;-29.42;-600.35;-986.36;-1000;-1000;3248.47;-175.62;-218.81;-113.58;32.47;100.76;-1000;-1000;-684.37;103.45;-186.29;-92.74;-342.89;-363.68;-1000;-1000
21;22;72;122;272;172;222;322;372;104.9717697;73.14264751;79.20254271;75.37068948;73.64371055;73.70152973;-1000;-1000;9.96875668;8.624316187;9.127745309;8.896033808;8.688120235;8.698264658;-1000;-1000;-846.6021293;-4512.771806;-1761.967039;-1948.785681;3951.49587;4026.378714;-1000;-1000;26604.04306;4500.506825;5900.011297;4011.854912;-3512.4963;-16374.49868;-1000;-1000;3113.14;-873;901.81;385.71;-652.64;-580.72;-1000;-1000;4328.21;-180.81;-217.11;-340.3;43.36;82.55;-1000;-1000;-810.75;112.01;-346.38;-255.37;-342.42;-332.9;-1000;-1000
22;23;73;123;273;173;223;323;373;109.9667726;74.81630959;82.9717452;76.41996031;74.54057003;74.33443181;-1000;-1000;10.05197857;8.80050211;9.248624688;8.968023162;8.803738163;8.796257852;-1000;-1000;-1036.835613;-3488.307157;-1591.777809;-1664.571066;4168.872438;4066.405792;-1000;-1000;30708.50708;4284.053997;9535.863195;5597.529199;-1999.943997;-16207.01064;-1000;-1000;4390.01;-186.53;926.67;674.09;-482.69;-733.72;-1000;-1000;5498.2;-36.25;246.34;-274.6;171.63;134.29;-1000;-1000;-922.56;20.02;-396.48;-286.93;-378.8;-358.7;-1000;-1000
