Hour;EOM_price;EOM_price_CT;EOM_price_QT;EOM_price_FP;EOM_price_CfD;H2_price;H2_price_CfD;H2_price_CT;H2_price_QT;H2_price_FP
1;1477.101868;1613.706065;164.6437263;1452.397838;1455.177678;88.13952714;87.91666749;87.87472421;87.78302017;87.9074687
2;1447.627806;1568.55129;164.643725;1415.165772;1418.017621;88.13952714;87.91666749;87.87472421;87.78302017;87.9074687
3;985.604524;996.7060307;164.6430247;867.2086707;870.9683739;88.13952714;87.91666749;87.87472421;87.78302017;87.9074687
4;628.3734963;513.1999807;136.5962738;434.350516;438.8359299;88.13952714;87.91666749;87.87472421;87.78302017;87.9074687
5;409.8950331;256.7366411;136.5962542;163.1977996;166.9393496;88.13952714;87.91666749;87.87472421;87.78302017;87.9074687
6;219.3535853;164.7967616;136.5962537;136.7675658;136.7588175;88.13952714;87.91666749;87.87472421;87.78302017;87.9074687
7;165.1597177;164.7967498;136.5962458;136.7674381;136.7588152;88.13952714;87.91666749;87.87472421;87.78302017;87.9074687
8;165.1596989;136.8271734;136.5962385;136.7674279;136.7588131;88.13952714;87.91666749;87.87472421;87.78302017;87.9074687
9;165.1462667;136.8271726;136.596225;136.7673781;136.7588093;88.13952714;87.91666749;87.87472421;87.78302017;87.9074687
10;137.3090997;136.8271574;136.59621;136.7673742;136.7588076;88.13952714;87.91666749;87.87472421;87.78302017;87.9074687
11;137.3090874;136.8271531;136.5961965;136.76735;136.7588066;88.13952714;87.91666749;87.87472421;87.78302017;87.9074687
12;137.3090872;136.8271503;136.5961919;136.7673348;136.7588034;88.13952714;87.91666749;87.87472421;87.78302017;87.9074687
13;137.3090802;136.8271487;136.5961731;136.7673341;136.7588011;88.13952714;87.91666749;87.87472421;87.78302017;87.9074687
14;137.3090799;136.8271439;136.5961612;136.7673286;136.7588006;88.13952714;87.91666749;87.87472421;87.78302017;87.9074687
15;137.3090744;136.8271434;136.5961348;136.7673077;136.7587973;88.13952714;87.91666749;87.87472421;87.78302017;87.9074687
16;137.3090664;136.8271408;136.5961098;136.7673044;136.7587971;88.13952714;87.91666749;87.87472421;87.78302017;87.9074687
17;137.3090606;136.8271385;136.5961043;136.767297;136.7587956;88.13952714;87.91666749;87.87472421;87.78302017;87.9074687
18;137.3090548;136.8271383;136.5961027;136.7672966;136.7587928;88.13952714;87.91666749;87.87472421;87.78302017;87.9074687
19;137.3090493;136.8271383;136.5961006;136.7672913;136.7587927;88.13952714;87.91666749;87.87472421;87.78302017;87.9074687
20;137.3090492;136.8271382;136.5960685;136.7672879;136.7587916;88.13952714;87.91666749;87.87472421;87.78302017;87.9074687
21;137.3090391;136.8271381;136.5960599;136.7672877;136.7587881;88.13952714;87.91666749;87.87472421;87.78302017;87.9074687
22;137.3090308;136.8271371;136.5960575;136.7672831;136.7587805;88.13952714;87.91666749;87.87472421;87.78302017;87.9074687
23;137.3090217;136.8271371;136.5960563;136.7672828;136.7587791;88.13952714;87.91666749;87.87472421;87.78302017;87.9074687
24;137.3090152;136.8271368;136.5960544;136.7672787;136.7587785;88.13952714;87.91666749;87.87472421;87.78302017;87.9074687
25;137.3090078;136.8271357;136.5960513;136.7672759;136.7587772;88.13933409;87.9166671;87.87471743;87.78300439;87.90523437
26;137.3090072;136.8271351;136.5960494;136.7672697;136.7587738;88.13933409;87.9166671;87.87471743;87.78300439;87.90523437
27;137.3090025;136.8271332;136.5960406;136.7672677;136.7587733;88.13933409;87.9166671;87.87471743;87.78300439;87.90523437
28;137.3089945;136.8271329;136.5960383;136.7672674;136.7587706;88.13933409;87.9166671;87.87471743;87.78300439;87.90523437
29;137.3089941;136.8271328;136.5960354;136.7672644;136.7587684;88.13933409;87.9166671;87.87471743;87.78300439;87.90523437
30;137.3089884;136.8271328;136.596032;136.7672617;136.758768;88.13933409;87.9166671;87.87471743;87.78300439;87.90523437
31;137.3089878;136.8271299;136.596032;136.7672617;136.7587669;88.13933409;87.9166671;87.87471743;87.78300439;87.90523437
32;137.3089822;136.827128;136.5960303;136.7672611;136.7587648;88.13933409;87.9166671;87.87471743;87.78300439;87.90523437
33;137.3089747;136.8271278;136.5960294;136.7672598;136.7587641;88.13933409;87.9166671;87.87471743;87.78300439;87.90523437
34;137.3089733;136.8271278;136.5960243;136.767257;136.7587632;88.13933409;87.9166671;87.87471743;87.78300439;87.90523437
35;137.308966;136.8271273;136.5960243;136.7672531;136.758763;88.13933409;87.9166671;87.87471743;87.78300439;87.90523437
36;137.3089647;136.8271268;136.5960224;136.7672527;136.7587586;88.13933409;87.9166671;87.87471743;87.78300439;87.90523437
37;137.3089647;136.8271264;136.5960221;136.7672429;136.7587559;88.13933409;87.9166671;87.87471743;87.78300439;87.90523437
38;137.3089636;136.8271264;136.5960193;136.7672419;136.7587508;88.13933409;87.9166671;87.87471743;87.78300439;87.90523437
39;137.3089632;136.8271262;136.5960148;136.7672413;136.7587496;88.13933409;87.9166671;87.87471743;87.78300439;87.90523437
40;137.3089523;136.827126;136.5960107;136.7672336;136.7587462;88.13933409;87.9166671;87.87471743;87.78300439;87.90523437
41;137.3089522;136.8271256;136.5960094;136.7672328;136.7587403;88.13933409;87.9166671;87.87471743;87.78300439;87.90523437
42;137.3089518;136.827124;136.5960084;136.7672298;136.7587375;88.13933409;87.9166671;87.87471743;87.78300439;87.90523437
43;137.3089504;136.8271234;136.5960078;136.7672172;136.7587316;88.13933409;87.9166671;87.87471743;87.78300439;87.90523437
44;137.3089483;136.8271226;136.5960072;136.7672146;136.7587275;88.13933409;87.9166671;87.87471743;87.78300439;87.90523437
