2030;id;scenario;sensetivity;H2_price_2030;H2_price_2040;H2_premium_2030;H2_FP_2030;H2_SP_2030;H2_RP_2030;PtH_PROD_base_2030;PtH_PROD_peak_2030;SMRCCS_PROD_2030;IMPORT_2030;PtH_CAP_base_2030;PtH_CAP_peak_2030;SMRCCS_CAP_2030;EOM_price_2030;EOM_price_2040;WIND_CAP_2030;SOLAR_CAP_2030;GAS_CAP_2030;COAL_CAP_2030;NUCL_CAP_2030;WIND_PROD_2030;SOLAR_PROD_2030;GAS_PROD_2030;COAL_PROD_2030;NUCL_PROD_2030;ETS_price_2030;ETS_price_2040;PS_emmisions;H2S_emissions;IND_emissions;cumulative_emissions;DIFF_PROD;TOT_PROD;H2_PROD;D_CUM;Increase_elek;H2_PROD_Twh;ERROR;residential_demand;Demand_2030;Difference;PtH_base_H;PtH_peak;;;;
CfD_4000;14;421;ref;2.19;2.399;0.000;0.000;2.690;2.332;3.251;6.743;1.095;8.751;26.818;57.749;7.163;82.170;103.482;51.260;26.384;-0.068;0.000;0.000;97.856;16.791;-25.173;-2.599;-1.995;155.775;404.061;-17.280;-0.304;17.440;-0.143;84.880;3024.302;524.1268983;2500.175;75.15500796;329.800771;9.725373324;2500.175481;2490.450108;9.725373324;4000;3853;;;;
REF;15;1;cheap-PtH;2.43;2.282;0.000;0.000;0.000;2.538;5.534;3.378;1.195;9.715;38.786;36.580;6.773;84.010;103.229;1074.625;441.685;98.196;23.072;47.088;1927.048;488.022;169.970;4.626;347.449;154.993;402.044;3568.302;495.265;15202.078;19265.645;2937.116;2937.116;446.6502199;2490.466;-2.321670419;294.0769394;;2490.46569;2490.450108;0.015581688;4708;3047;;;;
CT;16;22;cheap-PtH;2.26;2.3;0.000;0.000;0.000;2.378;6.9;3.3;0.8;8.7;55.6;49.4;5.5;82.8;103.2;11.1;33.5;-0.1;0.0;0.0;33.0;27.8;-8.9;-0.8;12.0;155.0;401.9;-14.099;7.646;6.432;0;63.1;3002.487;509.2115593;2493.276;60.23966896;338.2016733;2.825508579;2493.275617;2490.450108;2.825508579;4115;2217;;;;
HT_3500;17;126;cheap-PtH;2.29;2.3;0.602;0.000;0.000;2.405;5.1;4.9;0.8;8.9;48.1;46.2;5.6;82.2;103.2;23.4;30.5;-0.1;0.0;0.0;51.3;21.3;-13.9;-1.4;7.5;154.7;401.4;-17.951;7.182;10.727;0;64.7;3004.135;509.9544793;2494.180;60.98258895;330.0164614;3.730110667;2494.180219;2490.450108;3.730110667;3500;3500;;;;
HT_3800;18;276;cheap-PtH;2.26;2.3;0.639;0.000;0.000;2.387;6.2;3.8;0.8;8.9;54.2;34.6;5.6;82.4;103.2;25.0;29.9;-0.1;0.0;0.0;50.3;18.8;-14.6;-1.5;2.7;154.8;401.6;-15.647;7.095;8.517;0;55.8;2995.218;501.014686;2494.203;52.04279571;330.0156513;3.753235154;2494.203343;2490.450108;3.753235154;3800;3591;;;;
HT_4000;19;376;cheap-PtH;2.26;2.3;0.649;0.000;0.000;2.385;6.9;3.1;0.9;8.9;56.8;31.7;5.8;82.5;103.2;23.2;26.6;-0.1;0.0;0.0;46.7;15.7;-13.4;-1.4;2.9;154.9;401.7;-12.880;6.191;6.660;0;50.4;2989.847;495.9198144;2493.927;46.94792407;330.0017685;3.476864372;2493.926972;2490.450108;3.476864372;4000;3244;;;;
QT;20;76;cheap-PtH;2.20;2.3;0.810;0.000;0.000;2.344;7.0;3.0;0.9;8.9;49.8;34.8;6.0;82.6;103.2;35.4;18.8;0.0;0.0;0.0;58.5;14.6;-17.8;-1.9;-1.0;154.6;401.0;-10.724;4.904;5.820;0;52.4;2991.838;494.9472936;2496.891;45.97540331;329.9991008;6.440709737;2496.890818;2490.450108;6.440709737;4642;2842;;;;
REF;21;1;expensive-PtH;2.69;2.6;0.000;0.000;0.000;2.738;0.2;6.5;2.2;11.1;1.4;54.5;11.4;85.1;104.4;1068.950;400.303;98.680;23.072;47.088;1896.941;444.089;177.836;5.186;334.018;157.8;409.4;3675.271;526.703;15064.046;19266;2858.1;2858.071;367.601326;2490.470;-81.37056433;221.6176968;;2490.470061;2490.450108;0.019952621;5170;3929;;;;
CT;22;22;expensive-PtH;2.31;2.6;0.000;0.000;0.000;2.422;0.6;8.9;1.3;9.1;3.5;101.4;8.6;82.6;104.4;24.9;66.7;-0.7;0.0;0.0;78.3;66.5;-19.4;-1.8;27.1;157.4;408.4;-44.640;9.916;34.697;0;150.8;3090.193;518.3021367;2571.891;69.33024635;313.6458498;81.44097758;2571.891086;2490.450108;81.44097758;5332;2908;;;;
HT_3500;23;126;expensive-PtH;2.16;2.6;1.745;0.000;0.000;2.305;0.2;9.8;1.3;8.6;2.2;92.1;8.7;81.6;104.3;61.4;69.2;-0.5;0.0;0.0;133.9;65.1;-35.1;-3.3;22.2;157.1;407.6;-42.810;10.819;31.834;0;182.8;3122.184;548.133785;2574.050;99.1618947;329.981225;83.59970215;2574.04981;2490.450108;83.59970215;3500;3500;;;;
