Hour;EOM_price;PROD_SMR;PROD_SMRCCS;PROD_Alkaline_base;PROD_Alkaline_peak;PROD_Import;PROD_CCGT_new;PROD_WindOffshore;PROD_SPP_coal;PROD_WindOnshore;PROD_Nuclear;PROD_Solar;PROD_OCGT
1.0;64.34762868998014;-1.4327576647624847e-16;-0.03291943823892109;-0.008564794563716057;-7.839091773724137e-13;-0.04349291397246327;0.0;0.002183759995407458;2.0175056751631924e-14;0.2921666101238732;0.00784799999999124;9.757669682074966e-5;0.0
2.0;64.34762958089352;-1.4327576647624847e-16;-0.03291943823892109;-0.012836338256241732;-7.83909015607629e-13;-0.04349291397246325;0.0;0.002051730000653746;2.017505679732719e-14;0.2950086835768354;0.00784799999999124;9.757669682074966e-5;0.0
3.0;64.34763249228963;-1.4327576647624847e-16;-0.03291943823892109;-0.01986895620077416;-7.839084870257759e-13;-0.04349291397246324;0.0;0.00196667999506749;2.0175056946649446e-14;0.3042725973284617;0.00784799999999124;9.10714865882209e-5;0.0
4.0;64.34763097582855;-1.4327576647624847e-16;-0.03291943823892109;-0.01836104668117042;-7.839087623980275e-13;-0.04349291397246325;0.0;0.001956150000124717;2.0175056868862157e-14;0.299434861002791;0.00784799999999124;9.10714865882209e-5;0.0
5.0;64.34763221965666;-1.4327576647624847e-16;-0.03291943823892109;-0.019473859821575287;-7.839085365309329e-13;-0.04349291397246326;0.0;0.0021145049981203625;2.0175056932664924e-14;0.3034028925449246;0.00784799999999124;9.10714865882209e-5;0.0
6.0;64.34763373822393;-1.4327576647624847e-16;-0.03291943823892109;-0.016167127205546764;-7.839082606581336e-13;-0.04349291397246324;0.0;0.0021813299970632797;2.0175057010597616e-14;0.3082716882824596;0.00784799999999124;9.757669682074966e-5;0.0
7.0;64.34763295921374;-1.4327576647624847e-16;-0.03291943823892109;-0.0072913346639136845;-7.839083865422015e-13;-0.04349291397246325;0.0;0.0021392099982301804;2.0175056975035312e-14;0.3106400825895182;0.00784799999999124;0.001431125858588349;0.0
8.0;64.34761616943244;-1.4327576647624847e-16;-0.03291943823892109;-0.011062635559047239;-7.839112706530944e-13;-0.043492913972463264;0.0;0.002006369995556409;2.017505616029149e-14;0.30861335888248564;0.007847999999991242;0.015592768979541219;0.0
9.0;59.74992369690575;-1.4327576647624847e-16;-0.03291943823892109;-0.027186601768799546;-0.009349663741755193;-0.043492913972463264;0.0;0.0020493000022111397;1.9952165503090288e-14;0.31094292572417825;0.007847999999990415;0.07083423644563047;0.0
10.0;59.74982683878986;-1.4327576647624847e-16;-0.03291943823892109;-0.02718660176880165;-0.04351856986688614;-0.043492913972463236;0.0;0.002207655000206784;1.9952160896618392e-14;0.2935255258929352;0.007847999999990415;0.1509577820086782;0.0
11.0;59.749740751169156;-1.4327576647624847e-16;-0.03291943823892109;-0.027186601768804403;-0.08233196680774364;-0.0434929139724632;0.0;0.001990169995906786;1.9952156808636875e-14;0.2851157865076838;0.007847999999990415;0.224114345733711;0.0
12.0;59.74968826341816;-1.4327576647624847e-16;-0.03291943823892109;-0.02718660176880543;-0.11550346129411339;-0.04349291397246324;0.0;0.0019925999942509635;1.995215432283958e-14;0.28749970980944467;0.007847999999990415;0.27078206628347157;0.0
13.0;10.000068563543465;-1.4327576647624847e-16;-0.03291943823892109;-0.027186601769092777;-0.13632898286089606;-0.04349291397246324;0.0;0.002087774990323006;0.0;0.30253318633887355;0.007470967242827852;0.28723351136058556;0.0
14.0;1.805747131019022;-1.4327576647624847e-16;-0.03291943823892109;-0.02718660176911535;-0.13632898286093126;-0.043492913972463236;0.0;0.0019379249556518527;0.0;0.31905758718300586;0.0;0.27964203807815896;0.0
15.0;59.74973345728239;-1.4327576647624847e-16;-0.03291943823892109;-0.027186601768804355;-0.1270968184412276;-0.04349291397246324;0.0;0.0018063000025892648;1.9952156501617158e-14;0.32884176990990627;0.007847999999990415;0.24252383141558725;0.0
16.0;59.7498033093151;-1.4327576647624847e-16;-0.03291943823892109;-0.027186601768806662;-0.093849911797792;-0.04349291397246323;0.0;0.0016698149960452317;1.995215981512821e-14;0.33171490419719263;0.007847999999990415;0.18207826859385803;0.0
17.0;59.7498943399651;-1.4327576647624847e-16;-0.03291943823892109;-0.02718660176881901;-0.04652907375409197;-0.043492913972463215;0.0;0.0017504100025491592;1.9952164129934928e-14;0.33167607815428723;0.007847999999990415;0.10226696948045236;0.0
18.0;63.030366944384085;-1.4327576647624847e-16;-0.03291943823892109;-0.027186601768039723;-1.1039875845738985e-12;-0.04349291397246322;0.0;0.001789694999149754;2.011074017065926e-14;0.3238953220865611;0.00784799999999102;0.03249957221851452;0.0
19.0;64.34763306881747;-1.4327576647624847e-16;-0.03291943823892109;-0.0065613964046314765;-7.839083200383795e-13;-0.04349291397246322;0.0;0.0018565199981193895;2.017505699382459e-14;0.325549314359244;0.00784799999999124;0.0054317740721950255;0.0
20.0;64.3476434095303;-1.4327576647624847e-16;-0.03291943823892109;-0.011183537973137682;-7.839065003968521e-13;-0.043492913972463215;0.0;0.002054564996603954;2.0175057507865643e-14;0.34035759983987596;0.00784799999999124;0.0004358425307851085;0.0
21.0;64.34764705636431;-1.4327576647624847e-16;-0.03291943823892109;-0.02258774438867799;-7.839058398501195e-13;-0.04349291397246322;0.0;0.0021209849979408404;2.0175057694469188e-14;0.3514929345493739;0.00784799999999124;0.0002992353008136359;0.0
