Hour;EOM_price;PROD_SMR;PROD_SMRCCS;PROD_Alkaline_base;PROD_Alkaline_peak;PROD_Import;PROD_CCGT_new;PROD_WindOffshore;PROD_SPP_coal;PROD_WindOnshore;PROD_Nuclear;PROD_Solar;PROD_OCGT
1.0;121.77427768026962;-6.548495224244158e-17;-0.050365858719535625;-5.249132511175205e-13;-4.1333013116197887e-13;-0.05434381814853317;3.250220642229709e-15;0.005403895645284701;2.023705327581536e-13;0.2932561562164292;0.007847999999973697;4.9843100819172465e-5;2.4196984951209465e-14
2.0;111.85441471024573;-6.548495224244158e-17;-0.050365858719535625;-5.994556633818475e-13;-4.675206355323877e-13;-0.05434381814951803;2.9297114922897474e-15;0.005077176447757132;1.975387600529902e-13;0.2961088283138564;0.007847999999971015;4.984310081697566e-5;2.2271527766662813e-14
3.0;88.35135755447885;-6.548495224244158e-17;-0.050365858719535625;-8.977536449816038e-13;-6.752392042773677e-13;-0.05434381814853313;2.374213649490778e-15;0.004866713138809897;1.8682367962090627e-13;0.30540728900096176;0.00784799999996195;4.6520177816940265e-5;1.87360969249538e-14
4.0;95.56650591910548;-6.548495224244158e-17;-0.050365858719535625;-7.795977980313263e-13;-5.946323589977108e-13;-0.05434381814853314;2.5209985339084398e-15;0.004840655790981692;1.9000690375664292e-13;0.3005515118159747;0.007847999999965263;4.6520177819518274e-5;1.9696048907456927e-14
5.0;78.8930545814648;-6.548495224244158e-17;-0.050365858719535625;-1.1170779523662083e-12;-8.194716826533469e-13;-0.054343818148533146;2.2059613632655613e-15;0.0052325183973844095;1.8278989516402205e-13;0.3045343409191965;0.00784799999995656;4.652017781285047e-5;1.7611786487909164e-14
6.0;96.55089301039284;-6.548495224244158e-17;-0.050365858719535625;-7.656575108909491e-13;-5.849815985430394e-13;-0.05434381814853312;2.5426439138478173e-15;0.005397882412367971;1.9045246809652355e-13;0.3094212933426365;0.007847999999965676;4.9843100812703295e-5;1.9835998025254273e-14
7.0;132.96686893291363;-6.548495224244158e-17;-0.050365858719535625;-4.60130056324526e-13;-3.654270766696753e-13;-0.054343818148533125;3.706039623929531e-15;0.005293652973881643;2.0804532256233128e-13;0.31179851985253515;0.007847999999976199;0.0007310326417201581;2.680426894667601e-14
8.0;138.6716368066475;-6.548495224244158e-17;-0.050365858719535625;-4.328105822428936e-13;-3.449925197809776e-13;-0.05434381814853313;3.990678054860248e-15;0.00496492934442616;2.110358448356468e-13;0.3097642380987612;0.007847999999977305;0.007964934062460152;2.83600496560291e-14
9.0;129.88592127696668;-6.548495224244158e-17;-0.050365858719535625;-4.765040931309785e-13;-3.776074669100817e-13;-0.05434381814853312;3.5671193152720336e-15;0.0050711632148577775;2.0644273372036343e-13;0.3121024923481242;0.00784799999997555;0.036182798795643595;2.602521654211793e-14
10.0;30.930111751329235;-6.548495224244158e-17;-0.050365858719535625;-0.022394695391595647;-0.014762678270599154;-0.054343818148533105;0.0;0.005463025821146273;0.0;0.2946201396465723;0.007847999999855249;0.07711066466062794;0.0
