scen_number;sensitivity;n_iter;CCGT_new;WindOffshore;SPP_coal;WindOnshore;Nuclear;Solar;OCGT;SMR;SMRCCS;Alkaline_base;Alkaline_peak_supported;Alkaline_base_supported;Alkaline_peak;Ind;Import
10;high-electrolysis-buildout;10000;6192.22;11106.79;59763.04;4267686.47;77154.25;587804.65;52397.10;0.00;3494.79;11011.25;22256.15;21296.03;13278.75;867582.57;9115.46
10;ref;10000;8288.44;11106.79;59217.14;4259986.66;78781.66;597330.43;51767.86;0.00;1444.80;15191.17;21763.38;20700.00;17937.82;863271.99;8882.05
6;expensive-base-PtH;6779;4476.38;11106.79;59786.71;4262182.19;78996.52;604758.88;53196.84;0.00;3860.76;775.48;21122.57;29158.28;25174.72;866124.22;9204.12
6;expensive-import;7589;2909.90;11106.79;58637.41;4306153.02;78884.22;632692.49;53431.21;0.00;9051.42;15950.36;19621.63;19974.18;22670.10;873475.17;6984.17
6;high-electrolysis-buildout;6786;7608.99;11106.79;59968.31;4273101.19;78076.76;580503.61;52048.78;0.00;3860.76;11052.30;21168.65;20512.85;13470.53;867968.79;9371.96
6;ref;7373;4410.36;11106.79;59380.75;4263200.33;79683.03;588623.07;53756.29;0.00;2408.00;15072.98;20459.54;20462.02;17751.31;863623.33;9127.01
6;low-natural-gas-price;5878;0.00;11106.79;24828.68;4239078.01;81291.69;557870.05;57129.29;0.00;22163.36;3594.21;24333.56;22479.92;11492.20;888603.66;4449.26
5;expensive-base-PtH;5844;5382.96;11106.79;59711.20;4259714.48;78914.19;604803.55;53665.51;0.00;3860.76;888.90;21130.42;27839.72;25561.20;865732.40;9185.52
6;low-RES-buildout;6023;7511.64;44955.48;53232.42;4354859.00;84097.17;538980.30;48946.75;0.01;5959.39;4451.82;24015.60;22861.08;10529.23;981784.89;11169.51
4;expensive-base-PtH;5641;7052.60;11106.79;59878.92;4261596.91;78520.02;606005.24;52736.57;0.00;2952.76;974.96;20830.73;27487.37;25607.82;865389.64;9173.08
3;expensive-base-PtH;5556;6044.73;11106.79;59897.00;4259073.10;78688.58;605273.33;53243.03;0.00;3353.85;975.30;20833.99;27666.05;25638.18;865499.29;9174.39
5;low-natural-gas-price;5046;0.00;11106.79;24880.44;4242448.41;81325.56;559426.02;56919.01;0.01;22018.70;3609.51;23760.96;22255.20;12234.99;887839.72;4438.77
7;expensive-base-PtH;5282;7095.18;11106.79;59754.74;4254425.00;79161.69;606401.94;52334.78;0.00;3860.76;1002.84;27504.37;28494.09;22589.18;867162.37;9229.81
10;expensive-base-PtH;5370;5922.79;11106.79;59521.85;4261754.75;78074.55;609108.86;52932.06;0.00;2408.00;1028.07;23543.54;27450.55;24610.08;865865.90;9098.40
8;expensive-base-PtH;5121;6473.80;11106.79;59749.50;4257020.80;79039.00;602934.85;52915.98;0.00;3705.34;1035.38;20548.10;29963.84;25107.42;866302.97;9201.27
7;low-RES-buildout;5000;9711.90;44955.48;53234.22;4352315.74;84496.52;541580.22;47272.19;0.00;5959.39;4709.71;25984.20;23674.76;9246.33;982509.52;11152.18
